
[00:00:00.000 --> 00:00:05.640]  早晨,大家!
[00:00:05.640 --> 00:00:10.040]  我們經過幾個星期,頭兩個星期
[00:00:10.040 --> 00:00:13.040]  我們踏入了預福期的第三個主日
[00:00:13.040 --> 00:00:18.240]  還記不記得頭一個主日和上一個主日說些什麼呢?
[00:00:18.240 --> 00:00:23.240]  頭一個主日是說到耶穌如何去入城
[00:00:23.240 --> 00:00:27.480]  入到聖城裡面受到的歡迎
[00:00:27.480 --> 00:00:30.920]  上星期Pastor Johnny和我們分享到
[00:00:30.920 --> 00:00:34.280]  主耶穌挑戰這些權威
[00:00:34.280 --> 00:00:37.800]  今天去到耶穌最後的一晚
[00:00:37.800 --> 00:00:42.120]  在最後一晚裡面發生了什麼事呢?
[00:00:42.120 --> 00:00:48.160]  當然我們會看到最後一晚有一個最後的晚餐
[00:00:48.160 --> 00:00:50.640]  在這一晚裡面
[00:00:50.640 --> 00:00:55.320]  這一頓飯裡面到底發生了什麼事呢?
[00:00:55.320 --> 00:00:58.640]  這一頓飯裡面大家還記不記得
[00:00:58.640 --> 00:01:04.400]  在最後晚餐裡面曾經發生過什麼事呢?
[00:01:04.400 --> 00:01:10.920]  我們說發生的事有包括最後吃的那頓飯
[00:01:10.920 --> 00:01:13.400]  耶穌為門徒洗腳
[00:01:13.400 --> 00:01:16.240]  預旨到賣耶穌的人
[00:01:16.240 --> 00:01:21.360]  給予相愛的新命令
[00:01:21.360 --> 00:01:25.280]  預言給不認主
[00:01:25.280 --> 00:01:30.560]  在這五個範疇裡面
[00:01:30.560 --> 00:01:35.000]  有沒有發現其中有一樣東西少了呢?
[00:01:35.000 --> 00:01:39.640]  因為今天我們以約翰福音為主
[00:01:39.640 --> 00:01:41.320]  在四福音裡面
[00:01:41.320 --> 00:01:46.040]  馬太、馬可和路加在最後晚餐裡面
[00:01:46.040 --> 00:01:48.320]  很強調一樣東西
[00:01:48.320 --> 00:01:51.320]  但是約翰福音沒有提到
[00:01:51.320 --> 00:01:56.840]  那就是我們每個月都會做的那件事
[00:01:56.840 --> 00:01:58.760]  就是設立聖餐
[00:01:58.760 --> 00:02:02.200]  但是約翰福音沒有提到
[00:02:02.200 --> 00:02:05.960]  但是他卻提了一個很重要的片段
[00:02:05.960 --> 00:02:07.240]  是什麼片段呢?
[00:02:07.240 --> 00:02:09.680]  一會兒我們就會看到
[00:02:09.680 --> 00:02:12.280]  在這事情的發生
[00:02:12.280 --> 00:02:16.640]  到底整個流程
[00:02:16.640 --> 00:02:21.360]  耶穌傳道到他來到最後一晚裡面
[00:02:21.360 --> 00:02:24.440]  他的發生時間是什麼呢?
[00:02:24.440 --> 00:02:29.120]  我們說他是在預約節之前發生的
[00:02:29.120 --> 00:02:34.560]  也是耶穌七個神蹟之後發生的
[00:02:34.560 --> 00:02:38.880]  還有他將要知道自己會離世
[00:02:38.880 --> 00:02:41.640]  回到天父的身邊
[00:02:41.640 --> 00:02:44.600]  還有發生的時間是在一個晚上
[00:02:44.600 --> 00:02:47.680]  就是他們用膳的時間
[00:02:47.680 --> 00:02:52.120]  還記不記得是哪七個神蹟呢?
[00:02:52.120 --> 00:02:54.120]  我們一起看看
[00:02:54.120 --> 00:02:58.160]  這七個神蹟分別就是在加拿大婚宴裡面
[00:02:58.160 --> 00:03:00.320]  使水變酒
[00:03:00.320 --> 00:03:04.040]  也是治好大神的兒子
[00:03:04.040 --> 00:03:07.440]  醫治了三十八年的癱子
[00:03:07.440 --> 00:03:10.320]  五千人吃飽
[00:03:10.320 --> 00:03:13.680]  還有在水面上行走
[00:03:13.680 --> 00:03:16.640]  醫治生來黑眼的人
[00:03:16.640 --> 00:03:20.440]  還有拉薩路從死裡復活
[00:03:20.440 --> 00:03:23.000]  在這七個神蹟之後
[00:03:23.000 --> 00:03:27.280]  就進入到今天這個主題
[00:03:27.280 --> 00:03:31.040]  最後晚餐的地點在哪裡呢?
[00:03:31.040 --> 00:03:35.520]  就是在耶路撒冷石鞍山馬可樓
[00:03:35.520 --> 00:03:39.040]  就是現在你看到的這個地方
[00:03:39.040 --> 00:03:41.440]  它依然存在
[00:03:41.440 --> 00:03:46.240]  如果你有興趣知道更多關於耶路撒冷的事蹟
[00:03:46.240 --> 00:03:50.400]  大家可以參加我們的聖地遊
[00:03:50.400 --> 00:03:56.800]  當中應該會有很多關於聖經裡面出現過的地點
[00:03:56.800 --> 00:03:58.800]  在馬可樓的內部
[00:03:58.800 --> 00:04:01.560]  就是現在你看到的最後晚餐
[00:04:01.560 --> 00:04:03.560]  達文西的畫的下面
[00:04:03.560 --> 00:04:06.240]  就是在這個地方
[00:04:06.240 --> 00:04:09.240]  我們知道它的地點
[00:04:09.240 --> 00:04:11.240]  知道它的發生之後
[00:04:11.240 --> 00:04:13.720]  今天我們說的這個片段
