
[00:00:00.000 --> 00:00:09.680]  今天很盼望帶著一個曾經走過成長階段的迷茫
[00:00:09.680 --> 00:00:11.480]  甚至很多不安
[00:00:11.480 --> 00:00:16.440]  我都嘗試整理一下在我的人生裏
[00:00:16.440 --> 00:00:18.680]  會不會有些人幫到我
[00:00:18.680 --> 00:00:21.320]  尤其是在聖經裏的智慧
[00:00:21.320 --> 00:00:26.120]  以致我們走這條很多衝擊甚至風浪的道路
[00:00:26.120 --> 00:00:30.200]  既有來自朋友又有來自很多的要求
[00:00:30.200 --> 00:00:34.240]  甚至來自社會的文化的很多的衝擊
[00:00:34.240 --> 00:00:38.200]  怎樣都讓我們可以走得穩 不跌倒
[00:00:38.200 --> 00:00:44.000]  甚至我們真的得著我們覺得真的很滿足的人生
[00:00:44.000 --> 00:00:47.880]  大家會不會是站開一點會好一點
[00:00:47.880 --> 00:00:53.320]  我站開一點 沒錯 實實地
[00:00:53.320 --> 00:00:58.120]  大家在這麼年輕 我懷疑很多人
[00:00:58.120 --> 00:01:04.240]  都已經出身在社會上贏在起跑線的階段
[00:01:04.240 --> 00:01:09.320]  不過都有一班基督徒領袖
[00:01:09.320 --> 00:01:12.320]  結合了他們對聖經真理的認識
[00:01:12.320 --> 00:01:15.000]  亦都是自己的人生經驗
[00:01:15.000 --> 00:01:21.120]  他們提倡有另一個人生更加需要重視的
[00:01:21.120 --> 00:01:25.400]  很可能是完成世界
[00:01:25.400 --> 00:01:29.320]  因為都很真實的 想一想
[00:01:29.320 --> 00:01:31.680]  你可能去觀察一下
[00:01:31.680 --> 00:01:36.120]  一些年年考第一 很可能終於考第一
[00:01:36.120 --> 00:01:39.320]  去到公開試都未必考第一
[00:01:39.320 --> 00:01:42.520]  都可能會被拋棄的 你明白我的意思吧
[00:01:42.520 --> 00:01:46.040]  甚至說年年考第一 是不是真的
[00:01:46.040 --> 00:01:50.400]  人在起跑線 但你是不是真的確保
[00:01:50.400 --> 00:01:54.240]  他人生走到完結
[00:01:54.240 --> 00:01:58.880]  他真的過一個很滿足很幸福的人生
[00:01:58.880 --> 00:02:01.520]  很可能你一聽到年年考第一
[00:02:01.520 --> 00:02:05.720]  你就可能聯想到我們香港有一個很出名的領袖
[00:02:05.720 --> 00:02:07.560]  或許你都會想著 啊對
[00:02:07.560 --> 00:02:11.160]  其實他現在都不覺得太幸福
[00:02:11.160 --> 00:02:17.440]  反而原來我們人生能夠做到完成世界
[00:02:17.440 --> 00:02:22.960]  往往大部份人至少不會有遺憾
[00:02:22.960 --> 00:02:26.480]  甚至很大機會他真的回望
[00:02:26.480 --> 00:02:32.320]  他覺得人生過得很滿足
[00:02:32.320 --> 00:02:35.000]  是因為他真的完結得好
[00:02:35.000 --> 00:02:37.600]  他在生命裏發現最有價值
[00:02:37.600 --> 00:02:39.720]  他發現最不能夠失去的
[00:02:39.720 --> 00:02:43.880]  去到終點 原來都在齊全
[00:02:43.880 --> 00:02:49.000]  坦白說 其實人生真的有很多不同的變數
[00:02:49.000 --> 00:02:53.920]  大家都很想去到最後都是完結得好
[00:02:53.920 --> 00:02:55.840]  但中間有很多的變數
[00:02:55.840 --> 00:03:00.680]  我猜我們都真的需要很多的智慧來去處理
[00:03:00.680 --> 00:03:04.320]  甚至要在內心成為一個剛強的人
[00:03:04.320 --> 00:03:08.600]  才真的可以回應到這些突如其來的變數
[00:03:08.600 --> 00:03:14.160]  剛才唱那首歌 全心相信 靠主不抖震
[00:03:14.160 --> 00:03:17.240]  Johnny 傳道就是一個很容易抖震的人
[00:03:17.240 --> 00:03:19.840]  其實我的心真的充滿著
[00:03:19.840 --> 00:03:23.080]  因為種種的事件 突然間又這樣
[00:03:23.080 --> 00:03:27.080]  突然間又這樣 我都真的充滿著恐懼憂慮
[00:03:27.080 --> 00:03:28.280]  若果不是信主的話
[00:03:28.280 --> 00:03:33.920]  我大概都會有很多的情緒不健康的狀況出現
[00:03:33.920 --> 00:03:36.120]  我們感激
[00:03:36.120 --> 00:03:40.760]  聖經裏面有很多跟隨過耶穌的使徒
[00:03:40.760 --> 00:03:48.960]  他們真的帶著一個經歷了主的真理的寶貴和有力
[00:03:48.960 --> 00:03:52.880]  將他們人生的心得傳承下來
[00:03:52.880 --> 00:03:55.240]  今天很想和大家一起看的是
[00:03:55.240 --> 00:03:58.360]  《彼得後書》一章三至十一節
[00:03:58.360 --> 00:04:01.160]  聖經的提醒
[00:04:01.160 --> 00:04:04.440]  很多聖經學者都相信
[00:04:04.440 --> 00:04:07.360]  《彼得後書》是年老的彼得
[00:04:07.360 --> 00:04:11.440]  可以說是他所寫的一封farewell letter
[00:04:11.440 --> 00:04:14.520]  他大概都看著自己人生的盡頭
[00:04:14.520 --> 00:04:16.640]  都差不多要完結
[00:04:16.640 --> 00:04:19.680]  人之將死 其言也善
[00:04:19.680 --> 00:04:22.280]  究竟他把握著最後的機會
[00:04:22.280 --> 00:04:26.520]  他最想留給一群跟隨主的門徒
[00:04:26.520 --> 00:04:30.320]  讓他們人生面對種種的挑戰走得好
[00:04:30.320 --> 00:04:34.080]  不論是人生只是剛剛開始
[00:04:34.080 --> 00:04:36.600]  還有很長的未來
[00:04:36.600 --> 00:04:38.720]  還是已經走到下半場
[00:04:38.720 --> 00:04:41.040]  《彼得後書》這段經文
[00:04:41.040 --> 00:04:43.240]  尤其是放在第一章
[00:04:43.240 --> 00:04:47.120]  都真的有很多很重要和寶貴的智慧
[00:04:47.120 --> 00:04:50.840]  不如我們一起讀讀這幾節的經文
[00:04:50.840 --> 00:04:52.000]  1、2、3
[00:04:52.000 --> 00:04:57.080]  神的神能已將一切關乎生命和敬虔的事
[00:04:57.080 --> 00:04:58.560]  賜給我們
[00:04:58.560 --> 00:05:02.160]  皆因我們認識那用自己的榮耀
[00:05:02.160 --> 00:05:04.840]  黃美德 召我們的主
[00:05:04.840 --> 00:05:05.720]  因此
[00:05:05.720 --> 00:05:09.280]  他已將有寶貴又極大的英許
[00:05:09.280 --> 00:05:10.640]  賜給我們
[00:05:10.640 --> 00:05:14.960]  叫我們既脫離世上重情欲來的敗壞
[00:05:14.960 --> 00:05:17.920]  就得與神的聖情有份
[00:05:17.920 --> 00:05:19.600]  正因這緣故
[00:05:19.600 --> 00:05:22.040]  你們要憤外地殷勤
[00:05:22.040 --> 00:05:25.080]  有了信心又要加上特行
[00:05:25.080 --> 00:05:27.880]  有了特行又要加上知識
[00:05:27.880 --> 00:05:30.920]  有了知識又要加上節制
[00:05:30.920 --> 00:05:33.960]  有了節制又要加上忍耐
[00:05:33.960 --> 00:05:37.160]  有了忍耐又要加上虔敬
[00:05:37.160 --> 00:05:40.880]  有了虔敬又要加上愛弟兄的心
[00:05:40.880 --> 00:05:45.680]  有了愛弟兄的心又要加上愛眾人的心
[00:05:45.680 --> 00:05:49.440]  你們若充充足足地有這幾樣
[00:05:49.440 --> 00:05:54.360]  就必使你們在認識我們的主耶穌基督上
[00:05:54.360 --> 00:05:57.760]  不至於行難不結果之了
[00:05:57.760 --> 00:05:59.800]  人若沒有這幾樣
[00:05:59.800 --> 00:06:01.280]  就是眼瞎
[00:06:01.280 --> 00:06:03.280]  只看見近處的
[00:06:03.280 --> 00:06:05.240]  忘了他舊日的罪
[00:06:05.240 --> 00:06:07.200]  已經得了潔淨
[00:06:07.200 --> 00:06:08.840]  所以弟兄們
[00:06:08.840 --> 00:06:10.800]  應當更加殷勤
[00:06:10.800 --> 00:06:15.480]  使你們所夢的因召和揀選堅定不移
[00:06:15.480 --> 00:06:17.560]  你們若行這幾樣
[00:06:17.560 --> 00:06:19.440]  就永不失強
[00:06:19.440 --> 00:06:22.800]  這樣必叫你們豐豐富富地
[00:06:22.800 --> 00:06:25.120]  得以進入我們主
[00:06:25.120 --> 00:06:28.520]  救主耶穌基督永遠的國
[00:06:28.520 --> 00:06:32.920]  彼得在這幾段經文裏
[00:06:32.920 --> 00:06:34.320]  我們可以看到
[00:06:34.320 --> 00:06:37.000]  他寫這多節經文
[00:06:37.000 --> 00:06:39.560]  其實有一個很清楚的目的
[00:06:39.560 --> 00:06:43.400]  就是他很想讓一班信了主的人知道
[00:06:43.400 --> 00:06:50.040]  其實神已經預備要幫助這班弟妹
[00:06:50.040 --> 00:06:51.840]  能夠完善
[00:06:51.840 --> 00:06:53.600]  永不失腳不得
[00:06:53.600 --> 00:06:59.400]  並且豐豐富富地得著上帝在他們的國度裏
[00:06:59.400 --> 00:07:02.000]  要給予他們所有所有
