
[00:00:00.000 --> 00:00:09.800]  今天我講的題目也很特別
[00:00:09.800 --> 00:00:13.280]  所以我用了一個特別的方法
[00:00:13.280 --> 00:00:17.400]  也非常大膽地做一件事
[00:00:17.400 --> 00:00:21.000]  需要大家合作
[00:00:21.000 --> 00:00:25.600]  我同一段經文預備了兩個內容
[00:00:25.600 --> 00:00:29.200]  由你們選擇想聽甚麼
[00:00:29.200 --> 00:00:36.200]  第一段經文是比較多色經的
[00:00:36.200 --> 00:00:37.800]  也有例子的
[00:00:37.800 --> 00:00:44.800]  另一段經文是生活應用的
[00:00:44.800 --> 00:00:47.400]  選好了
[00:00:47.400 --> 00:00:50.400]  我真的預備了兩個給你們聽
[00:00:50.400 --> 00:00:53.000]  別以為我沒得讓你們選
[00:00:53.000 --> 00:00:57.600]  選一的舉手
[00:00:57.600 --> 00:00:59.400]  不選我選的了
[00:00:59.400 --> 00:01:01.600]  二的舉手
[00:01:01.600 --> 00:01:05.400]  聽多一點這個形容
[00:01:05.400 --> 00:01:08.600]  好,麻煩這個
[00:01:08.600 --> 00:01:11.000]  麻煩
[00:01:11.000 --> 00:01:16.600]  這一段是大家很熟悉的一段
[00:01:16.600 --> 00:01:19.600]  叫做登山變象的經文
[00:01:19.600 --> 00:01:23.800]  登山變象是大家要想想
[00:01:23.800 --> 00:01:26.600]  當你聽到這段經文的時候
[00:01:26.600 --> 00:01:28.600]  你要用你的想像
[00:01:28.600 --> 00:01:34.400]  想想當時發生的狀況是怎樣
[00:01:34.400 --> 00:01:35.000]  可以嗎?
[00:01:35.000 --> 00:01:38.200]  想想這是一個想像
[00:01:38.200 --> 00:01:40.400]  然後我們再下去
[00:01:40.400 --> 00:01:43.000]  我們先聽聽這段經文
[00:01:43.000 --> 00:01:48.200]  過了六天
[00:01:48.200 --> 00:01:52.200]  耶穌帶著彼得、雅各、約翰
[00:01:52.200 --> 00:01:54.600]  暗暗地上了高山
[00:01:54.600 --> 00:01:57.600]  就在他們面前變了形象
[00:01:57.600 --> 00:02:00.000]  衣服發放光
[00:02:00.000 --> 00:02:01.600]  極其潔白
[00:02:01.600 --> 00:02:03.600]  地上漂泊的
[00:02:03.600 --> 00:02:06.600]  沒有一個能漂得那樣白
[00:02:06.600 --> 00:02:11.200]  忽然有伊利亞和摩西向他們顯現
[00:02:11.200 --> 00:02:13.800]  並且和耶穌說話
[00:02:13.800 --> 00:02:15.800]  彼得對耶穌說
[00:02:15.800 --> 00:02:19.400]  拉比,我們在這裡真好
[00:02:19.400 --> 00:02:21.400]  可以搭三座棚
[00:02:21.400 --> 00:02:27.400]  一座為你,一座為摩西,一座為伊利亞
[00:02:27.400 --> 00:02:30.200]  彼得不知道說什麼才好
[00:02:30.200 --> 00:02:33.800]  因為他們甚是懼怕
[00:02:33.800 --> 00:02:36.600]  有一朵雲彩來遮蓋他們
[00:02:36.600 --> 00:02:40.200]  也有聲音從雲彩裡出來說
[00:02:40.200 --> 00:02:44.400]  這是我的愛子,你們要聽他
[00:02:44.400 --> 00:02:47.000]  門徒忽然周圍一看
[00:02:47.000 --> 00:02:48.600]  不再見一人
[00:02:48.600 --> 00:02:52.200]  只見耶穌和他們在那裡
[00:02:52.200 --> 00:02:53.800]  下山的時候
[00:02:53.800 --> 00:02:56.400]  耶穌祝福他們說
[00:02:56.400 --> 00:02:59.400]  人子還沒有從死裡復活
[00:02:59.400 --> 00:03:03.400]  你們不要將所看見的告訴人
[00:03:03.400 --> 00:03:06.600]  門徒張姐說傳記在心
[00:03:06.600 --> 00:03:11.200]  彼此議論從死裡復活是什麼意思
[00:03:11.200 --> 00:03:13.000]  他們就問耶穌說
[00:03:13.000 --> 00:03:17.000]  民是為什麼說伊利亞必須先來
[00:03:17.000 --> 00:03:21.600]  耶穌說伊利亞固然先來復興萬事
[00:03:21.600 --> 00:03:24.200]  經上不是指著人子說
[00:03:24.200 --> 00:03:28.600]  他要受許多的苦,被人輕慢
[00:03:28.600 --> 00:03:32.000]  我告訴你們,伊利亞已經來了
[00:03:32.000 --> 00:03:34.200]  他們也任意待他
[00:03:34.200 --> 00:03:38.000]  正如經上所指著他的話
[00:03:38.000 --> 00:03:40.000]  這段經文
[00:03:40.000 --> 00:03:45.800]  能否想像到畫面是怎樣
[00:03:45.800 --> 00:03:48.000]  還是想像昨晚看的電視
[00:03:48.000 --> 00:03:51.600]  還是看現在手機裡所說的話
[00:03:51.600 --> 00:03:56.400]  剛才說到耶穌去登山變像
[00:03:56.400 --> 00:04:00.400]  登山變像為什麼這麼重要
[00:04:00.400 --> 00:04:04.400]  在整個經文裡
[00:04:04.400 --> 00:04:09.600]  為什麼登山變像和救贖有關係
[00:04:09.600 --> 00:04:12.400]  首先要解釋一下經文
[00:04:12.400 --> 00:04:15.000]  在救贖的過程當中
[00:04:15.000 --> 00:04:18.200]  我們從耶穌的一生來看
[00:04:18.200 --> 00:04:20.600]  先是他的降生
[00:04:20.600 --> 00:04:25.600]  接著他受洗
[00:04:25.600 --> 00:04:28.400]  接著他受洗之後發生什麼事
[00:04:28.400 --> 00:04:34.000]  大家記得嗎
[00:04:34.000 --> 00:04:35.200]  聖靈降臨
[00:04:35.200 --> 00:04:39.200]  接著他去了哪裡
[00:04:39.200 --> 00:04:42.600]  受了四十天試探
[00:04:42.600 --> 00:04:47.000]  受洗之後他出來傳道
[00:04:47.000 --> 00:04:51.200]  然後到了差不多終段的時候
[00:04:51.200 --> 00:04:54.600]  就有登山變像
[00:04:54.600 --> 00:04:58.400]  然後就是他的受洗、復活、升天
[00:04:58.400 --> 00:05:05.800]  這是整個救贖的一個很重要的關鍵時段
[00:05:05.800 --> 00:05:08.600]  所以如果錯了
[00:05:08.600 --> 00:05:10.800]  沒有了其中一個部分
[00:05:10.800 --> 00:05:16.000]  整個救贖你和我都不會得到救恩
[00:05:16.000 --> 00:05:21.200]  為什麼登山變像是這麼重要的環節
[00:05:21.200 --> 00:05:23.400]  好像其他的故事
[00:05:23.400 --> 00:05:26.400]  五餅二魚不是救贖的關鍵
[00:05:26.400 --> 00:05:28.800]  為什麼要是登山變像
[00:05:28.800 --> 00:05:30.200]  登山變像
[00:05:30.200 --> 00:05:32.600]  剛才有沒有聽到一個很重要的訊息
[00:05:32.600 --> 00:05:37.800]  耶穌在帶門徒上山的時候
[00:05:37.800 --> 00:05:40.000]  看這個變像的時候
[00:05:40.000 --> 00:05:42.200]  他死了沒有
[00:05:42.200 --> 00:05:44.000]  他還沒有受洗
[00:05:44.000 --> 00:05:50.400]  但是他說他和哪一個人說話
[00:05:50.400 --> 00:05:52.400]  剛才經文說到
[00:05:52.400 --> 00:05:56.400]  他和兩個人說話
[00:05:56.400 --> 00:05:59.200]  摩西和以利亞
[00:05:59.200 --> 00:06:01.400]  但這兩個人死了沒有
[00:06:01.400 --> 00:06:02.400]  死了
[00:06:02.400 --> 00:06:05.800]  那就是說一個還沒死的人
[00:06:05.800 --> 00:06:08.800]  能夠和一個死的人說話
[00:06:08.800 --> 00:06:12.800]  你說你有沒有試過
[00:06:12.800 --> 00:06:15.600]  試過的話有人點頭
[00:06:15.600 --> 00:06:17.200]  很害怕
[00:06:17.200 --> 00:06:19.600]  有人試過舉手
[00:06:19.600 --> 00:06:21.800]  有人很大力點頭
[00:06:21.800 --> 00:06:24.600]  那你和哪一個人說話
[00:06:24.600 --> 00:06:26.600]  剛才很大力點頭那個
[00:06:26.600 --> 00:06:30.000]  點錯頭
[00:06:30.000 --> 00:06:36.400]  這是一個告訴我們一個很重要的關鍵
[00:06:36.400 --> 00:06:40.000]  他是一個神子
[00:06:40.000 --> 00:06:43.000]  他能夠在還沒死之前
[00:06:43.000 --> 00:06:46.400]  能夠和一些死人對話
[00:06:46.400 --> 00:06:50.400]  同樣在這個登山變像裡面
[00:06:50.400 --> 00:06:55.800]  為什麼會和摩西和以利亞說話呢?
[00:06:55.800 --> 00:06:58.000]  摩西在舊約裡面
[00:06:58.000 --> 00:07:01.000]  代表了一個很重要的
[00:07:01.000 --> 00:07:02.800]  就是律法
[00:07:02.800 --> 00:07:06.800]  而以利亞代表了先知
[00:07:06.800 --> 00:07:08.200]  同樣地
[00:07:08.200 --> 00:07:14.600]  整個片段都看到一個很重要的東西
[00:07:14.600 --> 00:07:18.400]  就是當什麼人都沒有
[00:07:18.400 --> 00:07:20.200]  但是聽到一個聲音
[00:07:20.200 --> 00:07:22.600]  那個聲音說了一句話
[00:07:22.600 --> 00:07:24.000]  那句話是什麼?
[00:07:24.000 --> 00:07:28.600]  「這是我的愛子,你要聽他的說話」
[00:07:28.600 --> 00:07:33.800]  證明了耶穌在舊約的時期
[00:07:33.800 --> 00:07:38.000]  先知所預言的那個尼塞亞
[00:07:38.000 --> 00:07:41.000]  所以這個就是登山變像
[00:07:41.000 --> 00:07:43.600]  在舊屬裡面的一個意義
[00:07:43.600 --> 00:07:46.000]  一開始的時候
[00:07:46.000 --> 00:07:48.600]  耶穌很愛三個門徒
[00:07:48.600 --> 00:07:52.000]  好像這三個人出現了很多次
[00:07:52.000 --> 00:07:55.000]  這次同樣是他們三個
[00:07:55.000 --> 00:07:56.800]  是哪三個?
[00:07:56.800 --> 00:08:01.800]  彼得、雅各、約翰
[00:08:01.800 --> 00:08:05.800]  這三個人除了帶他們去看登山變像之外
[00:08:05.800 --> 00:08:12.600]  還記得這三個人在什麼地方出現過嗎?
[00:08:12.600 --> 00:08:16.400]  有哪一個片段他們出現過?
[00:08:16.400 --> 00:08:19.400]  在最後的土谷赫西瑪利園
[00:08:19.400 --> 00:08:23.800]  還有一個是上兩個星期才說完的
[00:08:23.800 --> 00:08:25.600]  還是上個星期說完的?
[00:08:25.600 --> 00:08:27.600]  上兩個星期說完的
[00:08:27.600 --> 00:08:31.000]  都是這三個人見證著
[00:08:31.000 --> 00:08:42.600]  醫好了患了十二年血流婦人的事情
[00:08:42.600 --> 00:08:50.000]  都是帶著這三個門徒去看
[00:08:50.000 --> 00:08:53.800]  為什麼耶穌要帶著這個門徒上山
[00:08:53.800 --> 00:08:55.800]  去看登山變像?
[00:08:55.800 --> 00:08:57.200]  祂有什麼目的?
[00:08:57.200 --> 00:08:59.200]  為什麼不帶著十二個
[00:08:59.200 --> 00:09:01.200]  只帶著這三個?
[00:09:01.200 --> 00:09:08.200]  如果我今天要帶你們去看一些東西
[00:09:08.200 --> 00:09:11.200]  我就在你們的地上選三個
[00:09:11.200 --> 00:09:13.200]  一直都是這三個人跟著我
[00:09:13.200 --> 00:09:15.200]  是什麼原因呢?
[00:09:15.200 --> 00:09:20.200]  學習的為什麼要選三個
[00:09:20.200 --> 00:09:22.200]  而不選十二個學習的呢?
[00:09:22.200 --> 00:09:25.200]  其他九個比較笨?
[00:09:25.200 --> 00:09:29.200]  為什麼呢?
[00:09:29.200 --> 00:09:31.200]  想想吧
[00:09:31.200 --> 00:09:35.200]  還是這三個名字比較好聽?
[00:09:35.200 --> 00:09:38.200]  會不會呢?
[00:09:40.200 --> 00:09:42.200]  這個要想一想
[00:09:42.200 --> 00:09:44.200]  一會兒我們再繼續說
[00:09:44.200 --> 00:09:46.200]  登山變像是
[00:09:46.200 --> 00:09:50.200]  耶穌一直以來都很愛彼得
[00:09:50.200 --> 00:09:54.200]  彼得問了彼得很多次
[00:09:54.200 --> 00:09:56.200]  你愛不愛我?
[00:09:56.200 --> 00:09:59.200]  然後彼得最後怎樣回應耶穌?
[00:09:59.200 --> 00:10:02.200]  三次沒有回應他
[00:10:02.200 --> 00:10:07.200]  但是同樣在彼得和雅各約翰
[00:10:07.200 --> 00:10:10.200]  去看這個登山變像
[00:10:10.200 --> 00:10:12.200]  在一個很重要的時刻
[00:10:12.200 --> 00:10:14.200]  就是耶穌第一次
[00:10:14.200 --> 00:10:17.200]  預言告訴他們
[00:10:17.200 --> 00:10:20.200]  他將要受死
[00:10:20.200 --> 00:10:24.200]  這三個是他最愛的門徒
[00:10:24.200 --> 00:10:28.200]  我猜人和人的相處都是很特別的
[00:10:28.200 --> 00:10:32.200]  就算是耶穌也會選一三個
[00:10:32.200 --> 00:10:34.200]  跟他比較親密的人
[00:10:34.200 --> 00:10:38.200]  去做一個交棒成全的重要時刻
[00:10:38.200 --> 00:10:43.200]  但是彼得卻是很多事情都不明白
[00:10:43.200 --> 00:10:45.200]  就像你們坐在這裡很多事情都不明白
[00:10:45.200 --> 00:10:47.200]  所以就要學習了
[00:10:47.200 --> 00:10:49.200]  彼得說一見到
[00:10:49.200 --> 00:10:53.200]  他和以利亞和摩西說話的時候
[00:10:53.200 --> 00:10:57.200]  第一句回應是什麼?
[00:10:57.200 --> 00:11:01.200]  起什麼?
[00:11:01.200 --> 00:11:03.200]  起三個棒
[00:11:03.200 --> 00:11:07.200]  為什麼要起三個棒給他們?
[00:11:07.200 --> 00:11:14.200]  當時是什麼情況要起三個棒?
[00:11:14.200 --> 00:11:20.200]  住,要他們在這裡住
[00:11:20.200 --> 00:11:25.200]  他很想見到有代表律法的
[00:11:25.200 --> 00:11:27.200]  代表先知的和耶穌
[00:11:27.200 --> 00:11:29.200]  他知道耶穌是尼塞亞的時候
[00:11:29.200 --> 00:11:33.200]  他覺得這三個人圍繞著自己
[00:11:33.200 --> 00:11:34.200]  很安全
[00:11:34.200 --> 00:11:36.200]  於是他就覺得
[00:11:36.200 --> 00:11:38.200]  我要為你起三個棒
[00:11:38.200 --> 00:11:40.200]  我們可以一起留在山上
[00:11:40.200 --> 00:11:42.200]  這樣就非常好
[00:11:42.200 --> 00:11:45.200]  但是耶穌卻不是這樣
[00:11:45.200 --> 00:11:49.200]  告訴他要下山
[00:11:49.200 --> 00:11:52.200]  其實神告訴我們
[00:11:52.200 --> 00:11:57.200]  我們如果只是安殊在一個地方
[00:11:57.200 --> 00:11:59.200]  其實並不足夠
[00:11:59.200 --> 00:12:02.200]  我們要勇敢的走出去
[00:12:02.200 --> 00:12:04.200]  就像耶穌告訴他
[00:12:04.200 --> 00:12:07.200]  就算你現在看到的東西
[00:12:07.200 --> 00:12:10.200]  都是要等到我死了之後
[00:12:10.200 --> 00:12:15.200]  才可以告訴其他人
[00:12:15.200 --> 00:12:17.200]  這個登山變象
[00:12:17.200 --> 00:12:21.200]  說了兩件和經文很有關係的事情之後
[00:12:21.200 --> 00:12:23.200]  到底這個登山變象
[00:12:23.200 --> 00:12:25.200]  和我們有什麼關係呢?
[00:12:25.200 --> 00:12:32.200]  你覺得和我們有什麼關係呢?
[00:12:32.200 --> 00:12:37.200]  要想才行
[00:12:37.200 --> 00:12:39.200]  不要等我講
[00:12:39.200 --> 00:12:41.200]  你們可以互動
[00:12:41.200 --> 00:12:43.200]  因為不是大禮堂
[00:12:43.200 --> 00:12:46.200]  大禮堂是不能互動的
[00:12:46.200 --> 00:12:51.200]  登山變象和我們有什麼關係呢?
[00:12:51.200 --> 00:12:53.200]  他回應
[00:12:53.200 --> 00:12:56.200]  (觀眾:沒有)
[00:12:56.200 --> 00:13:00.200]  是,還有沒有?
[00:13:00.200 --> 00:13:03.200]  可不可以讓我們去學習一下
[00:13:03.200 --> 00:13:05.200]  認識耶穌的神聖
[00:13:05.200 --> 00:13:08.200]  為什麼要認識耶穌的神聖呢?
[00:13:08.200 --> 00:13:11.200]  如果你去到山頂上
[00:13:11.200 --> 00:13:14.200]  有一天我帶著三個門徒
[00:13:14.200 --> 00:13:16.200]  去一個地方
[00:13:16.200 --> 00:13:19.200]  然後你看到我變了另一件事
[00:13:19.200 --> 00:13:22.200]  你會覺得這是什麼情況呢?
[00:13:22.200 --> 00:13:24.200]  很可怕
[00:13:24.200 --> 00:13:27.200]  他的門徒也覺得很害怕
