
[00:00:00.000 --> 00:00:02.000]  廣東黨弟兄姊妹午安
[00:00:02.000 --> 00:00:04.840]  今天看完這段經文的時候
[00:00:04.840 --> 00:00:07.000]  我有兩個取向
[00:00:07.000 --> 00:00:10.640]  就是究竟講上帝是一個聖潔的主
[00:00:10.640 --> 00:00:12.440]  還是講上帝是一個生命的主
[00:00:12.440 --> 00:00:15.120]  其實兩樣都可以說的
[00:00:15.120 --> 00:00:18.680]  其實我沒有特別留意
[00:00:18.680 --> 00:00:21.480]  禮拜六堂和禮拜日的清早堂
[00:00:21.480 --> 00:00:24.080]  應該是講聖潔的方面
[00:00:24.080 --> 00:00:25.880]  兩個都可以說
[00:00:25.880 --> 00:00:30.320]  今天就是講特別圍繞上帝是一個生命的主
[00:00:30.320 --> 00:00:34.000]  我給一個命題叫神對死亡的答案
[00:00:34.000 --> 00:00:37.280]  如果你有聖經或者紙也好
[00:00:37.280 --> 00:00:38.600]  或者電子版也好
[00:00:38.600 --> 00:00:40.600]  可以打開文掃記第十九章
[00:00:40.600 --> 00:00:46.520]  今天的經文是環繞著第十九章的第一到第二十二節
[00:00:46.520 --> 00:00:47.400]  聖經這樣說
[00:00:47.400 --> 00:00:51.000]  耶和華吩咐摩西和亞倫娃
[00:00:51.000 --> 00:00:52.720]  耶和華所吩咐的六法宗
[00:00:52.720 --> 00:00:55.200]  其中一條律例是這樣說的
[00:00:55.200 --> 00:00:56.160]  講得很清楚
[00:00:56.160 --> 00:00:59.160]  一開始就是其中一條律例是這樣說的
[00:00:59.160 --> 00:01:01.080]  要吩咐以色列人
[00:01:01.080 --> 00:01:07.960]  把一頭健康的、沒有殘疾的、未曾負壓的紅帽牛
[00:01:07.960 --> 00:01:09.760]  到這裡來
[00:01:09.760 --> 00:01:13.000]  接著就交給祭司以利亞撒
[00:01:13.000 --> 00:01:17.160]  接著他就要把牛牽到營外
[00:01:17.160 --> 00:01:21.240]  人就在他面前把牛宰了
[00:01:21.240 --> 00:01:23.720]  這個就是整個經文
[00:01:23.720 --> 00:01:28.120]  其實是在說耶和華和摩西和亞倫說的一條律例
[00:01:28.120 --> 00:01:29.920]  那條律例就是這樣的
[00:01:29.920 --> 00:01:37.600]  你要找一個健康、沒有殘疾的、未曾負壓的、未曾做任何工作的
[00:01:37.600 --> 00:01:42.120]  很清潔的、沒有罪的、牽道者裡來
[00:01:42.120 --> 00:01:44.320]  帶到營外
[00:01:44.320 --> 00:01:45.640]  大家記住營外這個字
[00:01:45.640 --> 00:01:46.840]  待會會再說
[00:01:46.840 --> 00:01:50.680]  帶到營外就把牛宰了
[00:01:50.680 --> 00:01:53.120]  聖經說了很多個制
[00:01:53.120 --> 00:01:54.880]  但這裡又不是說一個制
[00:01:54.880 --> 00:01:56.040]  是說一個律法
[00:01:56.040 --> 00:02:00.160]  吩咐的律法你要這樣做
[00:02:00.160 --> 00:02:06.520]  這個律法有一講及一個紅帽牛
[00:02:06.520 --> 00:02:11.400]  紅帽牛其實只是在文素記第十九章說過
[00:02:11.400 --> 00:02:13.680]  跟其他憲制有一點點不同
[00:02:13.680 --> 00:02:15.880]  待會大約會說一點點
[00:02:15.880 --> 00:02:17.400]  大家留意兩件事
[00:02:17.400 --> 00:02:19.080]  第一是紅帽牛
[00:02:19.080 --> 00:02:21.640]  第二是營外
[00:02:21.640 --> 00:02:28.080]  第九節說一個潔淨的人要收母牛的灰燒掉
[00:02:28.080 --> 00:02:32.480]  然後存放在營外潔淨的地方
[00:02:32.480 --> 00:02:34.760]  為以色列會眾留作
[00:02:34.760 --> 00:02:38.000]  除污為水之用
[00:02:38.000 --> 00:02:41.000]  這是為除罪用的
[00:02:41.000 --> 00:02:46.280]  第九節說明一個潔淨的人要收母牛的灰
[00:02:46.280 --> 00:02:48.120]  然後在一個潔淨的地方
[00:02:48.120 --> 00:02:53.040]  要以色列會眾留作除污為水
[00:02:53.040 --> 00:02:55.160]  為以除罪用
[00:02:55.160 --> 00:02:57.720]  這個律例
[00:02:57.720 --> 00:03:01.560]  好像一個制也要燒一個牛
[00:03:01.560 --> 00:03:07.640]  跟尼米基所講及的五大制有一點點不同
[00:03:07.640 --> 00:03:09.600]  待會會再說
[00:03:09.600 --> 00:03:11.360]  但這裡請留意
[00:03:11.360 --> 00:03:18.840]  那些灰之後留在這裡變成除污為水
[00:03:18.840 --> 00:03:21.600]  和除罪用
[00:03:21.600 --> 00:03:24.200]  這個律例
[00:03:24.200 --> 00:03:27.440]  如果從一個文獻記載
[00:03:27.440 --> 00:03:29.920]  其實以色列人不是做過很多次
[00:03:29.920 --> 00:03:31.360]  是少過十次
[00:03:31.360 --> 00:03:33.400]  因為聖經一會會繼續說
