
[00:00:00.000 --> 00:00:07.800]  好, 各位好, 我是Pat, 今天很開心可以跟大家分享
[00:00:07.800 --> 00:00:10.120]  在開始之前, 我們先玩一個遊戲
[00:00:10.120 --> 00:00:13.120]  這個遊戲不知道大家有沒有玩過
[00:00:13.120 --> 00:00:15.520]  叫殘酷二選一
[00:00:15.520 --> 00:00:17.880]  不知道有沒有玩過呢? 很簡單
[00:00:17.880 --> 00:00:20.280]  一間有兩個抉擇
[00:00:20.280 --> 00:00:25.120]  你們只可以選擇一個, 在其中一個選擇一個
[00:00:25.120 --> 00:00:28.920]  如果你比較認同那個抉擇, 你拍手就可以了
[00:00:28.920 --> 00:00:32.000]  但不可以加碼, 不可以兩個都拍過
[00:00:32.000 --> 00:00:33.800]  只可以拍一次
[00:00:33.800 --> 00:00:35.200]  大家準備好了嗎?
[00:00:35.200 --> 00:00:37.080]  好, 我們開始吧
[00:00:37.080 --> 00:00:39.960]  人生抉擇, 首先第一個抉擇
[00:00:39.960 --> 00:00:45.040]  你們會想在酷熱天氣下吃沒有冷氣的火鍋
[00:00:45.040 --> 00:00:48.960]  還是想在嚴寒天氣下吃雪條
[00:00:48.960 --> 00:00:51.400]  第一個抉擇的, 先拍手
[00:00:51.400 --> 00:00:54.760]  好, 第二個呢?
[00:00:54.760 --> 00:00:55.840]  沒事
[00:00:55.840 --> 00:00:58.880]  OK, 似乎大家比較喜歡吃雪條
[00:00:58.880 --> 00:01:00.640]  好, 第二個
[00:01:00.640 --> 00:01:03.720]  大家覺得功課做到尾
[00:01:03.720 --> 00:01:06.480]  電腦突然下降, 這樣比較OK
[00:01:06.480 --> 00:01:10.760]  還是在洗澡, 全身泡的時候突然沒有水
[00:01:10.760 --> 00:01:12.760]  第一個, 大家可以拍手
[00:01:12.760 --> 00:01:15.120]  少許
[00:01:15.120 --> 00:01:17.120]  好, 第二個呢?
[00:01:17.120 --> 00:01:22.840]  大家很厲害, 功課可以再做
[00:01:22.840 --> 00:01:24.960]  非常好, 之後
[00:01:24.960 --> 00:01:27.960]  大家會覺得以後每一天
[00:01:27.960 --> 00:01:31.080]  只可以用一個小時的手機比較OK
[00:01:31.080 --> 00:01:33.920]  還是要刪除全部IG帳戶
[00:01:33.920 --> 00:01:35.920]  第一個呢?
[00:01:35.920 --> 00:01:39.560]  好, 第二個呢?
[00:01:39.560 --> 00:01:42.680]  OK, 好, 差不多了
[00:01:42.680 --> 00:01:45.400]  好, 之後
[00:01:45.400 --> 00:01:49.600]  大家比較喜歡無人島生活
[00:01:49.600 --> 00:01:51.400]  還是跟一群很吵的人
[00:01:51.400 --> 00:01:54.120]  擠在一個很小的空間裡住
[00:01:54.120 --> 00:01:56.120]  第一個, 先拍手
[00:01:57.720 --> 00:01:59.720]  好, 第二個呢?
[00:01:59.720 --> 00:02:01.720]  似乎比較少人喜歡吵
[00:02:01.720 --> 00:02:03.360]  好, 謝謝大家
[00:02:03.360 --> 00:02:05.880]  好, 大家如果可以選擇
[00:02:05.880 --> 00:02:08.760]  想要一隻會說話的寵物
[00:02:08.760 --> 00:02:12.640]  還是可以跟自己的男神或女神拍拖呢?
[00:02:12.640 --> 00:02:14.640]  第一個, 拍手
[00:02:14.640 --> 00:02:17.680]  好, 第二個呢?
[00:02:17.680 --> 00:02:19.920]  現在少了一條
[00:02:19.920 --> 00:02:22.240]  OK, 似乎大家都喜歡寵物
[00:02:22.240 --> 00:02:24.360]  還有會說話的都很開心, 是不是?
[00:02:24.360 --> 00:02:26.160]  好, 之後
[00:02:26.160 --> 00:02:29.760]  大家比較喜歡預知未來
[00:02:29.760 --> 00:02:31.760]  還是可以回到過去呢?
[00:02:31.760 --> 00:02:33.760]  預知未來的, 先拍手
[00:02:33.760 --> 00:02:38.240]  回到過去呢?
[00:02:38.240 --> 00:02:40.240]  差不多了
[00:02:40.240 --> 00:02:42.880]  OK, 好了
[00:02:42.880 --> 00:02:44.320]  最後一條
[00:02:44.320 --> 00:02:49.560]  大家會想得到你所有想要的東西
[00:02:49.560 --> 00:02:51.240]  但是只可以生活一年
[00:02:51.240 --> 00:02:54.600]  還是一輩子過現在的生活
[00:02:54.600 --> 00:02:56.600]  第一個, 大家可以先拍手嗎?
[00:02:56.600 --> 00:02:58.280]  有一點
[00:02:58.280 --> 00:02:59.880]  第二個呢?
[00:02:59.880 --> 00:03:01.880]  哇, 多了一些人
[00:03:01.880 --> 00:03:04.280]  大家似乎現在的生活都很開心
[00:03:04.280 --> 00:03:05.720]  還有無憂無慮
[00:03:05.720 --> 00:03:07.520]  好, 多謝大家
[00:03:07.520 --> 00:03:10.280]  剛才覺得要選擇這些東西困難嗎?
[00:03:10.280 --> 00:03:11.520]  有沒有挑戰?
[00:03:11.520 --> 00:03:13.760]  因為我們叫「殘酷二選一」
[00:03:13.760 --> 00:03:16.560]  所以其實有很多人生交叉點
[00:03:16.560 --> 00:03:18.880]  都不是那麼容易選擇的
[00:03:18.880 --> 00:03:21.480]  所以我們發覺人生有很多決定
[00:03:21.480 --> 00:03:22.800]  都不是那麼容易的
[00:03:22.800 --> 00:03:24.400]  但是重點是
[00:03:24.400 --> 00:03:27.640]  人生到底最重要的是什麼呢?
[00:03:27.640 --> 00:03:30.040]  今天我們會說一點
[00:03:30.040 --> 00:03:32.560]  首先我先說一下我自己的故事
[00:03:32.560 --> 00:03:34.400]  今天我主要都是說故事
[00:03:34.400 --> 00:03:35.680]  我呢
[00:03:35.680 --> 00:03:38.160]  其實人生都有很多不同的階段
[00:03:38.160 --> 00:03:40.480]  我那時候是大學
[00:03:40.480 --> 00:03:43.680]  不知道大家能否猜到我讀什麼科目呢?
[00:03:43.680 --> 00:03:45.680]  有沒有人想猜一下?
[00:03:45.680 --> 00:03:47.480]  什麼?
[00:03:47.480 --> 00:03:49.480]  藝術, OK
[00:03:49.480 --> 00:03:52.120]  其實那時候我是讀土木工程的
[00:03:52.120 --> 00:03:53.320]  很多人都猜不到的
[00:03:53.320 --> 00:03:56.520]  好, 剛才大家都知道
[00:03:56.520 --> 00:03:58.840]  我是在金融行業工作的
[00:03:58.840 --> 00:04:00.720]  但是你知不知道多數人看我的樣子
[00:04:00.720 --> 00:04:02.120]  覺得我做什麼職業呢?
[00:04:02.120 --> 00:04:03.000]  老師
[00:04:03.000 --> 00:04:05.120]  是的, 真的是老師
[00:04:05.120 --> 00:04:07.680]  還有人說我是教幼稚園的
[00:04:07.680 --> 00:04:08.960]  不只是老師那麼簡單
[00:04:08.960 --> 00:04:10.760]  還要是教幼稚園的老師
[00:04:10.760 --> 00:04:12.680]  所以有時候人們看到我
[00:04:12.680 --> 00:04:14.440]  為什麼你會讀土木工程
[00:04:14.440 --> 00:04:17.520]  還有為什麼會去做投資銀行呢?
[00:04:17.520 --> 00:04:19.160]  我記得那時候我在投資銀行
