
[00:00:00.000 --> 00:00:02.000]  昨晚真的是非常開心啊
[00:00:02.000 --> 00:00:04.000]  有機會沒有其他活動
[00:00:04.000 --> 00:00:07.000]  能夠參加這個敞篷巴士的弟兄姐妹
[00:00:07.000 --> 00:00:11.000]  真的是大家也會在團慶裡面看到照片
[00:00:11.000 --> 00:00:13.000]  還有一些錄像啊
[00:00:13.000 --> 00:00:14.000]  很感恩啊
[00:00:14.000 --> 00:00:16.000]  我很喜歡佩玉用的一句話來形容
[00:00:16.000 --> 00:00:18.000]  我們回到尖沙咀的時候
[00:00:18.000 --> 00:00:20.000]  當我們回到尖沙咀的時候
[00:00:20.000 --> 00:00:22.000]  那個時候大家已經吃飽飯了
[00:00:22.000 --> 00:00:24.000]  一些人已經趕到尖沙咀
[00:00:24.000 --> 00:00:26.000]  佩玉用了一句話很貼切啊
[00:00:26.000 --> 00:00:29.000]  她說感覺好像普天同慶啊
[00:00:29.000 --> 00:00:31.000]  因為那裡都是人
[00:00:31.000 --> 00:00:33.000]  然後我們的敞篷巴士走過
[00:00:33.000 --> 00:00:35.000]  我們跟他們說聖誕快樂
[00:00:35.000 --> 00:00:37.000]  聖誕快樂 耶穌愛你
[00:00:37.000 --> 00:00:39.000]  他們也在那邊揮手回來
[00:00:39.000 --> 00:00:40.000]  聖誕快樂 耶穌愛你
[00:00:40.000 --> 00:00:41.000]  非常非常美妙
[00:00:41.000 --> 00:00:43.000]  真的是誰的生日啊
[00:00:43.000 --> 00:00:44.000]  大家都去參加
[00:00:44.000 --> 00:00:45.000]  誰的生日啊
[00:00:45.000 --> 00:00:47.000]  原來是主耶穌的生日
[00:00:47.000 --> 00:00:49.000]  主耶穌的生日呢
[00:00:49.000 --> 00:00:51.000]  讓我們去普天同慶啊
[00:00:51.000 --> 00:00:53.000]  真的很貼切啊
[00:00:53.000 --> 00:00:56.000]  那麼我們一直都在講主耶穌
[00:00:56.000 --> 00:00:58.000]  在這個馬可福音的講道系列
[00:00:58.000 --> 00:01:03.000]  主耶穌是世界上最具正義性的人物啊
[00:01:03.000 --> 00:01:06.000]  因為有人就相信祂很有能力
[00:01:06.000 --> 00:01:08.000]  但是不相信祂是神
[00:01:08.000 --> 00:01:09.000]  那麼不相信祂是神
[00:01:09.000 --> 00:01:12.000]  只相信祂有能力或者很有道德呢
[00:01:12.000 --> 00:01:14.000]  是兩回事 是完全兩回事
[00:01:14.000 --> 00:01:16.000]  我們可以認識很多好的人
[00:01:16.000 --> 00:01:18.000]  很多有良心的宗教領袖
[00:01:18.000 --> 00:01:20.000]  但是如果他說祂是神呢
[00:01:20.000 --> 00:01:24.000]  這個讓我們真的是需要去好好思考一下了
[00:01:24.000 --> 00:01:26.000]  因為你相不相信祂是神呢
[00:01:26.000 --> 00:01:28.000]  就影響了你的生命了
[00:01:28.000 --> 00:01:32.000]  那麼我們一直都在看馬可福音的講道系列
[00:01:32.000 --> 00:01:34.000]  那麼上一回呢
[00:01:34.000 --> 00:01:38.000]  上一回我們看到耶穌與希臘婦人的對話啊
[00:01:38.000 --> 00:01:39.000]  我們學了幾個功課
[00:01:39.000 --> 00:01:40.000]  我們重溫一下
[00:01:40.000 --> 00:01:41.000]  第一呢就是
[00:01:41.000 --> 00:01:46.000]  信心是將自己愛的人的需要呢
[00:01:46.000 --> 00:01:48.000]  帶到耶穌那裡啊
[00:01:48.000 --> 00:01:50.000]  那個希臘的婦女
[00:01:50.000 --> 00:01:52.000]  她自己的女兒被鬼扶了
[00:01:52.000 --> 00:01:53.000]  她當然有需要
[00:01:53.000 --> 00:01:55.000]  她把自己愛的女兒呢
[00:01:55.000 --> 00:01:57.000]  她為了自己所愛的女兒呢
[00:01:57.000 --> 00:02:01.000]  她俯伏在地上求耶穌來幫她女兒趕鬼啊
[00:02:01.000 --> 00:02:03.000]  那麼信心也是什麼呢
[00:02:03.000 --> 00:02:04.000]  信心是聽到神的話呢
[00:02:04.000 --> 00:02:06.000]  要有回應啊
[00:02:06.000 --> 00:02:07.000]  聖經記載那婦女呢
[00:02:07.000 --> 00:02:09.000]  她是聽過耶穌的事情的啊
