
[00:00:00.000 --> 00:00:02.000]  大家好,Shalom,平安
[00:00:02.000 --> 00:00:06.000]  我們都很需要平安,也很需要主的救恩
[00:00:06.000 --> 00:00:09.000]  就好像Carmen姐妹一樣
[00:00:09.000 --> 00:00:11.000]  她認識了主之後
[00:00:11.000 --> 00:00:15.000]  她就是有這個平安,有這個喜樂
[00:00:15.000 --> 00:00:19.000]  甚至她願意獻身去服侍主
[00:00:19.000 --> 00:00:22.000]  今天我們來到這裡
[00:00:22.000 --> 00:00:28.000]  其實教會已經說了使徒行傳很長一段時間
[00:00:28.000 --> 00:00:31.000]  現在接近尾聲
[00:00:31.000 --> 00:00:34.000]  保羅這個人是很重要的
[00:00:34.000 --> 00:00:38.000]  他在使徒行傳裡面由九章開始出現
[00:00:38.000 --> 00:00:41.000]  到28節都有他份
[00:00:41.000 --> 00:00:44.000]  你想想有多少是他
[00:00:44.000 --> 00:00:50.000]  我們今天看的經文就是第26章和第25章
[00:00:50.000 --> 00:00:53.000]  篇幅不是短的,是兩篇的
[00:00:53.000 --> 00:00:58.000]  但我看完保羅之後,我就覺得
[00:00:58.000 --> 00:01:01.000]  他真的是一個真真實實的基督徒
[00:01:01.000 --> 00:01:04.000]  他是不折不扣的基督徒
[00:01:04.000 --> 00:01:06.000]  所以我決定今天的題目
[00:01:06.000 --> 00:01:11.000]  我定為是真實的基督徒,保羅
[00:01:11.000 --> 00:01:17.000]  對於保羅來說,其實人生有起有跌
[00:01:17.000 --> 00:01:21.000]  他之前是很順利地去傳福音
[00:01:21.000 --> 00:01:25.000]  去到哪裡都成功,趕鬼也行
[00:01:25.000 --> 00:01:34.000]  不過來到24章,他就被人要他去監牢裡面
[00:01:34.000 --> 00:01:37.000]  臣要他去等候
[00:01:37.000 --> 00:01:42.000]  在這個監牢裡面竟然要坐兩年監
[00:01:42.000 --> 00:01:46.000]  對於他來說,之前可以到處去傳道
[00:01:46.000 --> 00:01:49.000]  現在要靜下來在監牢裡面
[00:01:49.000 --> 00:01:52.000]  我相信不會好受
[00:01:52.000 --> 00:01:59.000]  但他卻仍然有信心去信服神的安排
[00:01:59.000 --> 00:02:03.000]  今天我們就在第25章和第26章
[00:02:03.000 --> 00:02:09.000]  去看一下保羅,他究竟是一個怎樣的基督徒
[00:02:09.000 --> 00:02:15.000]  我們進入經文之先,我們有一個簡單的祈禱
[00:02:15.000 --> 00:02:20.000]  參見主,你就是那位創始成中的主
[00:02:20.000 --> 00:02:22.000]  感謝你的救贖
[00:02:22.000 --> 00:02:27.000]  你讓我們每一個基督徒都能夠和你和好
[00:02:27.000 --> 00:02:33.000]  因為你的十誡上的死,我們得以和天父和好
[00:02:33.000 --> 00:02:38.000]  主,求你打開我們的眼睛,打開我們的耳朵
[00:02:38.000 --> 00:02:42.000]  讓我們進入你的裡面
[00:02:42.000 --> 00:02:46.000]  讓我們能夠更生
[00:02:46.000 --> 00:02:51.000]  讓我們不單單聽道,我們還要行道
[00:02:51.000 --> 00:02:54.000]  活出基督你的教導
[00:02:54.000 --> 00:02:58.000]  我們這樣的禱告,是奉主耶穌基督的聖名求
[00:02:58.000 --> 00:03:01.000]  阿們
[00:03:01.000 --> 00:03:03.000]  25章和26章其實很長
[00:03:03.000 --> 00:03:06.000]  我就不會講完25章和26章
[00:03:06.000 --> 00:03:10.000]  但我怎樣都要講一下25章和26章是講什麼
[00:03:10.000 --> 00:03:13.000]  重點會在後面
[00:03:13.000 --> 00:03:16.000]  我首先講一下25章有什麼要講
[00:03:16.000 --> 00:03:19.000]  25章就是承接24章
[00:03:19.000 --> 00:03:21.000]  菲力斯審訊完保羅之後
[00:03:21.000 --> 00:03:24.000]  他發現了沒有結論
[00:03:24.000 --> 00:03:29.000]  但是保羅要上告凱撒
[00:03:29.000 --> 00:03:33.000]  事情就這樣一拖再拖
[00:03:33.000 --> 00:03:39.000]  拖到新的總督菲斯都來上任
[00:03:39.000 --> 00:03:43.000]  我們可以看到其實
[00:03:43.000 --> 00:03:48.000]  菲力斯他都不願意去得罪當時的人
[00:03:48.000 --> 00:03:50.000]  當時的權貴
[00:03:50.000 --> 00:03:52.000]  他唯有一拖再拖
[00:03:52.000 --> 00:03:55.000]  其實我們今天的社會都會看到這樣的人
