
[00:00:00.000 --> 00:00:04.800]  多謝施班養一首美麗的詩歌帶領我們去敬拜
[00:00:04.800 --> 00:00:08.320]  各位聽眾
[00:00:08.320 --> 00:00:12.480]  我們在聽之前先讀一下今日的經文
[00:00:12.480 --> 00:00:15.920]  我們先讀《馬科鞍》14章3到9節
[00:00:15.920 --> 00:00:19.040]  我們一起讀這段聖經
[00:00:19.040 --> 00:00:21.040]  1、2、3
[00:00:21.040 --> 00:00:26.560]  耶穌在伯大利麻風病人西門嘉呂坐寂的時候
[00:00:26.560 --> 00:00:32.000]  有一個女人拿著一玉瓶極貴的純拿達香膏來
[00:00:32.000 --> 00:00:36.480]  打破玉瓶,把膏繞在耶穌的頭上
[00:00:36.480 --> 00:00:39.680]  有幾個人心中很不高興說
[00:00:39.680 --> 00:00:42.240]  何必這樣浪費香膏呢?
[00:00:42.240 --> 00:00:47.040]  這香膏可以賣三百多個銀幣周濟窮人
[00:00:47.040 --> 00:00:49.680]  他們就對那女人生氣
[00:00:49.680 --> 00:00:53.920]  耶穌說:由他吧,為甚麼難為他呢?
[00:00:53.920 --> 00:00:57.520]  他在我身上做的是一件美事
[00:00:57.520 --> 00:01:01.120]  因為常有窮人和你們在一起
[00:01:01.120 --> 00:01:04.640]  要向他們行善隨時都可以
[00:01:04.640 --> 00:01:07.120]  但是你們不常有我
[00:01:07.120 --> 00:01:10.160]  我所做的是盡他所能的
[00:01:10.160 --> 00:01:12.400]  他是為了我的安葬
[00:01:12.400 --> 00:01:15.600]  把香膏預先繞在我身上
[00:01:15.600 --> 00:01:17.600]  我實在告訴你們
[00:01:17.600 --> 00:01:22.000]  普天之下無論在甚麼地方傳這福音
[00:01:22.000 --> 00:01:24.880]  都要述說這女人所做的
[00:01:24.880 --> 00:01:26.880]  去紀念他
[00:01:26.880 --> 00:01:29.680]  姐妹們,如果我告訴你
[00:01:29.680 --> 00:01:33.200]  你下星期再回來崇拜的時候
[00:01:33.200 --> 00:01:38.640]  你把你心中最重要、最貴重的東西
[00:01:38.640 --> 00:01:42.480]  帶來教會奉獻給耶穌
[00:01:42.480 --> 00:01:45.680]  你會帶一件甚麼來?
[00:01:49.680 --> 00:01:52.880]  不知道姐妹們會不會帶一隻鑽石戒指來
[00:01:52.880 --> 00:01:55.280]  你說這是我結婚的時候
[00:01:55.280 --> 00:01:57.680]  我丈夫買給我的
[00:01:57.680 --> 00:02:00.560]  在聖壇面前他為我戴上的時候
[00:02:00.560 --> 00:02:04.560]  就成就了一段非常甜美的婚姻生活
[00:02:04.560 --> 00:02:05.840]  所以很重要的
[00:02:05.840 --> 00:02:07.840]  是我的至寶來的
[00:02:07.840 --> 00:02:14.880]  弟兄可能帶一條又舊又殘
[00:02:14.880 --> 00:02:16.880]  現在還不流行的胎來
[00:02:18.080 --> 00:02:20.080]  他說我追求我的女朋友
[00:02:20.080 --> 00:02:22.080]  現在我太太的時候
