
[00:00:00.000 --> 00:00:02.000]  (字幕:陳昇)
[00:00:02.000 --> 00:00:07.680]  各位弟兄姊妹 大家主內平安
[00:00:07.680 --> 00:00:11.120]  感恩我們又相聚在一起
[00:00:11.120 --> 00:00:12.560]  每次看到大家
[00:00:12.560 --> 00:00:14.880]  我就覺得外在的天氣
[00:00:14.880 --> 00:00:19.480]  不論是寒冷也好 炎熱也罷
[00:00:19.480 --> 00:00:22.920]  都有歡欣喜悅的心
[00:00:22.920 --> 00:00:27.440]  因為主的旨意 讓我們相聚在一起
[00:00:27.760 --> 00:00:30.440]  我們是跟從主的子民
[00:00:30.440 --> 00:00:33.320]  那麼今天也要特別和大家分享
[00:00:33.320 --> 00:00:35.960]  「專心跟從」這樣一個題目
[00:00:35.960 --> 00:00:39.080]  那麼盼望神就和我們說話
[00:00:39.080 --> 00:00:43.640]  繼續來建立我們的群體 陶造我們的生命
[00:00:43.640 --> 00:00:45.400]  我們一起先有一個禱告
[00:00:45.400 --> 00:00:50.120]  天父我們的主 祢愛我們
[00:00:50.120 --> 00:00:54.280]  祢願意在生命當中 賜福我們
[00:00:54.280 --> 00:00:57.520]  引領我們走那得勝的道路
[00:00:58.440 --> 00:01:01.320]  主啊 讓我們都可以敞開心扉
[00:01:01.320 --> 00:01:04.600]  將祢的話語澆灌在我們的心田
[00:01:04.600 --> 00:01:07.200]  讓我們更加的明白祢
[00:01:07.200 --> 00:01:09.440]  了解主祢的旨意
[00:01:09.440 --> 00:01:13.440]  更多的擺上專心的跟從
[00:01:13.440 --> 00:01:16.160]  願我口中的話語
[00:01:16.160 --> 00:01:18.920]  眾弟兄姊妹的心懷意念
[00:01:18.920 --> 00:01:21.480]  都得蒙天父上帝的願啊
[00:01:21.480 --> 00:01:24.200]  同心禱告 奉主明求
[00:01:24.200 --> 00:01:25.600]  Amen
[00:01:26.680 --> 00:01:29.880]  那麼講到了今天的這段經文
[00:01:29.880 --> 00:01:33.640]  他講到了當時整個以色列民族
[00:01:33.640 --> 00:01:36.440]  進了迦南帝以後
[00:01:36.440 --> 00:01:39.240]  透過了一系列的戰爭
[00:01:39.240 --> 00:01:43.000]  終於到了可以分地的階段
[00:01:43.000 --> 00:01:44.960]  那個時候呢
[00:01:44.960 --> 00:01:48.240]  約書亞的年紀已經老了
[00:01:48.240 --> 00:01:50.960]  還有很多的戰事呢
[00:01:50.960 --> 00:01:52.840]  沒有完成呢
[00:01:52.840 --> 00:01:55.160]  但是耶和華就跟他說了
[00:01:55.880 --> 00:01:57.640]  可以了 現在這個時候
[00:01:57.640 --> 00:02:00.840]  你就可以透過念究的方式
[00:02:00.840 --> 00:02:03.080]  把各塊的屬地
[00:02:03.080 --> 00:02:04.960]  分給以色列民
[00:02:04.960 --> 00:02:08.040]  所以來到十四章的開始呢
[00:02:08.040 --> 00:02:10.480]  約書亞就開始分地了
[00:02:10.480 --> 00:02:12.600]  就把以下的事情呢
[00:02:12.600 --> 00:02:15.440]  記錄在以下的經文當中
[00:02:15.440 --> 00:02:19.360]  剛才主席帶領我們讀了這段經文
[00:02:19.360 --> 00:02:23.040]  今天要和大家查考的人物
[00:02:24.160 --> 00:02:27.800]  在約書亞這卷書卷的記載裡面呢
[00:02:27.800 --> 00:02:30.240]  他並不是一個主角
[00:02:30.240 --> 00:02:33.440]  但是絕對是一個很重要的人物
[00:02:33.440 --> 00:02:35.600]  他是迦勒
[00:02:35.600 --> 00:02:37.200]  迦勒
[00:02:37.200 --> 00:02:41.960]  那麼他就是當時和約書亞一起
[00:02:41.960 --> 00:02:45.360]  並隨從著包括著他們兩個在內的
[00:02:45.360 --> 00:02:47.120]  十二探子
[00:02:47.120 --> 00:02:50.120]  去窺探迦南帝的成員
[00:02:51.360 --> 00:02:54.200]  也是今天要和約書亞去說了
[00:02:54.200 --> 00:02:56.880]  你把那山地給我
[00:02:56.880 --> 00:02:59.880]  的其中的主角 迦勒
[00:02:59.880 --> 00:03:03.120]  我會帶領大家一起來看
[00:03:03.120 --> 00:03:06.720]  這樣一位被神所使用
[00:03:06.720 --> 00:03:08.760]  蒙神恩典
[00:03:08.760 --> 00:03:11.400]  得神賜福人的生命
[00:03:11.400 --> 00:03:13.600]  和心的特質
[00:03:13.600 --> 00:03:15.360]  具體有什麼
[00:03:15.360 --> 00:03:19.080]  首先呢 在他的特質裡面呢
[00:03:19.080 --> 00:03:20.120]  我們可以看到
[00:03:20.760 --> 00:03:22.280]  他其實第一點呢
[00:03:22.280 --> 00:03:25.800]  他很清楚上帝的旨意
[00:03:25.800 --> 00:03:30.080]  因為就算是到了分帝的時候
[00:03:30.080 --> 00:03:31.840]  就算約書亞
[00:03:31.840 --> 00:03:34.560]  講到要透過念究的方式
[00:03:34.560 --> 00:03:36.920]  來區分帝界的時候
[00:03:36.920 --> 00:03:41.360]  迦勒依舊腦中記得 心裡清楚
[00:03:41.360 --> 00:03:43.160]  當時神
