
[00:00:00.000 --> 00:00:10.000]  很感謝神我們又能夠聚在這裏來一起聽他的道。
[00:00:10.000 --> 00:00:18.000]  那麼我也是很感謝神,我們真的是看到我們弟兄姐妹在靈裏有成長。
[00:00:18.000 --> 00:00:23.000]  剛纔唐然傳道講到的那個成長的指標,那個不是要給我們重擔的,
[00:00:23.000 --> 00:00:29.000]  那個是如果你是一個健康的基督徒,自自然然那五方面會成長。
[00:00:29.000 --> 00:00:34.000]  親近神,參加崇拜,因爲你明白是感恩的時候,
[00:00:34.000 --> 00:00:41.000]  然後會禱告,然後會領人歸主,特別是在復活節的福音主日,
[00:00:41.000 --> 00:00:45.000]  我們的弟兄姐妹竟然把好多的親友真的是帶來,
[00:00:45.000 --> 00:00:53.000]  真的是配合教會的呼籲,讓我們的家人都有機會得到這個福音的好處。
[00:00:53.000 --> 00:01:00.000]  那天竟然來了174人,我們感謝神,然後還有一些人信主,
[00:01:00.000 --> 00:01:05.000]  一些人重新再覺知,我覺得上帝在祝福我們這個羣體。
[00:01:05.000 --> 00:01:10.000]  但是如果我們講到生活有沒有困難,生活有沒有挑戰,
[00:01:10.000 --> 00:01:16.000]  我相信是這個挑戰跟困難不會離開我們的,常常會與我們同在的。
[00:01:16.000 --> 00:01:25.000]  辦事情的時候,有些時候一些意見就是不一樣的,會有時候令到你很難受,
[00:01:25.000 --> 00:01:31.000]  但是也沒有辦法改變那個事實,或者在人際關係方面,
[00:01:31.000 --> 00:01:37.000]  有些情況是令你甚至會痛心的,這些事情時不時都發生,
[00:01:37.000 --> 00:01:42.000]  就別講複雜的事情,就講簡單的,工作上都會困難的。
[00:01:42.000 --> 00:01:48.000]  但是神的恩典夠用,那天星期五團祭,我很感恩,
[00:01:48.000 --> 00:01:55.000]  因爲本來的時候看到一個弟兄他晚上還要開會,他本來不能來了,
[00:01:55.000 --> 00:02:03.000]  其實後來他又來了團祭,告訴我們原來從早上9點就開會了。
[00:02:03.000 --> 00:02:09.000]  早上9點開會,到了6點多的時候,他看那個趨勢可能開不完了,
[00:02:09.000 --> 00:02:15.000]  下午3點多都可能開不完了,所以7點半他都估計他來不了教會了。
[00:02:15.000 --> 00:02:22.000]  從早上9點開到下午都已經開始估計,可能7點半都來不了教會。
[00:02:22.000 --> 00:02:27.000]  生活就是這樣子,有些時候,但是他最後來了,那感謝主啊。
[00:02:27.000 --> 00:02:35.000]  但是他分享的,我們幾個弟兄就查經,他分享的一段話,令我非常非常大的感動。
[00:02:35.000 --> 00:02:45.000]  他說在我們上一個禮拜的講道,他聽到當我們講到耶穌怎麼樣爲我們受苦,
[00:02:45.000 --> 00:02:53.000]  耶穌是我們的君王,怎麼樣受苦的時候,他被震撼了耶穌所受的苦,爲我們所受的苦。
[00:02:53.000 --> 00:03:04.000]  他看到耶穌怎麼樣被折磨,被人家羞辱,所受的苦,他被這個事實震撼了。
[00:03:04.000 --> 00:03:10.000]  以致他說這是君王,因爲我們的一個討論問題是耶穌是你的君王嗎?
[00:03:10.000 --> 00:03:16.000]  他就說當然是我的君王,他講完了之後,我非常的感動。
[00:03:16.000 --> 00:03:26.000]  我想講這個是想說我們唯一的動力,想要有力量能夠說生活不管怎麼樣,
[00:03:26.000 --> 00:03:38.000]  我們都把主放在一個很重要的位置,基本上就是需要這份的主的愛很深的被我們感受到,經歷到。
[00:03:38.000 --> 00:03:46.000]  我們就開會不懂開了多少小時,我們都說我要去參加團慶,這個力量哪裏來呢?
[00:03:46.000 --> 00:04:01.000]  這個力量肯定是要來自於你很深深的感受到神很愛你,這個力量必須是從裏面而來的。
[00:04:01.000 --> 00:04:08.000]  所以基督教信仰不是一大堆的你必須做什麼,你不應該做什麼。
[00:04:08.000 --> 00:04:20.000]  應該是你跟神的關係有沒有來到一個地步是你真的毫無質疑的甚至是深深的感受到他很愛你,
[00:04:20.000 --> 00:04:27.000]  然後其他的事情就不用說了,你自自然然就知道該做什麼不該做什麼了,明白嗎?
[00:04:27.000 --> 00:04:39.000]  那個愛才是真正的東西,就好像如果說親子教育的最高境界,我覺得就是你能夠讓孩子知道兩樣事情,
[00:04:39.000 --> 00:04:51.000]  一個就是你有多麼多麼多麼的愛他,他一旦發生什麼事情,你會放下一切的東西撲去他那邊,
[00:04:51.000 --> 00:04:57.000]  看看他有什麼可以幫到他的,立刻去幫他解決,這是第一樣事情。
[00:04:57.000 --> 00:05:09.000]  第二樣事情是你讓孩子知道你的價值觀是什麼,你讓孩子知道你的價值觀不是那些世俗的會令人犯罪的,
[00:05:09.000 --> 00:05:14.000]  你的價值觀是那些走向美好的榮耀神的。
[00:05:14.000 --> 00:05:22.000]  我覺得親子教育反映了我們跟神的關係,一個媽媽如果能夠讓孩子知道他有多愛他,
[00:05:22.000 --> 00:05:36.000]  然後又讓孩子知道第二他的價值觀是什麼,這個孩子他自然的知道我的父母他們喜悅的是什麼,
[00:05:36.000 --> 00:05:44.000]  我願意去做不是因爲他們逼我去做,而是我甘心樂意的去做。
[00:05:44.000 --> 00:05:50.000]  我希望弟兄姐妹能不能夠從今天開始這樣的看自己的信仰,
[00:05:50.000 --> 00:06:00.000]  好好的,如果你沒有時間你要努力,我鼓勵你努力把時間花在建立你到底有多認識神的愛這件事情上,
[00:06:00.000 --> 00:06:06.000]  因爲這是進入你心靈靈魂的鑰匙,你必須從那邊打開。
[00:06:06.000 --> 00:06:18.000]  上一次我們講到耶穌在畢拉多手下受難,我們處理了三個心態是經文讓我們看見的。
[00:06:18.000 --> 00:06:38.000]  我讀聖經讀了這麼多年,我竟然沒有看見嫉妒,妒忌這兩個字,但是原來這個妒忌能夠使到人變得那麼瘋狂,我沒有人的良知。
[00:06:38.000 --> 00:06:51.000]  第二就是取悅的心態會最終使人向罪妥協,畢拉多清清楚楚知道在他面前這個人是無辜的,
[00:06:51.000 --> 00:07:03.000]  他知道他有權利,不讓他死他就不會死,但是他選擇了,因爲他要取悅,所有人都說盯死他。
[00:07:03.000 --> 00:07:15.000]  羊羣心態使到我們能夠成爲共犯,我們如果不明白真理,人家講什麼我們就做什麼,可能我們也附和,
[00:07:15.000 --> 00:07:26.000]  附和也給了這個犯罪的人更大的膽量去加害別人,因爲我們有旁邊的人在看,不出聲,附和。
[00:07:26.000 --> 00:07:37.000]  最終我們知道,因爲如果主耶穌基督是君王,降服的心態才能夠避免我們進入罪惡的網羅。
[00:07:37.000 --> 00:07:43.000]  所以誰是你的王很重要,誰是你的王非常的重要。
[00:07:43.000 --> 00:07:57.000]  今天我們要看耶穌爲我們死在十字架的上篇,我在看這段經文的時候本來是講21節到47節,
[00:07:57.000 --> 00:08:08.000]  後來再仔細地看21到28節,就發現裏面有太多的東西讓我們好好地去思想。
[00:08:08.000 --> 00:08:18.000]  今天我很想讓大家用一個比較靈脩式的方式來跟神經歷這段經文。
[00:08:18.000 --> 00:08:24.000]  求上帝的靈在你的心中動功,使到你能夠明白神對你的愛。
[00:08:24.000 --> 00:08:36.000]  我們求神的聖靈降臨,讓我們好好地去體會祂的話語要跟我們說的話,我們一起同心禱告。
[00:08:36.000 --> 00:08:42.000]  主啊,我們來到禰跟前,我們求禰的聖靈此時此刻就運行在我們當中。
[00:08:42.000 --> 00:08:51.000]  主啊,禰預備我們的心,叫我們知道既然我們在參加崇拜,我們就全心全意地尊主偉大,
[00:08:51.000 --> 00:09:00.000]  讓神禰的聖靈來提醒我們,我們該看到我們的生命是怎樣的,
[00:09:00.000 --> 00:09:05.000]  以致我們真的是能夠找到那一份愛的力量來走前面的路。
[00:09:05.000 --> 00:09:14.000]  主啊,我們求禰今天叫我們把我們的眼目定精在耶穌身上,更清楚瞭解祂爲我們所做的。
[00:09:14.000 --> 00:09:19.000]  謝謝禰的愛,禱告奉主耶穌基督聖明祈求,Amen。
[00:09:19.000 --> 00:09:29.000]  我想今天鼓勵大家慢慢地把這段經文好好地吸收進去。
[00:09:29.000 --> 00:09:35.000]  我在團慶用了一個方法,我覺得今天我可以讓大家嘗試一下。
[00:09:35.000 --> 00:09:39.000]  那麼請大家,我們會讀三遍這段經文。
[00:09:39.000 --> 00:09:45.000]  大家讀第一遍的時候,你就瞭解整件事情發生了什麼事。
