
[00:00:00.000 --> 00:00:20.000]  臨近封面的「臨近封面」詩詞
[00:00:20.000 --> 00:00:32.000]  讓我們真的環顧宇宙萬物 何其廣闊 神的創造就是這麼偉大精細 但上帝對我們的眷顧就是這麼無微不至
[00:00:32.000 --> 00:00:38.000]  今日如果我們明白我們這個人的本質 其實只不過好像微塵
[00:00:38.000 --> 00:00:55.000]  我們都要有一天轉眼如飛而去 但最重要是你的人生裏面 你有沒有碰到我們這位創造主和復活的主
[00:00:55.000 --> 00:01:05.000]  讓我們得到他的救恩之後 我們怎樣善用我們的人生 可以活得精彩 可以跟隨他 而且成為別人生命的祝福
[00:01:05.000 --> 00:01:15.000]  今日我們講的題目在文數記第三章 是緊接於上一次楊牧師和Jenny傳道所講的頭兩章
[00:01:15.000 --> 00:01:29.000]  數點文數有個意義 那十二個支派為了要預備整裝待發 他們要來到去入到迦南地 神所應許之地
[00:01:29.000 --> 00:01:38.000]  但他們必須要有增賤 要付代價 我們今天屬靈的學習和成長都一樣
[00:01:38.000 --> 00:01:52.000]  但在第三章要跟大家表述一下 聖經裏面要給我們看見很特別 在頭兩章你會留意到沒有了一個支派
[00:01:52.000 --> 00:02:02.000]  那個支派是甚麼 就是利尾支派 因為第三章要公開宣認利尾人要取代以色列所有的長子
[00:02:02.000 --> 00:02:14.000]  利尾人是單單屬於主 他要來分別出來 是要去管理整個會幕的聖所的事情
[00:02:14.000 --> 00:02:23.000]  他們不是為了出戰而準備的 他們是為了要帶領神的百姓去敬拜 侍奉 跟隨神
[00:02:23.000 --> 00:02:32.000]  來專心 以神為他們生命的中心 所以第三章的重點就是神在西奈抗議 揀選利尾人
[00:02:32.000 --> 00:02:43.000]  代替以色列的長子來侍奉 他們按利尾三個兒子的宗族分工 安營 服侍在這個會幕的一切事
[00:02:43.000 --> 00:02:50.000]  但其中一件事就是大祭司亞倫的大兒子和二兒子 那答亞比胡
[00:02:50.000 --> 00:02:57.000]  他們的侍奉就提醒了我們一樣很重要的功課 侍奉神是不可以隨便的
[00:02:57.000 --> 00:03:06.000]  是必須要敬畏上主 因為神是聖潔的 第三章就講明利尾人的身份和這個編制裏面
[00:03:06.000 --> 00:03:14.000]  是他們完全屬神 代替以色列的長子 是被分派看守會幕 這一切都有屬靈的意義
[00:03:14.000 --> 00:03:22.000]  我在今天的講章 我會跟大家來做一個交代 文素記第三章的分段要點有四個段落
[00:03:22.000 --> 00:03:31.000]  第一個段落就是頭四節 人必須聖潔來侍奉神 利尾的支派被揀選代替以色列投身的
[00:03:31.000 --> 00:03:39.000]  就是辦理會幕的侍奉 這是第五到第十三節 而第三個段落都很長的篇幅
[00:03:39.000 --> 00:03:48.000]  是由十四節到三十九節 我今天嘗試不會用聖經續節跟大家講這個段落
[00:03:48.000 --> 00:04:04.000]  如果是這樣的話 我怕你會有一點浮游障礙 所以我會用一些圖織加上一些簡潔的描述
[00:04:04.000 --> 00:04:12.000]  讓大家一看就明白 要大家明白利尾三個兒子他們在會幕四處安營
[00:04:12.000 --> 00:04:18.000]  這些全部是有意思的 他們各自看守要搬運那些聖物
[00:04:18.000 --> 00:04:26.000]  因為他們在抗野裏面一樣不能缺少的就是他們要專心跟隨神
[00:04:26.000 --> 00:04:31.000]  神要透過雲柱火柱帶領他們 他們要起行的時候
[00:04:31.000 --> 00:04:40.000]  上帝一吩咐摩西他們利尾三個的宗族就馬上各自有不同的工作
[00:04:40.000 --> 00:04:50.000]  他們要拆除會幕 搬到另一個地方 把聖物整整齊齊放好在寺廟
[00:04:50.000 --> 00:04:57.000]  整個過程有很多細節位是不簡單的 你還要明白
[00:04:57.000 --> 00:05:06.000]  你讀過頭兩章 他們單是那十二個支派 數出來的只是藍丁
[00:05:06.000 --> 00:05:15.000]  可以去打仗的那些藍丁 20歲到50歲那班 有多少人 有六十多萬
[00:05:15.000 --> 00:05:20.000]  只是那六十多萬 未計那些婦孺或者是老人家
[00:05:20.000 --> 00:05:33.000]  所以我們很多解經家都相信他們出埃及的時候 大概的人數如果每個家庭一對夫婦 加一個小朋友
[00:05:33.000 --> 00:05:38.000]  如果加上老人家四個人 就四六二十四二百多萬的
[00:05:38.000 --> 00:05:47.000]  所以我們看見利尾人代替投生的 他們還有最後那個段落是有一個贖價
[00:05:47.000 --> 00:05:58.000]  這個贖價他們要補償的 比那些投生的 當中他們計出來 投生的比利尾人多出273人
[00:05:58.000 --> 00:06:04.000]  上帝很君憎的 上帝說每一個都要補償這個贖價
[00:06:04.000 --> 00:06:10.000]  這個贖價背後有一個很重要的贖靈的意思 給我們今天又要明白
[00:06:10.000 --> 00:06:16.000]  明白之後我們要反省 今天我們作為現代的教會 我們怎樣去侍奉神
[00:06:16.000 --> 00:06:18.000]  讓我們再次有一個祈禱
[00:06:18.000 --> 00:06:25.000]  天父 當我們打開祢的聖言 求主的靈都引導 叫講的聽的 我們同感一靈
[00:06:25.000 --> 00:06:32.000]  同蒙天恩 我們要來到去進行祢的心意 求主開導我們的心
[00:06:32.000 --> 00:06:36.000]  讓我們眾人樂意去明白之後 就去進行祢的心意
[00:06:36.000 --> 00:06:42.000]  叫我們在世的生活能夠活得像主 也都能夠成為別人的祝福
[00:06:42.000 --> 00:06:46.000]  同心合意的禱告 奉主名求 阿們
[00:06:46.000 --> 00:06:55.000]  第一個段落我們看到在頭四節 耶護說在西奈山與摩西說話的日子
[00:06:55.000 --> 00:06:58.000]  阿倫和摩西的後代如下
[00:06:58.000 --> 00:07:05.000]  這幾個就是阿倫的兒子的名字 拿達 阿比胡 以利 阿薩 以他馬
[00:07:05.000 --> 00:07:12.000]  這四個兒子 第三第四節就是一件你可以說是一個悲劇發生
[00:07:12.000 --> 00:07:18.000]  這個悲劇就是阿倫兩個兒子他們獻梵火這件事
[00:07:18.000 --> 00:07:21.000]  我們一起讀出來 好嗎 第三第四節
[00:07:21.000 --> 00:07:32.000]  這些是阿倫兒子的名字 都是受高的祭司 是摩西壽聖職 是他們擔任祭司職份的
[00:07:32.000 --> 00:07:39.000]  拿達 阿比胡 在西奈的曠野 向耶和華獻上梵火的時候
[00:07:39.000 --> 00:07:45.000]  死在耶和華面前 他們沒有兒子 以利 阿薩 以他馬
[00:07:45.000 --> 00:07:51.000]  在他們的父親阿倫面前擔任祭司的職份
[00:07:51.000 --> 00:07:57.000]  這段聖經說到當時在這個曠野
[00:07:57.000 --> 00:08:03.000]  他說到大祭司阿倫兩個兒子 為什麼說要獻梵火
[00:08:03.000 --> 00:08:08.000]  一個錯誤就死了 多嚴重
[00:08:08.000 --> 00:08:10.000]  這個是有得解釋的
[00:08:10.000 --> 00:08:15.000]  在利未記十章一至二節就說他們獻梵火這件事
[00:08:15.000 --> 00:08:22.000]  在英文的翻譯本 NIV翻譯的那個叫做Unauthorized Fire
[00:08:22.000 --> 00:08:29.000]  是不經准許的火 即是上帝沒有吩咐的一個火
[00:08:29.000 --> 00:08:36.000]  另外一個英文的譯本叫NRSV 他說Unholy Fire 不聖潔的火
[00:08:36.000 --> 00:08:42.000]  我自己來參考過不同的解經家的解釋
[00:08:42.000 --> 00:08:45.000]  有些人是說有不同的原因
[00:08:45.000 --> 00:08:49.000]  我自己覺得最合理 也是照這段經文說
[00:08:49.000 --> 00:08:52.000]  是和火種有關係的
[00:08:52.000 --> 00:08:56.000]  他們在祭壇擺了那些祭物
[00:08:56.000 --> 00:09:01.000]  你要去獻祭給神 必須要有火
[00:09:01.000 --> 00:09:03.000]  那些火從哪裡來
[00:09:03.000 --> 00:09:09.000]  那些火就要用那個聖壇裏頭的火種
[00:09:09.000 --> 00:09:14.000]  那些火種按照聖經的說法就是神親自去點燃的
[00:09:14.000 --> 00:09:17.000]  那個梵祭壇上的火
[00:09:17.000 --> 00:09:22.000]  如果他這裡說是不經准許的火
[00:09:22.000 --> 00:09:24.000]  我們有合理的推斷就是說
[00:09:24.000 --> 00:09:27.000]  大祭司亞倫這兩個兒子
[00:09:27.000 --> 00:09:32.000]  他們竟然不是照上帝吩咐的規矩
[00:09:32.000 --> 00:09:36.000]  他們可能就在聖所意外拿了一些火
[00:09:36.000 --> 00:09:40.000]  來將壇上的祭物燃燒
[00:09:40.000 --> 00:09:42.000]  結果上帝不起穴
[00:09:42.000 --> 00:09:45.000]  上帝要他在眾人的面前
[00:09:45.000 --> 00:09:47.000]  他們就死了
[00:09:47.000 --> 00:09:50.000]  死的時候還要拖出一些屍體
[00:09:50.000 --> 00:09:57.000]  你看見他們馬上還要連亞倫去參加安葬禮拜都沒有
[00:09:57.000 --> 00:09:58.000]  沒有機會
[00:09:58.000 --> 00:10:01.000]  他們直接就這樣把他火化
[00:10:01.000 --> 00:10:05.000]  整件事亞倫當然很不開心
[00:10:05.000 --> 00:10:07.000]  但是有解釋的
[00:10:07.000 --> 00:10:09.000]  在利未記十章三節
[00:10:09.000 --> 00:10:15.000]  是摩西向亞倫傳遞神的一個解釋
[00:10:15.000 --> 00:10:17.000]  他說在親近我的人之中
[00:10:17.000 --> 00:10:19.000]  我要顯為聖
[00:10:19.000 --> 00:10:21.000]  再傳遞在百姓面前
[00:10:21.000 --> 00:10:23.000]  我要得榮耀
[00:10:23.000 --> 00:10:26.000]  這個表達了一個很重要的訊息
[00:10:26.000 --> 00:10:31.000]  就是聖所是關乎到神和他自己的本質
[00:10:31.000 --> 00:10:34.000]  神是與他的子民同在
[00:10:34.000 --> 00:10:41.000]  是絕對不能夠容許人或者任何的事去蒙糊了上帝的本相
[00:10:41.000 --> 00:10:46.000]  上帝的真面貌除了他是有慈愛之外
[00:10:46.000 --> 00:10:49.000]  他是絕對聖潔公義
[00:10:49.000 --> 00:10:51.000]  不能冒犯的
[00:10:51.000 --> 00:10:53.000]  你不可以隨隨便便的
[00:10:53.000 --> 00:10:56.000]  你不可以說外族人那些拜神的方法
[00:10:56.000 --> 00:10:57.000]  我又帶進來
[00:10:57.000 --> 00:11:00.000]  上帝已經有了規定
[00:11:00.000 --> 00:11:04.000]  上帝要求那些在聖所會幕的每一個利未人
[00:11:04.000 --> 00:11:06.000]  他們的侍奉的態度
[00:11:06.000 --> 00:11:08.000]  有規有矩的
[00:11:08.000 --> 00:11:10.000]  同樣今天教會一樣
[00:11:10.000 --> 00:11:13.000]  我們都會有各樣的班次
[00:11:13.000 --> 00:11:15.000]  有不同的小組
[00:11:15.000 --> 00:11:16.000]  不同的團契
[00:11:16.000 --> 00:11:18.000]  有不同的牧者
[00:11:18.000 --> 00:11:20.000]  有不同的執事
[00:11:20.000 --> 00:11:21.000]  我們是要各盡其職
[00:11:21.000 --> 00:11:24.000]  在不同的崗位裡服事
[00:11:24.000 --> 00:11:28.000]  我會形容這個錯誤是很低級的一個錯誤
[00:11:28.000 --> 00:11:29.000]  為什麼呢
[00:11:29.000 --> 00:11:32.000]  因為這兩個不是普通人
[00:11:32.000 --> 00:11:35.000]  這兩個是大祭司兩個的兒子
[00:11:35.000 --> 00:11:38.000]  他們很熟悉神的律法之外
[00:11:38.000 --> 00:11:40.000]  他們有經歷的
[00:11:40.000 --> 00:11:44.000]  在舊約出埃及的24章第一節
[00:11:44.000 --> 00:11:46.000]  神呼召摩西
[00:11:46.000 --> 00:11:48.000]  祂說你叫阿倫
[00:11:48.000 --> 00:11:50.000]  拿達阿比胡
[00:11:50.000 --> 00:11:51.000]  點名的
[00:11:51.000 --> 00:11:52.000]  阿倫兩個兒子
[00:11:52.000 --> 00:11:55.000]  和以色列長老中的70個人
[00:11:55.000 --> 00:11:58.000]  上山去到西奈山
[00:11:58.000 --> 00:12:00.000]  來朝見神
[00:12:00.000 --> 00:12:02.000]  祂說他們遠遠的下拜
[00:12:02.000 --> 00:12:04.000]  但唯獨摩西里一個人
[00:12:04.000 --> 00:12:07.000]  來到前來親近神
[00:12:07.000 --> 00:12:10.000]  神人摩西與神很親密
[00:12:10.000 --> 00:12:14.000]  但是他都只能夠看到上帝的
[00:12:14.000 --> 00:12:16.000]  不是面對面
[00:12:16.000 --> 00:12:18.000]  只能看祂的背部
[00:12:18.000 --> 00:12:21.000]  上帝說因為你們都是有罪的人
[00:12:21.000 --> 00:12:23.000]  神是完全聖潔的
[00:12:23.000 --> 00:12:27.000]  不能夠可以直視面對面見神
[00:12:27.000 --> 00:12:29.000]  如果是這樣你必死無疑
[00:12:29.000 --> 00:12:31.000]  大家明白這個意思
[00:12:31.000 --> 00:12:35.000]  所以這個片段已經解釋了給我們知道
[00:12:35.000 --> 00:12:38.000]  原來在西奈山上
[00:12:38.000 --> 00:12:41.000]  還有當時40天的時間
[00:12:41.000 --> 00:12:44.000]  摩西親自親近神
[00:12:44.000 --> 00:12:47.000]  神將十戒給他
[00:12:47.000 --> 00:12:50.000]  而其他那些人遠遠的
[00:12:50.000 --> 00:12:52.000]  他們一起陪伴摩西
[00:12:52.000 --> 00:12:57.000]  甚至他們後來看到神顯祂的榮耀
[00:12:57.000 --> 00:12:59.000]  是好像一個大火
[00:12:59.000 --> 00:13:01.000]  將整個西奈山的山頂
[00:13:01.000 --> 00:13:03.000]  是來吞噬
[00:13:03.000 --> 00:13:06.000]  彰顯祂自己的榮耀
[00:13:06.000 --> 00:13:09.000]  這個見證就是上主的可畏
[00:13:09.000 --> 00:13:13.000]  每一個去到神的台前的人
[00:13:13.000 --> 00:13:16.000]  我們必須要守潔心清
