
[00:00:00.000 --> 00:00:03.000]  感謝主的恩典 各位弟兄姊妹
[00:00:03.000 --> 00:00:06.000]  我們今天又聚集在神的殿中
[00:00:06.000 --> 00:00:08.000]  我們一起有對神的敬拜
[00:00:08.000 --> 00:00:12.000]  也有聆聽祂聖言和真道的時間
[00:00:12.000 --> 00:00:14.000]  按照講到的序列
[00:00:14.000 --> 00:00:17.000]  我們今天要講的題目
[00:00:17.000 --> 00:00:20.000]  塌陷的城牆
[00:00:20.000 --> 00:00:22.000]  我們按照聖經的章節
[00:00:22.000 --> 00:00:24.000]  大家對於這段的記載
[00:00:24.000 --> 00:00:26.000]  應該都不太陌生了
[00:00:26.000 --> 00:00:29.000]  講到的是以色列民
[00:00:29.000 --> 00:00:31.000]  過了約旦河以後
[00:00:31.000 --> 00:00:35.000]  要進行的第一場真正意義上的戰鬥
[00:00:35.000 --> 00:00:38.000]  要攻取的一座城池
[00:00:38.000 --> 00:00:42.000]  叫做耶利哥城
[00:00:42.000 --> 00:00:45.000]  那麼來到耶利哥城的時候
[00:00:45.000 --> 00:00:49.000]  如果我們按照聖經 歷史 考古的一些記載
[00:00:49.000 --> 00:00:51.000]  你就會發現
[00:00:51.000 --> 00:00:55.000]  這個城池不是算是特別的大
[00:00:55.000 --> 00:00:58.000]  以至於甚至一天可以繞七次
[00:00:58.000 --> 00:01:00.000]  都是有這樣一個機會的
[00:01:00.000 --> 00:01:02.000]  繞了七次以後
[00:01:02.000 --> 00:01:05.000]  還可以進入裡面去攻城
[00:01:05.000 --> 00:01:07.000]  但是它有一個特點
[00:01:07.000 --> 00:01:12.000]  這個城池 它非常的堅固
[00:01:12.000 --> 00:01:15.000]  而且建在一個比較高的地方
[00:01:15.000 --> 00:01:17.000]  城池很堅固
[00:01:17.000 --> 00:01:20.000]  裡面有它的領袖 有王
[00:01:20.000 --> 00:01:23.000]  還有大能的勇士在其中
[00:01:23.000 --> 00:01:27.000]  所以說一開始要攻這樣一座城
[00:01:27.000 --> 00:01:30.000]  並非是一件的義事
[00:01:30.000 --> 00:01:32.000]  而且在耶利哥城
[00:01:32.000 --> 00:01:35.000]  在一個敗壞的陰虛之地裡邊
[00:01:35.000 --> 00:01:38.000]  它也有它其中的象徵
[00:01:38.000 --> 00:01:43.000]  它代表了迦南帝極其的腐敗還有墮落
[00:01:43.000 --> 00:01:46.000]  敗壞了的 神不喜悅的
[00:01:46.000 --> 00:01:49.000]  神讓以色列民的軍隊
[00:01:49.000 --> 00:01:51.000]  來到了迦南帝以後
[00:01:51.000 --> 00:01:54.000]  奪取這個城池的同時
[00:01:54.000 --> 00:01:58.000]  也是在施行神公義的審判
[00:01:58.000 --> 00:02:01.000]  那麼大家對於這一段不陌生的經文
[00:02:01.000 --> 00:02:03.000]  就可以發現
[00:02:03.000 --> 00:02:08.000]  這是一次非常特別的一次的征戰
[00:02:08.000 --> 00:02:10.000]  如果大家在看其中的記載
[00:02:10.000 --> 00:02:12.000]  你會發現
[00:02:12.000 --> 00:02:16.000]  它不像是一個戰鬥 一個攻城
[00:02:16.000 --> 00:02:18.000]  一次直接大家心裡面意識到的
[00:02:18.000 --> 00:02:21.000]  這樣一種的攻城的戰略
[00:02:21.000 --> 00:02:26.000]  反而更像是一場的崇拜
[00:02:26.000 --> 00:02:30.000]  因為有祭司 有吹角
[00:02:30.000 --> 00:02:34.000]  進行了神所吩咐特別的儀式之後
[00:02:34.000 --> 00:02:36.000]  城牆就塌陷了
[00:02:36.000 --> 00:02:39.000]  他們以色列的軍隊在過程當中
[00:02:39.000 --> 00:02:43.000]  在奪城還有破城牆的過程當中
[00:02:43.000 --> 00:02:46.000]  不是傳統意義上的想辦法進入
[00:02:46.000 --> 00:02:49.000]  怎麼樣把城牆破壞
[00:02:49.000 --> 00:02:52.000]  而是在繞城的過程當中
[00:02:52.000 --> 00:02:56.000]  透過吹角宣告了主的勝利
[00:02:56.000 --> 00:02:58.000]  主的偉大
[00:02:58.000 --> 00:03:00.000]  宣告了主有權柄
[00:03:00.000 --> 00:03:03.000]  掌控權力的權柄以後
[00:03:03.000 --> 00:03:08.000]  暗時暗後 城牆就倒塌了下來
[00:03:08.000 --> 00:03:10.000]  那麼在此期間
[00:03:10.000 --> 00:03:13.000]  不但是當時的以色列民
[00:03:13.000 --> 00:03:17.000]  要學習很特別 神要教導他們的生命功課
[00:03:17.000 --> 00:03:21.000]  我們今天讀到這段經文的時候
[00:03:21.000 --> 00:03:24.000]  神也有特別的屬靈功課
[00:03:24.000 --> 00:03:27.000]  讓我們一起來學習
[00:03:27.000 --> 00:03:30.000]  那麼我們在進入記載的其中的
[00:03:30.000 --> 00:03:32.000]  各樣的細節當中
[00:03:32.000 --> 00:03:35.000]  我們一起先有禱告
[00:03:35.000 --> 00:03:37.000]  我們一起安靜在神的面前
[00:03:37.000 --> 00:03:39.000]  我們要同心的禱告
[00:03:39.000 --> 00:03:42.000]  天父上帝我們感謝你
[00:03:42.000 --> 00:03:45.000]  是你帶領我們在主日的時候
[00:03:45.000 --> 00:03:48.000]  又相聚在你的殿中
[00:03:48.000 --> 00:03:50.000]  這是一份莫大的恩典
[00:03:50.000 --> 00:03:54.000]  謝謝主你也伴隨我們人生的道路
[00:03:54.000 --> 00:03:57.000]  在我們的人生起起跌跌裡邊
[00:03:57.000 --> 00:03:59.000]  都經歷主你的恩典
[00:03:59.000 --> 00:04:02.000]  今天我們一起來思考
[00:04:02.000 --> 00:04:05.000]  以色列民來攻打耶利哥城的時候
[00:04:05.000 --> 00:04:08.000]  求主你的靈也與我們同在
[00:04:08.000 --> 00:04:12.000]  求主你就對我們每一位主的子民來說話
[00:04:12.000 --> 00:04:17.000]  求主你把當年以色列民他們要學習的生命功課
[00:04:17.000 --> 00:04:20.000]  今天也賜到我們的生命當中
[00:04:20.000 --> 00:04:24.000]  讓我們一起經歷各樣的征戰
[00:04:24.000 --> 00:04:27.000]  一起宣告主你的偉大你的權柄
[00:04:27.000 --> 00:04:30.000]  一起來靠主來得勝
[00:04:30.000 --> 00:04:34.000]  我們也要把接下來聆聽主你征道的時間
[00:04:34.000 --> 00:04:36.000]  交託在主你的手中
[00:04:36.000 --> 00:04:39.000]  求主你親自的引領並感動
[00:04:39.000 --> 00:04:41.000]  同心禱告奉主明求
[00:04:41.000 --> 00:04:43.000]  Amen
[00:04:43.000 --> 00:04:47.000]  那麼我在這一段的經文記載裡邊
[00:04:47.000 --> 00:04:50.000]  羅列了三個重點
[00:04:50.000 --> 00:04:53.000]  我們一起來思考和學習
[00:04:53.000 --> 00:04:58.000]  在這樣一場好像是崇拜的功臣戰役當中的
[00:04:58.000 --> 00:05:01.000]  以色列民當時學習到的第一個重點
[00:05:01.000 --> 00:05:07.000]  就是要學習讓神成為中心
[00:05:07.000 --> 00:05:12.000]  就好像我們的崇拜的中心是神一樣
[00:05:12.000 --> 00:05:15.000]  在其中去學習
[00:05:15.000 --> 00:05:18.000]  不是以自己為中心啊
[00:05:18.000 --> 00:05:22.000]  經常人犯錯就是老是以自己為出發點
[00:05:22.000 --> 00:05:24.000]  考慮自己的益處
[00:05:24.000 --> 00:05:27.000]  但是神在征戰
[00:05:27.000 --> 00:05:30.000]  神在一路帶領以色列民的過程當中
[00:05:30.000 --> 00:05:34.000]  就把這樣讓神成為一個群體
[00:05:34.000 --> 00:05:38.000]  讓神成為每一個人生命的中心的功課
