
[00:00:00.000 --> 00:00:05.000]  鄧英姐妹早安
[00:00:05.000 --> 00:00:08.000]  剛才我們感謝神
[00:00:08.000 --> 00:00:11.000]  透過喜樂詩班所唱的這首詩歌
[00:00:11.000 --> 00:00:14.000]  讓小孩子到耶穌來
[00:00:14.000 --> 00:00:16.000]  沒有人可以禁止
[00:00:16.000 --> 00:00:18.000]  其實今天我們進天國的人
[00:00:18.000 --> 00:00:21.000]  都需要有孩子的單純心
[00:00:21.000 --> 00:00:23.000]  信靠的心
[00:00:23.000 --> 00:00:27.000]  所以願意我們做一個有名有實的
[00:00:27.000 --> 00:00:28.000]  跟隨主的門徒
[00:00:28.000 --> 00:00:29.000]  好不好?鄧英姐妹
[00:00:29.000 --> 00:00:33.000]  我盼望你真的有這個體見
[00:00:33.000 --> 00:00:35.000]  我們今天是需要看清楚
[00:00:35.000 --> 00:00:37.000]  我們今天的光景
[00:00:37.000 --> 00:00:39.000]  我們今天是在地上
[00:00:39.000 --> 00:00:42.000]  怎樣來生活呢?
[00:00:42.000 --> 00:00:45.000]  今天跟大家說的是
[00:00:45.000 --> 00:00:47.000]  七教會裏面最後兩間教會
[00:00:47.000 --> 00:00:51.000]  這兩間教會都很值得我們去看真一點
[00:00:51.000 --> 00:00:54.000]  看真一點就是讓我們去明白
[00:00:54.000 --> 00:00:57.000]  原來今天教會在地上的真正身份
[00:00:57.000 --> 00:01:01.000]  和我們教會生命的真相
[00:01:01.000 --> 00:01:03.000]  應該是怎樣的
[00:01:03.000 --> 00:01:06.000]  我們如果很快回顧一下
[00:01:06.000 --> 00:01:07.000]  第一堂的時候
[00:01:07.000 --> 00:01:10.000]  Karen傳道跟我們分享
[00:01:10.000 --> 00:01:11.000]  以弗所的教會
[00:01:11.000 --> 00:01:14.000]  要我們學習什麼?
[00:01:14.000 --> 00:01:17.000]  以弗所的教會最大的問題是什麼?
[00:01:17.000 --> 00:01:20.000]  他們失掉了起初的愛心
[00:01:20.000 --> 00:01:23.000]  我們需要重現這份愛火
[00:01:23.000 --> 00:01:25.000]  我們需要愛神之餘
[00:01:25.000 --> 00:01:27.000]  我們必須要有很好的愛人
[00:01:27.000 --> 00:01:30.000]  第二堂我跟大家說到
[00:01:30.000 --> 00:01:32.000]  善美娜和別加摩的教會
[00:01:32.000 --> 00:01:36.000]  這兩間教會都有一些相同的特徵
[00:01:36.000 --> 00:01:41.000]  就是他們要為真道至死忠心
[00:01:41.000 --> 00:01:43.000]  善美娜是受苦的
[00:01:43.000 --> 00:01:44.000]  而別加摩的教會
[00:01:44.000 --> 00:01:47.000]  就必須抗拒這些異端
[00:01:47.000 --> 00:01:51.000]  而另外一堂就是李文耀博士說
[00:01:51.000 --> 00:01:54.000]  推也推拉和殺敵的這兩間教會
[00:01:54.000 --> 00:01:56.000]  都有相同的特徵
[00:01:56.000 --> 00:01:58.000]  就是他們縱容的罪
[00:01:58.000 --> 00:02:03.000]  在他們的教會容讓假先知假師父
[00:02:03.000 --> 00:02:06.000]  誤導神的子民走錯路
[00:02:06.000 --> 00:02:08.000]  求主幫助我們今天
[00:02:08.000 --> 00:02:10.000]  也看清楚一點真相
[00:02:10.000 --> 00:02:13.000]  飛拉鐵飛和老底家教會
[00:02:13.000 --> 00:02:15.000]  讓我們可以學習什麼?
[00:02:15.000 --> 00:02:17.000]  讓我們今天看清楚一點
[00:02:17.000 --> 00:02:19.000]  看清楚一點
[00:02:19.000 --> 00:02:20.000]  不知道大家知不知道
[00:02:20.000 --> 00:02:27.000]  你小時候有沒有看過這個電視節目?
[00:02:27.000 --> 00:02:29.000]  有啊
[00:02:29.000 --> 00:02:31.000]  如果你說小時候看過
[00:02:31.000 --> 00:02:34.000]  你年紀也不是很大
[00:02:34.000 --> 00:02:45.000]  這個是來自1974年到2000年
