
[00:00:00.000 --> 00:00:01.000]  丁子美早安
[00:00:01.000 --> 00:00:02.000]  早安
[00:00:02.000 --> 00:00:04.400]  我們繼續看啟示錄
[00:00:04.400 --> 00:00:08.440]  看之前想跟大家讀一次
[00:00:08.440 --> 00:00:09.360]  大家讀給我聽好嗎?
[00:00:09.360 --> 00:00:11.480]  因為我看這裡,我腦花不是太多
[00:00:11.480 --> 00:00:12.600]  大家幫我讀好嗎?
[00:00:12.600 --> 00:00:14.200]  我們讀完十二字經文好嗎?
[00:00:14.200 --> 00:00:15.200]  請大家讀一下
[00:00:15.200 --> 00:00:16.200]  一、二、三
[00:00:16.200 --> 00:00:17.200]  好,謝謝大家
[00:00:17.200 --> 00:00:18.160]  我想讀一次
[00:00:18.160 --> 00:00:23.880]  讓我們對這段經文有少許的了解
[00:00:23.880 --> 00:00:27.200]  或者有少許的認知、認識
[00:00:27.200 --> 00:00:28.800]  啟示錄
[00:00:28.800 --> 00:00:30.800]  第一到第三章告訴我們
[00:00:30.800 --> 00:00:31.600]  司徒約翰說
[00:00:31.600 --> 00:00:34.200]  神叫他寫信給當時七間教會
[00:00:34.200 --> 00:00:38.600]  向他們宣告神的稱讚、鼓勵和斥責
[00:00:38.600 --> 00:00:40.040]  然後在啟示錄第四、第五章
[00:00:40.040 --> 00:00:42.120]  我們看到約翰向我們展示
[00:00:42.120 --> 00:00:43.600]  在將來永恆的時刻
[00:00:43.600 --> 00:00:47.000]  所有屬於神的人都要聚集在天上
[00:00:47.000 --> 00:00:49.480]  在神面前一同歡欣敬拜
[00:00:49.480 --> 00:00:53.440]  讚頌那位滿有榮耀的三一真神
[00:00:53.440 --> 00:00:54.640]  然後到啟示錄第六章
[00:00:54.640 --> 00:00:55.640]  我們開始看到
[00:00:55.640 --> 00:01:00.240]  我們常常說的七印、七號、七碗的開始
[00:01:00.240 --> 00:01:02.040]  啟示錄第六章出現了
[00:01:02.040 --> 00:01:04.040]  代表災難來臨的七印
[00:01:04.040 --> 00:01:05.560]  然後在啟示錄第七章
[00:01:05.560 --> 00:01:06.560]  是一個插曲
[00:01:06.560 --> 00:01:08.640]  提到那些在末後災難當中
[00:01:08.640 --> 00:01:09.840]  受苦的基督徒
[00:01:09.840 --> 00:01:11.840]  他們始終會得勝
[00:01:11.840 --> 00:01:15.160]  並且好像啟示錄第四、第五章的描述一樣
[00:01:15.160 --> 00:01:17.360]  會和所有歷世歷代
[00:01:17.360 --> 00:01:19.240]  來自各民各族各方的信徒
[00:01:19.240 --> 00:01:20.760]  一同敬拜那位愛他們的神
[00:01:20.760 --> 00:01:21.600]  即是說在末後
[00:01:21.600 --> 00:01:22.720]  在很多災難當中
[00:01:22.720 --> 00:01:24.160]  仍然有很多基督徒堅持他們的信仰
[00:01:24.160 --> 00:01:24.880]  他們是得勝的
[00:01:24.880 --> 00:01:27.000]  於是他們從歷世歷代
[00:01:27.000 --> 00:01:28.000]  可能在災難
[00:01:28.000 --> 00:01:29.440]  可能在順暢的環境當中
[00:01:29.440 --> 00:01:30.160]  信主的人
[00:01:30.160 --> 00:01:34.160]  我們一齊都在天上來敬拜這位主
[00:01:34.160 --> 00:01:36.280]  然後上星期
[00:01:36.280 --> 00:01:37.560]  或者應該是前一個星期
[00:01:37.560 --> 00:01:38.960]  因為上星期是科罕崇拜
[00:01:38.960 --> 00:01:41.760]  前一個星期我們進入啟示錄的七號
[00:01:41.760 --> 00:01:44.760]  在啟示錄第八章第六節
[00:01:44.760 --> 00:01:45.600]  是這樣記載的
[00:01:45.600 --> 00:01:48.560]  它說:拿著七支號筒的七位天使
[00:01:48.560 --> 00:01:50.440]  預備好要吹號
[00:01:50.440 --> 00:01:52.000]  前面我們看到
[00:01:52.000 --> 00:01:54.640]  已經說了第一到第四支號筒吹響的時候
[00:01:54.640 --> 00:01:56.400]  出現了的災難
[00:01:56.400 --> 00:01:57.600]  如果我們記得
[00:01:57.600 --> 00:01:58.800]  一到四號的災難
[00:01:58.800 --> 00:02:01.240]  說的是自然界的災難
[00:02:01.240 --> 00:02:02.480]  今天我們看這段經文
[00:02:02.480 --> 00:02:03.440]  如果我們讀的時候
[00:02:03.440 --> 00:02:04.240]  我們發覺
[00:02:04.240 --> 00:02:07.800]  這第五支號筒吹響的時候
[00:02:07.800 --> 00:02:09.400]  當中的災難
[00:02:09.400 --> 00:02:10.320]  不再是大自然
[00:02:10.320 --> 00:02:12.720]  即是不再是我們身外
[00:02:12.720 --> 00:02:14.320]  這個災難好像是在說
[00:02:14.320 --> 00:02:19.560]  是和我們人有關
[00:02:19.560 --> 00:02:23.120]  當約翰聽到第五支號筒吹響之後
[00:02:23.120 --> 00:02:25.040]  他就看見一顆星
[00:02:25.040 --> 00:02:28.640]  從天上墜落到地上
[00:02:28.640 --> 00:02:29.680]  關於這顆星
[00:02:29.680 --> 00:02:31.280]  歷史上有不同的解英家
[00:02:31.280 --> 00:02:33.120]  不同的學者有不同的看法
[00:02:33.120 --> 00:02:35.720]  但我只選最多人
[00:02:35.720 --> 00:02:36.680]  或者最有說服力
