
[00:00:00.000 --> 00:00:02.000]  各位頂尖的朋友 早安
[00:00:02.000 --> 00:00:05.300]  很高興今天能夠跟大家分享上帝的話
[00:00:05.300 --> 00:00:09.300]  記得上一次我跟大家分享的已經是三月份的事
[00:00:09.300 --> 00:00:12.300]  當時我們還未恢復實體的崇拜
[00:00:12.300 --> 00:00:15.300]  因此容許我再次作個自我介紹
[00:00:15.300 --> 00:00:18.300]  我叫做Pastor Gavin 或是Gavin傳道
[00:00:18.300 --> 00:00:21.300]  我是學清區的其中一個傳道人
[00:00:21.300 --> 00:00:26.300]  和Pastor Irene 和Timothy 傳道一起做過
[00:00:26.300 --> 00:00:32.300]  相信大家都很認識
[00:00:32.300 --> 00:00:36.300]  在過去一段日子 我們已經從生命記
[00:00:36.300 --> 00:00:40.300]  看了很多有關上帝的律例和典章
[00:00:40.300 --> 00:00:45.300]  當中包括十戒 憲制 敬拜等等的律法
[00:00:45.300 --> 00:00:47.300]  而去到十六章的經文
[00:00:47.300 --> 00:00:51.300]  更加記載了以色列人中三個很重大的節期
[00:00:51.300 --> 00:00:55.300]  如月節 修國節 和鑄盤節
[00:00:55.300 --> 00:00:59.300]  這些都是以色列人必須遵守的
[00:00:59.300 --> 00:01:04.300]  不過有律法就要有執法
[00:01:04.300 --> 00:01:07.300]  很簡單 十戒中的其中一戒
[00:01:07.300 --> 00:01:10.300]  提及到不可作假見證陷害人
[00:01:10.300 --> 00:01:15.300]  但以色列人如何才知道見證是假的呢?
[00:01:15.300 --> 00:01:20.300]  換句話說 他們必須有人調查 所謂follow up
[00:01:20.300 --> 00:01:27.300]  雖然作為上帝的子民 他們具有責任去遵守並履行這些律法
[00:01:27.300 --> 00:01:30.300]  不過當有問題出現的時候
[00:01:30.300 --> 00:01:34.300]  究竟上帝的百姓應該如何處理呢?
[00:01:34.300 --> 00:01:37.300]  而這正正就是十六章十八節
[00:01:37.300 --> 00:01:40.300]  去到十七章尾一直想處理的問題
[00:01:40.300 --> 00:01:45.300]  所以今天我們透過生命記十七章的經文
[00:01:45.300 --> 00:01:51.300]  一起去看看昔日上帝對整個以色列群體執法的要求
[00:01:51.300 --> 00:01:54.300]  而當中又帶給我們什麼啟迪
[00:01:54.300 --> 00:01:59.300]  今天的經文分為兩個部分
[00:01:59.300 --> 00:02:02.300]  第一個部分是十七章第二至十三節
[00:02:02.300 --> 00:02:05.300]  提及到兩種不同的案件
[00:02:05.300 --> 00:02:09.300]  和他們應該如何納入司法的程序
[00:02:09.300 --> 00:02:14.300]  當中有一個是和敬拜其他偶像有關
[00:02:14.300 --> 00:02:20.300]  另一個則是判斷一些難以判斷的案件
[00:02:20.300 --> 00:02:24.300]  至於第二部分十七章十四至二十節提及到
[00:02:24.300 --> 00:02:29.300]  上帝對以色列人將來要設立君王的指引
[00:02:29.300 --> 00:02:33.300]  不過聰明的大家我相信已經留意到
[00:02:33.300 --> 00:02:35.300]  以上兩部分都沒有包括第一節
[00:02:35.300 --> 00:02:37.300]  十七章第一節在內
