
[00:00:00.000 --> 00:00:04.000]  (字幕組:我已經在錄音了,請大家多多指教)
[00:00:04.000 --> 00:00:07.000]  好,各位explorer早安
[00:00:07.000 --> 00:00:09.000]  可不可以再說一次
[00:00:09.000 --> 00:00:11.000]  雖然我聽到這次比以前大聲一點
[00:00:11.000 --> 00:00:13.000]  各位explorer早安
[00:00:13.000 --> 00:00:14.000]  (早安)
[00:00:14.000 --> 00:00:16.000]  這樣就正常一點了
[00:00:16.000 --> 00:00:21.000]  其實我們上個月說了羅馬書
[00:00:21.000 --> 00:00:24.000]  其實接下來除了說羅馬書之外
[00:00:24.000 --> 00:00:26.000]  我們會有一些不同新的topic
[00:00:26.000 --> 00:00:29.000]  即是每個月會有一個不同的topic
[00:00:29.000 --> 00:00:33.000]  我們今個月的topic和之後大家間中會發現到的
[00:00:33.000 --> 00:00:37.000]  如果你們行程回來就會發現我們的arrangement
[00:00:37.000 --> 00:00:40.000]  我們會開始說一些聖經的人物
[00:00:40.000 --> 00:00:42.000]  不知道對人物你認識多少
[00:00:42.000 --> 00:00:44.000]  今天其實只是一個introduction
[00:00:44.000 --> 00:00:49.000]  換言之今天不會集中說一個聖經人物
[00:00:49.000 --> 00:00:52.000]  今天會多點讓大家去理解我們之後
[00:00:52.000 --> 00:00:54.000]  我們可能在sermon裏面
[00:00:54.000 --> 00:00:56.000]  或者我們的teaching裏面
[00:00:56.000 --> 00:00:59.000]  我們會希望我們一起去學甚麼
[00:00:59.000 --> 00:01:03.000]  今天這一段是一段很長的經文
[00:01:03.000 --> 00:01:05.000]  所以就不會叫大家讀完
[00:01:05.000 --> 00:01:08.000]  因為讀完我應該可以不用說了
[00:01:08.000 --> 00:01:10.000]  讀完就要了整個時間
[00:01:10.000 --> 00:01:12.000]  我們會看一段很長
[00:01:12.000 --> 00:01:14.000]  也有很多人名的經文
[00:01:14.000 --> 00:01:17.000]  會不會有人已經猜到我想說甚麼經文
[00:01:17.000 --> 00:01:19.000]  信心嗎?我聽到信心
[00:01:19.000 --> 00:01:21.000]  但你猜到經文的位置
[00:01:21.000 --> 00:01:22.000]  即是和信心有關
[00:01:22.000 --> 00:01:24.000]  即是你看頭目當然是說信心
[00:01:25.000 --> 00:01:27.000]  其實有寫的,但寫得很小
[00:01:27.000 --> 00:01:29.000]  有些人可能看不到
[00:01:29.000 --> 00:01:33.000]  我們今天說的經文是出自希伯來書十一章
[00:01:33.000 --> 00:01:35.000]  十一章是很長的
[00:01:35.000 --> 00:01:38.000]  所以今天是不會和大家讀完經文
[00:01:38.000 --> 00:01:41.000]  但我們會讓大家outline有些理解
[00:01:41.000 --> 00:01:45.000]  你見到我題目用了信心英雄榜
[00:01:45.000 --> 00:01:50.000]  通常我們生活上聽排行榜應該都不陌生
[00:01:50.000 --> 00:01:54.000]  例如你新聞聽到的福布斯名人排行榜
[00:01:54.000 --> 00:01:56.000]  或者香港富豪排行榜
[00:01:56.000 --> 00:01:58.000]  我忘記香港富豪是誰了
[00:01:58.000 --> 00:01:59.000]  但不是重點
[00:01:59.000 --> 00:02:02.000]  總之這些排行榜我們生活上不陌生
[00:02:02.000 --> 00:02:04.000]  但這些比較遠我們
[00:02:04.000 --> 00:02:05.000]  即是離我們比較遠
[00:02:05.000 --> 00:02:07.000]  但可能和我們比較近的
[00:02:07.000 --> 00:02:09.000]  可能是一些明星排行榜
[00:02:09.000 --> 00:02:14.000]  例如什麼2021年韓國男團明星排行榜
[00:02:14.000 --> 00:02:16.000]  其實我不是很懂
[00:02:16.000 --> 00:02:19.000]  我先聲言,我不是很熟悉韓國的男團
[00:02:19.000 --> 00:02:22.000]  除了我知道麥當勞出過BTS餐之外
[00:02:22.000 --> 00:02:23.000]  但我沒有吃過
[00:02:23.000 --> 00:02:24.000]  因為沒有機會吃
[00:02:24.000 --> 00:02:27.000]  這個是二月的紀錄
[00:02:27.000 --> 00:02:28.000]  第一個是BTS
[00:02:28.000 --> 00:02:31.000]  下面我想說有些我聽過的歌
[00:02:31.000 --> 00:02:32.000]  但很多都不懂
[00:02:32.000 --> 00:02:36.000]  這裡應該有很多人比我熟悉
[00:02:36.000 --> 00:02:38.000]  我就不在這裡獻醜了
[00:02:38.000 --> 00:02:41.000]  除了這類排行榜之外
[00:02:41.000 --> 00:02:46.000]  很多時候網上通常說Google搜查
[00:02:46.000 --> 00:02:52.000]  最近我家人在看這套東西
[00:02:52.000 --> 00:02:54.000]  我最近回家就在家看這套東西
[00:02:54.000 --> 00:02:55.000]  搞得我有些照片要追
[00:02:55.000 --> 00:02:56.000]  可能遲一點
[00:02:56.000 --> 00:02:57.000]  在Netflix上
[00:02:57.000 --> 00:02:59.000]  例如很多時候無論在香港
[00:02:59.000 --> 00:03:01.000]  我拿韓國做例子
