
[00:00:00.000 --> 00:00:09.000]  今天我們來到預苦期的第四個禮拜日
[00:00:09.000 --> 00:00:13.000]  上個禮拜日,Pastor Harvey 發表了一段經文
[00:00:13.000 --> 00:00:16.000]  不知道你記不記得,我等一下就會問你
[00:00:16.000 --> 00:00:24.000]  所以我們還有兩個禮拜就會到壽難節,就會到壽苦節
[00:00:24.000 --> 00:00:27.000]  所以我們今天很想和大家分享這個主題
[00:00:27.000 --> 00:00:38.000]  是祈禱,可能你聽到之後會說,又說祈禱?不是吧?
[00:00:38.000 --> 00:00:43.000]  當然我相信大家都很清楚什麼是祈禱
[00:00:43.000 --> 00:00:50.000]  畢竟大家都會背主禱文,不過我今天要說的祈禱是有少少不同的
[00:00:50.000 --> 00:00:59.000]  因為我所說的對象,或者主題可以說是一個孤單者的祈禱
[00:00:59.000 --> 00:01:08.000]  所以開始的時候,我很想讓大家先去想一個你曾經所經歷過的孤單片段
[00:01:08.000 --> 00:01:16.000]  一個令你覺得很孤單、很難受、很寂寞的片段
[00:01:16.000 --> 00:01:23.000]  你試想想當時發生什麼事,有沒有人在你身邊呢?
[00:01:23.000 --> 00:01:29.000]  這樣想好像很難想
[00:01:29.000 --> 00:01:36.000]  當然我們知道,孤單的感覺不等於沒有人在身邊
[00:01:36.000 --> 00:01:42.000]  就算情況是有家人、有朋友在身邊
[00:01:42.000 --> 00:01:47.000]  不過我們的內心仍然會覺得有些孤單
[00:01:47.000 --> 00:01:51.000]  仍然會覺得沒有人明白我們這樣
[00:01:51.000 --> 00:01:59.000]  不知道大家現在想到沒有,對上一次孤單的感覺
[00:01:59.000 --> 00:02:02.000]  為什麼要這樣問大家呢?
[00:02:02.000 --> 00:02:08.000]  我盼望藉著這個片段,讓大家盡快去代入耶穌的感受
[00:02:08.000 --> 00:02:14.000]  這時候我會嘗試播放一段錄音,一段經文
[00:02:14.000 --> 00:02:20.000]  不過這個版本是廣東話版的聖經經文,讓我們一起來聽吧
[00:02:20.000 --> 00:02:25.000]  如果聽不到,大家可以跟我說,如果聽不到,你可以揮揮手
[00:02:25.000 --> 00:02:33.000]  耶穌和門徒來到一個地方,叫做赫西瑪利
[00:02:33.000 --> 00:02:41.000]  對他們說:你們坐在這裡,讓我去那邊禱告
[00:02:41.000 --> 00:02:47.000]  於是帶了彼得和西比泰的兩個兒子一起去
[00:02:47.000 --> 00:02:52.000]  然後就憂愁起來,極之難過
[00:02:52.000 --> 00:02:59.000]  然後對他們說:我的心很憂傷,幾乎要死
[00:02:59.000 --> 00:03:04.000]  你們在這裡等我,跟我一起警醒
[00:03:04.000 --> 00:03:10.000]  他稍微向前走,趴在地上禱告
[00:03:10.000 --> 00:03:17.000]  爸爸,如果可以,求你叫這個杯離開我
[00:03:17.000 --> 00:03:24.000]  但是不要照我的意思,只要照你的意思就行了
[00:03:24.000 --> 00:03:32.000]  之後回到門徒那裡,看到他們都睡著了,就對彼得說
[00:03:32.000 --> 00:03:37.000]  怎麼樣?你們不可以跟我警醒一會嗎?
[00:03:37.000 --> 00:03:42.000]  還要警醒禱告,以免進入迷惑
[00:03:42.000 --> 00:03:48.000]  你們的心靈固然軟弱,肉體卻是軟弱的
[00:03:48.000 --> 00:03:53.000]  第二次,又去禱告
[00:03:53.000 --> 00:04:02.000]  爸爸,這個杯如果不能離開我,一定要我喝的話
[00:04:02.000 --> 00:04:06.000]  但願你的旨意成全
[00:04:06.000 --> 00:04:12.000]  回來又看到他們睡著了,因為他們的眼睛很累
[00:04:12.000 --> 00:04:18.000]  耶穌又離開他們,第三次祈禱
[00:04:18.000 --> 00:04:23.000]  說的話和之前一樣
[00:04:23.000 --> 00:04:28.000]  於是來到門徒那裡,跟他們說
[00:04:28.000 --> 00:04:32.000]  現在你們還要睡覺休息?
[00:04:32.000 --> 00:04:38.000]  時候到了,人質被埋在罪人手裡
[00:04:38.000 --> 00:04:47.000]  起來,我們走,看看,出賣我的人,來到了
[00:04:48.000 --> 00:04:53.000]  聽完剛才這段經文,相信大家都很明白
[00:04:53.000 --> 00:04:57.000]  今天我們要說的主角是主耶穌
[00:04:57.000 --> 00:05:01.000]  而且我們要說的是他所面對的一種孤單
[00:05:01.000 --> 00:05:09.000]  他那種寂寞,那種被拋棄的感覺
[00:05:09.000 --> 00:05:12.000]  我不知道大家是不是第一次看這段經文
[00:05:12.000 --> 00:05:17.000]  不過這段經文是緊接上星期Pastor Irene和我們分享的那一段
[00:05:17.000 --> 00:05:22.000]  也是他被捕之前的最後一個片段
[00:05:22.000 --> 00:05:26.000]  當耶穌和那班門徒吃完最後的晚餐之後
[00:05:26.000 --> 00:05:31.000]  經文說他們來到這個地方,就是叫做克西瑪尼
[00:05:31.000 --> 00:05:36.000]  第三十六節這樣說,其實我們有英文翻譯的
[00:05:36.000 --> 00:05:40.000]  三十六節這樣說,耶穌和門徒來到一個地方
[00:05:40.000 --> 00:05:47.000]  名叫克西瑪尼,他們說你們坐在這裡,我到那邊去禱告
[00:05:47.000 --> 00:05:51.000]  首先克西瑪尼是一個怎樣的地方
[00:05:51.000 --> 00:05:58.000]  這個名字本身是阿蘭文,其中一個原文
[00:05:58.000 --> 00:06:08.000]  意思是Oil Press,地理上是位於耶路撒冷的橄欖山上的一個花園
[00:06:08.000 --> 00:06:11.000]  就好像這幅圖一樣
[00:06:11.000 --> 00:06:18.000]  那裡種了橄欖樹,而相傳當時那裡有一個製造橄欖油的地方
[00:06:18.000 --> 00:06:22.000]  因此取了Oil Press的名字
[00:06:22.000 --> 00:06:26.000]  不過無論如何,經文說耶穌和那班門徒來到這個地方
[00:06:26.000 --> 00:06:31.000]  目的是祈禱,目的是要來祈禱
[00:06:31.000 --> 00:06:33.000]  第三十六,三十七節這樣說
[00:06:33.000 --> 00:06:41.000]  耶穌和門徒來到這個地方,名叫克西瑪尼,他們說你們坐在這裡,我到那邊去禱告
[00:06:41.000 --> 00:06:46.000]  於是他就帶著彼得和西彼太的兩個兒子去祈禱
[00:06:46.000 --> 00:06:49.000]  去到過去祈禱
[00:06:49.000 --> 00:06:55.000]  所以經文說他先去留下大部分的門徒去到某一個地方
[00:06:55.000 --> 00:07:02.000]  然後他就只帶著彼得和西彼太的兩個兒子去到另一邊去祈禱
[00:07:02.000 --> 00:07:08.000]  即是說彼得、雅各和約翰只是帶了這三個門徒
[00:07:08.000 --> 00:07:14.000]  為什麼呢?如果大家熟悉聖經的就會記得
[00:07:14.000 --> 00:07:17.000]  這三個門徒是最早跟隨耶穌的
