
[00:00:00.000 --> 00:00:10.000]  感謝神今天有機會跟大家分享上帝的說話
[00:00:10.000 --> 00:00:15.000]  我選擇了題目「越難越愛」
[00:00:15.000 --> 00:00:19.000]  大家看到這幅圖可能都會覺得很特別
[00:00:19.000 --> 00:00:26.000]  人的腦和人的心總是在爭戰當中
[00:00:26.000 --> 00:00:31.000]  究竟這個心和腦的爭戰
[00:00:31.000 --> 00:00:36.000]  和我們今天說的約翰一書第四章有什麼關係呢?
[00:00:36.000 --> 00:00:43.000]  當時老約翰寫約翰一書的時候
[00:00:43.000 --> 00:00:46.000]  大概是第一世紀末
[00:00:46.000 --> 00:00:50.000]  在一個地方叫以弗所寫的
[00:00:50.000 --> 00:00:54.000]  以弗所若我們還記得《使徒行傳》
[00:00:54.000 --> 00:00:59.000]  是一個拜偶像很盛行的地方
[00:00:59.000 --> 00:01:01.000]  而我早幾年去過
[00:01:01.000 --> 00:01:04.000]  當然現在的以弗所已經不同了
[00:01:04.000 --> 00:01:06.000]  只是退換拜亞
[00:01:06.000 --> 00:01:12.000]  而當時的以弗所有世界第二還是第三大的圖書館
[00:01:12.000 --> 00:01:16.000]  藏書達到幾十萬本
[00:01:16.000 --> 00:01:20.000]  就是說當時的人不單只是拜偶像
[00:01:20.000 --> 00:01:25.000]  而且還是很追求不同的學問
[00:01:25.000 --> 00:01:31.000]  而當時的社會是崇尚敬拜羅馬皇帝
[00:01:31.000 --> 00:01:35.000]  敬拜羅馬皇帝不單只是一個政治的行動
[00:01:35.000 --> 00:01:40.000]  慢慢還演化成為一個宗教的行動
[00:01:40.000 --> 00:01:44.000]  而這個敬拜羅馬皇帝的背後
[00:01:44.000 --> 00:01:46.000]  也有它的原因
[00:01:46.000 --> 00:01:49.000]  就是其實會帶來經濟的益處
[00:01:49.000 --> 00:01:53.000]  因為當你去敬拜的時候
[00:01:53.000 --> 00:01:58.000]  其實政府的官員會帶給你很多方便
[00:01:58.000 --> 00:02:00.000]  我不知道這樣形容對不對
[00:02:00.000 --> 00:02:02.000]  或者這樣類比對不對
[00:02:02.000 --> 00:02:05.000]  就好像我們去到泰國吃東西
[00:02:05.000 --> 00:02:08.000]  或者去到一些泰國的餐館
[00:02:08.000 --> 00:02:13.000]  我們總會看到有一個人的照片在裡面
[00:02:13.000 --> 00:02:16.000]  是的 就是泰王
[00:02:16.000 --> 00:02:22.000]  可能當時敬拜羅馬皇帝就起到這個作用
[00:02:22.000 --> 00:02:26.000]  不單只是一個政治上的行動
[00:02:26.000 --> 00:02:29.000]  還是一個經濟的效益
[00:02:29.000 --> 00:02:35.000]  而當時的社會是有迫不得基督徒的事情發生
[00:02:35.000 --> 00:02:40.000]  不過不算是很大的迫不得
[00:02:40.000 --> 00:02:45.000]  因為這個約翰一書是寫在啟示錄之前
[00:02:45.000 --> 00:02:47.000]  可能寫完之後
[00:02:47.000 --> 00:02:51.000]  十年八載就有大規模的迫不得
[00:02:51.000 --> 00:02:57.000]  我們知道教會作為社會裡面的一份子
[00:02:57.000 --> 00:02:59.000]  其中的一部分
[00:02:59.000 --> 00:03:07.000]  教會就難以避免受到這個社會的影響
[00:03:07.000 --> 00:03:12.000]  在這個社會時代裡面
[00:03:12.000 --> 00:03:17.000]  人們為了經濟利益而要去拜羅馬皇帝
[00:03:17.000 --> 00:03:19.000]  特別是一群基督徒
[00:03:19.000 --> 00:03:21.000]  如何自處呢?
[00:03:21.000 --> 00:03:24.000]  所以有些人就覺得
[00:03:24.000 --> 00:03:26.000]  我要脫離世俗
[00:03:26.000 --> 00:03:31.000]  因為世俗這些肉身的事實在太污穢
[00:03:31.000 --> 00:03:34.000]  甚至他們脫離到一個地步
[00:03:34.000 --> 00:03:40.000]  去否認耶穌基督曾經成過肉身
[00:03:40.000 --> 00:03:42.000]  不過又有另一批人
[00:03:42.000 --> 00:03:44.000]  另一批人就是
[00:03:44.000 --> 00:03:46.000]  是否需要呢?
[00:03:46.000 --> 00:03:48.000]  其實我們都信了主
[00:03:48.000 --> 00:03:51.000]  我們豈不是已經得救
[00:03:51.000 --> 00:03:54.000]  可以今早有酒今早醉嗎?
[00:03:54.000 --> 00:04:01.000]  拜羅馬皇帝只是表面的行動
[00:04:01.000 --> 00:04:03.000]  最重要的是心
[00:04:03.000 --> 00:04:09.000]  所以另一批人就相對完全的世俗
[00:04:09.000 --> 00:04:12.000]  覺得不用理會那麼多
[00:04:12.000 --> 00:04:17.000]  教會裡面就充斥著一群
[00:04:17.000 --> 00:04:21.000]  認為我們肉體是污穢
[00:04:21.000 --> 00:04:24.000]  甚至去到一個地步
[00:04:24.000 --> 00:04:27.000]  否認耶穌基督的道成肉身
[00:04:27.000 --> 00:04:30.000]  另一批人就覺得
[00:04:30.000 --> 00:04:32.000]  不用看那麼多規矩
[00:04:32.000 --> 00:04:34.000]  可以吧 我都得救了
[00:04:34.000 --> 00:04:38.000]  以致他們不認為需要遵從上帝的道
[00:04:38.000 --> 00:04:45.000]  不認為需要耶穌所說的愛神和愛人
[00:04:45.000 --> 00:04:49.000]  老約翰在這個社會狀況
[00:04:49.000 --> 00:04:51.000]  教會的狀況下
[00:04:51.000 --> 00:04:54.000]  他寫了《約翰一書》
[00:04:54.000 --> 00:05:02.000]  《約翰一書》整個框架都在這些框框裡
[00:05:02.000 --> 00:05:06.000]  講到耶穌基督本與父同在
[00:05:06.000 --> 00:05:08.000]  又向人顯現
[00:05:08.000 --> 00:05:12.000]  而門徒是一些什麼人呢?
[00:05:12.000 --> 00:05:18.000]  是一些聽過 看過 觀察過 觸摸過
[00:05:18.000 --> 00:05:24.000]  然後願意去見證和願意去傳揚耶穌的人
[00:05:24.000 --> 00:05:27.000]  因為見證 因為傳揚
[00:05:27.000 --> 00:05:30.000]  越來越多人信耶穌
[00:05:30.000 --> 00:05:37.000]  越來越多人就和天父和聖子耶穌建立了關係
[00:05:37.000 --> 00:05:40.000]  彼此有團契
[00:05:40.000 --> 00:05:43.000]  大家都承認靠著耶穌的血
[00:05:43.000 --> 00:05:45.000]  潔淨了我們的罪
[00:05:45.000 --> 00:05:48.000]  或者我們叫做遮蓋我們的罪
[00:05:48.000 --> 00:05:53.000]  讓我們可以坦然無懼去到上帝的面前
[00:05:53.000 --> 00:05:57.000]  而人認罪 父神就赦免
[00:05:57.000 --> 00:06:01.000]  於是我們就被稱為神的兒女
