
[00:00:00.000 --> 00:00:06.560]   Thank you, Pastor Johnny.
[00:00:06.560 --> 00:00:08.360]   Good evening, everyone.
[00:00:08.360 --> 00:00:11.720]   It's so great to be able to worship God with you.
[00:00:11.720 --> 00:00:16.400]   And today I'll be speaking on the topic, belief.
[00:00:16.400 --> 00:00:20.680]   Now you know, one of the hardest things sometimes is to have faith.
[00:00:20.680 --> 00:00:26.920]   I mean, it's easy to have faith when everything is smooth sailing, but it's so much harder
[00:00:26.920 --> 00:00:30.600]   when things go south and things are rough.
[00:00:30.600 --> 00:00:39.280]   And how can we still believe when our circumstances or situation seems to be crumbling down?
[00:00:39.280 --> 00:00:42.000]   And this is what we're going to be talking about tonight.
[00:00:42.000 --> 00:00:46.760]   Because usually at that time, what will we feel?
[00:00:46.760 --> 00:00:53.400]   We'll feel anxious, worried, or we're not quite sure actually how to pray at that time.
[00:00:53.400 --> 00:00:59.800]   So should we pray optimistically, but then at the same time, we might get disappointed.
[00:00:59.800 --> 00:01:02.000]   Now how many people have experienced that?
[00:01:02.000 --> 00:01:07.480]   Can you put it in the chat box if you have experienced a hard time having faith in God
[00:01:07.480 --> 00:01:12.280]   when the circumstances are against you?
[00:01:12.280 --> 00:01:15.480]   If you do, you can just say yes in the chat box.
[00:01:15.480 --> 00:01:21.800]   All right, we've got one.
[00:01:21.800 --> 00:01:24.480]   And two, maybe a few more.
[00:01:24.480 --> 00:01:27.480]   Yes, often someone says.
[00:01:27.480 --> 00:01:29.920]   Yes, yes.
[00:01:29.920 --> 00:01:33.400]   So yes, and that's the thing.
[00:01:33.400 --> 00:01:40.720]   It just seems like the truth be told, sometimes it is easier to believe and depend on God
[00:01:40.720 --> 00:01:42.480]   than other times.
[00:01:42.480 --> 00:01:47.400]   And no, I'm not talking about like not believing that God has sent Jesus to die on the cross
[00:01:47.400 --> 00:01:50.200]   for us and to die for our sins and resurrect.
[00:01:50.200 --> 00:01:52.280]   We're not talking about that.
[00:01:52.280 --> 00:01:59.280]   But it's the kind of faith where we can continue to depend on him and trust him in all of our
[00:01:59.280 --> 00:02:01.560]   circumstances.
[00:02:01.560 --> 00:02:06.680]   Now maybe you might be anxious about which school you should go to, which job you should
[00:02:06.680 --> 00:02:13.080]   take, or maybe you're worried about your finances and not having enough to go by for another
[00:02:13.080 --> 00:02:14.680]   few months.
[00:02:14.680 --> 00:02:20.480]   Or you might be anxious about whether or not you ever find yourself a wife or husband or
[00:02:20.480 --> 00:02:22.800]   be able to have children.
[00:02:22.800 --> 00:02:27.600]   And some of us might be worried about going old and having to be by ourselves.
[00:02:27.600 --> 00:02:30.960]   And I mean, I could just go on and on.
[00:02:30.960 --> 00:02:37.840]   But our faith in God seems to shrink when God doesn't seem to be acting out as we expect
[00:02:37.840 --> 00:02:41.040]   or hope when times are rough.
[00:02:41.040 --> 00:02:47.040]   And we might lose our peace as well as we constantly think about those problems.
[00:02:47.040 --> 00:02:51.680]   So what is it about our problems that make it so scary?
[00:02:51.680 --> 00:02:56.720]   Is it because it seems to be out of control and impossible to handle?
[00:02:56.720 --> 00:03:00.640]   Or is it because the consequences seems to be too unbearable?
[00:03:00.640 --> 00:03:07.160]   Well, you see, as we focus on the problem, and the more we look at it, the more scared
[00:03:07.160 --> 00:03:08.160]   we are.
[00:03:08.160 --> 00:03:15.000]   But if we look towards someone who can save us, and someone who has that power, then we're
[00:03:15.000 --> 00:03:16.760]   going to have faith.
[00:03:16.760 --> 00:03:24.680]   Now one of the imageries that I like a lot is when a baby rests really peacefully in
[00:03:24.680 --> 00:03:26.280]   the caretaker's arms.
[00:03:26.280 --> 00:03:30.420]   And we might even have a few here on screen, but we probably can't put them on.
[00:03:30.420 --> 00:03:32.800]   And it just looks like this, right?
[00:03:32.800 --> 00:03:41.080]   It almost seems like whatever is happening, COVID, no job, anything, nothing seems to
[00:03:41.080 --> 00:03:45.600]   be bothered, or the baby doesn't seem to be bothered by it.
[00:03:45.600 --> 00:03:50.800]   And today we're actually going to look into the scripture.
[00:03:50.800 --> 00:03:55.760]   Mark chapter 4, verse 35 to 41.
[00:03:55.760 --> 00:04:01.680]   And we're very glad because as we are going to listen to the scripture today, we actually
[00:04:01.680 --> 00:04:04.000]   have a video to go with it.
[00:04:04.000 --> 00:04:09.680]   And so we're going to play that, and that will be the exact scripture that we need to
[00:04:09.680 --> 00:04:11.040]   read today.
[00:04:11.040 --> 00:04:18.120]   That day when evening came, he said to his disciples, "Let us go over to the other side."
