
[00:00:00.000 --> 00:00:02.640]  好 各位弟兄姊妹 大家主內平安
[00:00:02.640 --> 00:00:06.340]  感謝主的恩典帶領 讓我們在
[00:00:06.340 --> 00:00:09.820]  聖餐主日 再次的相聚
[00:00:09.820 --> 00:00:12.620]  為了要一起敬拜我們的神 也要
[00:00:12.620 --> 00:00:15.580]  聆聽神給我們的提醒
[00:00:15.580 --> 00:00:18.580]  那麼 謝謝主席Casey姊妹 剛才
[00:00:18.580 --> 00:00:21.520]  帶領我們的眾弟兄姊妹 一起讀了這段
[00:00:21.520 --> 00:00:24.080]  大家耳熟能詳的經文
[00:00:24.080 --> 00:00:28.420]  那麼 事源呢 在今年的3月
[00:00:28.900 --> 00:00:30.880]  那麼 關於這個
[00:00:30.880 --> 00:00:34.340]  世界幸福報告呢 又出了一份新的
[00:00:34.340 --> 00:00:35.340]  統計呀
[00:00:35.340 --> 00:00:38.680]  那麼 包括我們香港的城市
[00:00:38.680 --> 00:00:41.540]  大家覺得在各個國家或地區
[00:00:41.540 --> 00:00:44.200]  香港的排名是前還是後呢
[00:00:44.200 --> 00:00:47.680]  比較後啊 有前 有後啊
[00:00:47.680 --> 00:00:48.680]  比較樂觀的啊
[00:00:48.680 --> 00:00:52.240]  那麼 按照他的統計和訪問呢
[00:00:52.240 --> 00:00:55.300]  他呢 居然
[00:00:55.300 --> 00:00:56.300]  下跌至
[00:00:56.300 --> 00:00:58.240]  第90位
[00:00:59.060 --> 00:01:02.040]  在亞洲各地區當中呢
[00:01:02.040 --> 00:01:03.300]  排位較低
[00:01:03.300 --> 00:01:06.660]  如果10分為一個滿分的話
[00:01:06.660 --> 00:01:08.860]  有記者來採訪你
[00:01:08.860 --> 00:01:11.840]  你會對你的幸福指數打幾分呢
[00:01:11.840 --> 00:01:15.180]  各自可能有各自的答案
[00:01:15.180 --> 00:01:18.160]  那麼 按照這樣一個機構的統計呀 按照受訪者的
[00:01:18.160 --> 00:01:20.200]  一個回應和表態
[00:01:20.200 --> 00:01:23.660]  在他們的統計下呢 香港人的
[00:01:23.660 --> 00:01:26.080]  幸福指數呢 平均只有
[00:01:26.080 --> 00:01:28.160]  5.63分
[00:01:28.900 --> 00:01:30.300]  還沒有及格
[00:01:30.300 --> 00:01:33.600]  串了7年的新低
[00:01:33.600 --> 00:01:37.340]  那麼 不快樂的原因有哪些呢
[00:01:37.340 --> 00:01:40.580]  有的人呢 就給出了自己的答案啦
[00:01:40.580 --> 00:01:44.180]  有的呢 就反映了 樓價高
[00:01:44.180 --> 00:01:46.780]  工作壓力和家庭壓力
[00:01:46.780 --> 00:01:47.780]  都比較大
[00:01:47.780 --> 00:01:50.960]  社會的支援呢
[00:01:50.960 --> 00:01:54.620]  都比較薄弱 他們就不開心了
[00:01:54.620 --> 00:01:57.960]  還有呢 就覺得生活成本高啊
[00:01:57.960 --> 00:01:59.700]  等等一些的原因
[00:01:59.700 --> 00:02:03.160]  在如此高壓力的情況下呢 居然會
[00:02:03.160 --> 00:02:05.780]  有這樣一個數字啊 高達
[00:02:05.780 --> 00:02:08.880]  35%的人啊 據說
[00:02:08.880 --> 00:02:11.740]  有嚴重的抑鬱等
[00:02:11.740 --> 00:02:12.740]  情緒的問題
[00:02:12.740 --> 00:02:14.160]  哇
[00:02:14.160 --> 00:02:18.120]  那麼 亞洲 全世界啊 排名
[00:02:18.120 --> 00:02:21.180]  比較靠前的10個國家或地區
[00:02:21.180 --> 00:02:22.220]  分別是哪些呢
[00:02:22.220 --> 00:02:25.660]  當然有我們很熟悉的 啊 也是
[00:02:25.660 --> 00:02:28.380]  理想中 認為比較開心的
[00:02:28.380 --> 00:02:31.360]  北歐的一些的國家 歐洲啊
[00:02:31.360 --> 00:02:32.540]  北歐的一些的國家
[00:02:32.540 --> 00:02:35.380]  當然呢 竟然還有啊
[00:02:35.380 --> 00:02:38.940]  在戰火和地區衝突的一些的地方
[00:02:38.940 --> 00:02:41.940]  竟然排在了
[00:02:41.940 --> 00:02:43.440]  對啊 前面啊
[00:02:43.440 --> 00:02:46.760]  還有竟然被我們理解成為
[00:02:46.760 --> 00:02:49.680]  受到了黑幫和毒品困擾和影響的地區啊
[00:02:49.680 --> 00:02:52.600]  大家都知道我講的是哪些地區啊
[00:02:52.600 --> 00:02:55.640]  還排入了前10
[00:02:56.040 --> 00:02:59.020]  當然呢 你也可以說 這樣的一個排名呢
[00:02:59.020 --> 00:03:00.020]  這樣的一個排名呢
[00:03:00.020 --> 00:03:02.040]  有爭議
[00:03:02.040 --> 00:03:03.700]  不全面
[00:03:03.700 --> 00:03:06.740]  那麼從另外一個方面來說呢
[00:03:06.740 --> 00:03:10.140]  幸福快樂的指標呢 可能受一些
[00:03:10.140 --> 00:03:12.120]  外在因素的影響
[00:03:12.120 --> 00:03:15.660]  也可以不受外在的影響啊
[00:03:15.660 --> 00:03:18.900]  包括戰亂啊 黑幫啊 毒品啊
[00:03:18.900 --> 00:03:22.240]  他個人啊 國民 也可以
[00:03:22.240 --> 00:03:25.040]  自己活得很幸福 很快樂的
[00:03:25.040 --> 00:03:26.040]  我
[00:03:26.040 --> 00:03:29.160]  雖然呢 香港的排名呢 跌至
[00:03:29.160 --> 00:03:30.660]  第90啊
[00:03:30.660 --> 00:03:34.380]  但普遍對於很多香港人來說啊
[00:03:34.380 --> 00:03:37.600]  有一個群體對於香港市民說
[00:03:37.600 --> 00:03:40.460]  他們覺得是最快樂的一個群體啊
[00:03:40.460 --> 00:03:42.580]  是哪一個群體啊
[00:03:42.580 --> 00:03:46.380]  說得很好啊 有的說 基督徒啊 很棒啊
[00:03:46.380 --> 00:03:49.020]  整個社會來看啊 竟然啊
[00:03:49.020 --> 00:03:51.880]  竟然覺得最快樂的一個群體呢
