
[00:00:00.000 --> 00:00:02.360]  好,在開始今天的講道之前
[00:00:02.360 --> 00:00:04.680]  我們回顧一下上星期發生甚麼事
[00:00:04.680 --> 00:00:07.880]  我們講到「創世紀」第二章
[00:00:07.880 --> 00:00:13.680]  講到神創造了亞當,又創造了夏娃
[00:00:13.680 --> 00:00:17.320]  而今天來到一個好像很沉重的課題
[00:00:17.320 --> 00:00:22.880]  讓大家獨到滾瓜爛熟的時間
[00:00:22.880 --> 00:00:24.640]  就是墮落
[00:00:24.640 --> 00:00:28.040]  我想問大家是否記得
[00:00:28.120 --> 00:00:31.640]  上星期是關於創造亞當和夏娃
[00:00:31.640 --> 00:00:33.480]  是關於甚麼不好
[00:00:33.480 --> 00:00:37.480]  因為上帝看到亞當有甚麼不好
[00:00:37.480 --> 00:00:38.560]  有人記得嗎
[00:00:38.560 --> 00:00:40.720]  對,孤獨
[00:00:40.720 --> 00:00:42.960]  但神不想有這個孤獨
[00:00:42.960 --> 00:00:44.840]  不想去一個人
[00:00:44.840 --> 00:00:47.760]  看似亞當和夏娃
[00:00:47.760 --> 00:00:51.440]  是我們現今社會很開心的一件事
[00:00:51.440 --> 00:00:53.280]  我們看到結尾
[00:00:53.280 --> 00:00:56.760]  亞當和夏娃可以說是人生勝利組
[00:00:56.840 --> 00:00:59.280]  又有房子,又有樓盤
[00:00:59.280 --> 00:01:01.920]  房子代表他們在伊甸園
[00:01:01.920 --> 00:01:04.360]  他們有住的地方,有樓盤
[00:01:04.360 --> 00:01:08.200]  好像一切按照神的計劃
[00:01:08.200 --> 00:01:10.240]  是一個很美好的過程
[00:01:10.240 --> 00:01:13.040]  但在這個無憂無慮的環境中
[00:01:13.040 --> 00:01:17.640]  這個平靜的環境
[00:01:17.640 --> 00:01:19.160]  會否只是一個幻覺
[00:01:19.160 --> 00:01:22.120]  在我們日常生活中,會否也是這樣
[00:01:22.120 --> 00:01:26.600]  我們知道蛇是一個隱憂者
[00:01:26.680 --> 00:01:30.600]  牠將會誘惑亞當和夏娃
[00:01:30.600 --> 00:01:33.640]  去吃一下這個禁果
[00:01:33.640 --> 00:01:36.880]  而我們又沒有好好警醒
[00:01:36.880 --> 00:01:38.000]  今天這個經文
[00:01:38.000 --> 00:01:40.560]  就是為大家再提醒一次
[00:01:40.560 --> 00:01:43.000]  究竟人為了甚麼墮落
[00:01:43.000 --> 00:01:43.960]  或者我們去理解
