
[00:00:00.000 --> 00:00:01.240]  大家新春快樂
[00:00:01.240 --> 00:00:04.960]  快樂 好 感恩吶
[00:00:04.960 --> 00:00:07.920]  在過年的期間 用一個大家
[00:00:07.920 --> 00:00:10.880]  今年聽得比較多的祝福語的
[00:00:10.880 --> 00:00:13.700]  其中一句 來成為今天的
[00:00:13.700 --> 00:00:16.680]  講題 馬到成功
[00:00:16.680 --> 00:00:18.280]  來一起思想
[00:00:18.280 --> 00:00:20.200]  上帝的話語
[00:00:20.200 --> 00:00:23.960]  那話說我這個講題的宣傳
[00:00:23.960 --> 00:00:26.880]  出來以後呢 收到了一些的
[00:00:26.880 --> 00:00:27.880]  反響啊
[00:00:28.840 --> 00:00:32.080]  有的弟兄姊妹就有疑問
[00:00:32.080 --> 00:00:35.400]  到底你的講題是想要叫
[00:00:35.400 --> 00:00:37.480]  馬到成功呢
[00:00:37.480 --> 00:00:40.960]  還是要叫 馬到功成
[00:00:40.960 --> 00:00:45.600]  那在這裡呢 也做一個澄清啊
[00:00:45.600 --> 00:00:48.640]  這兩個詞呢 廣泛的都
[00:00:48.640 --> 00:00:51.080]  被大家所運用
[00:00:51.080 --> 00:00:53.600]  那麼意思呢
[00:00:53.600 --> 00:00:56.040]  其實都是一樣的
[00:00:56.040 --> 00:00:58.480]  那麼如果是按照
[00:00:58.920 --> 00:01:01.920]  嚴謹的權威的工具書啊
[00:01:01.920 --> 00:01:05.040]  例如這個現代漢語詞典來說呢
[00:01:05.040 --> 00:01:08.960]  馬到成功呢 是一個標準的用語
[00:01:08.960 --> 00:01:10.920]  是一個標準的用語
[00:01:10.920 --> 00:01:13.320]  意指呢 這樣一個用語
[00:01:13.320 --> 00:01:18.000]  指馬一上陣 就取得勝利了
[00:01:18.000 --> 00:01:20.760]  比喻呢 事情剛開始
[00:01:20.760 --> 00:01:23.800]  就迅速的 順利的呢
[00:01:23.800 --> 00:01:25.520]  就獲得了成功
[00:01:25.680 --> 00:01:28.920]  所以呢 是馬到成功嘛
[00:01:28.920 --> 00:01:32.040]  為什麼今年呢 會特別講這個詞
[00:01:32.040 --> 00:01:33.320]  講得比較多呢
[00:01:33.320 --> 00:01:36.920]  按照中國人的傳統嘛 華人的傳統
[00:01:36.920 --> 00:01:40.120]  生肖來說啊 今年是什麼年啊
[00:01:40.120 --> 00:01:43.760]  馬年 當然我們不是按照
[00:01:43.760 --> 00:01:45.000]  迷信的角度
[00:01:45.000 --> 00:01:48.760]  來思考這個問題啊 傳統文化
[00:01:48.760 --> 00:01:51.160]  到了馬年的生肖
[00:01:51.160 --> 00:01:54.160]  我們也會在思想啊 在神
[00:01:54.280 --> 00:01:57.320]  創造的各樣動物之間
[00:01:57.320 --> 00:01:58.320]  又結合了
[00:01:58.320 --> 00:02:01.320]  中國傳統的文化
[00:02:01.320 --> 00:02:04.040]  究竟有一個怎樣的意義呢
[00:02:04.040 --> 00:02:07.720]  就讓我看到了 在撒加利亞書啊
[00:02:07.720 --> 00:02:12.440]  期間 上帝向撒加利亞先知
[00:02:12.440 --> 00:02:16.080]  所啟示的8個意象
[00:02:16.080 --> 00:02:17.480]  8個意象
[00:02:17.480 --> 00:02:20.920]  在這8個意象呢 謝謝剛才主席帶領
[00:02:20.920 --> 00:02:22.400]  大家一起讀的
[00:02:22.760 --> 00:02:25.800]  第一和第八個意象當中
[00:02:25.800 --> 00:02:27.480]  首尾呼應的對照
[00:02:27.480 --> 00:02:31.120]  都出現了馬的一個形象
[00:02:31.120 --> 00:02:34.920]  也願意我們結合傳統文化
[00:02:34.920 --> 00:02:38.280]  也結合當年上帝向
[00:02:38.280 --> 00:02:39.680]  以色列民的啟示
[00:02:39.680 --> 00:02:42.840]  同樣也透過聖經的記載
[00:02:42.840 --> 00:02:44.840]  我們要一起來思想
[00:02:44.840 --> 00:02:46.840]  今天的這樣一個主題啊
[00:02:46.840 --> 00:02:48.840]  我們一起有一個禱告
[00:02:50.520 --> 00:02:53.600]  親愛的天父 我們感謝讚美你
[00:02:53.600 --> 00:02:57.360]  因著你的愛 你就帶領我們的人生
[00:02:57.360 --> 00:02:58.360]  道路
[00:02:58.360 --> 00:03:01.720]  雖然 世間的景況
[00:03:01.720 --> 00:03:04.080]  有高高低低
[00:03:04.080 --> 00:03:07.400]  雖然人生路 也會有
[00:03:07.400 --> 00:03:09.040]  曲折難行的時候
[00:03:09.040 --> 00:03:12.000]  但是 主 你就介入在
[00:03:12.000 --> 00:03:13.600]  我們的生命當中
[00:03:13.600 --> 00:03:16.880]  我們也祈求 當年你如何
[00:03:16.880 --> 00:03:18.520]  透過意象
[00:03:19.000 --> 00:03:22.640]  將你的這個意念 怎樣展現給
[00:03:22.640 --> 00:03:24.680]  撒加利亞先知的
[00:03:24.680 --> 00:03:27.840]  今天也透過聖經的記載
[00:03:27.840 --> 00:03:30.480]  同樣也展現給我們
[00:03:30.480 --> 00:03:34.360]  讓我們透過新春開年的一個期間
[00:03:34.360 --> 00:03:36.200]  透過你的話語
[00:03:36.200 --> 00:03:39.000]  心裡面就得蒙主你的提醒
[00:03:39.000 --> 00:03:40.200]  和啟示
[00:03:40.200 --> 00:03:43.120]  以至於讓我們的生命當中
[00:03:43.120 --> 00:03:45.480]  真的可以馬到成功
[00:03:45.480 --> 00:03:47.160]  也求主你帶領
[00:03:47.480 --> 00:03:49.920]  主啊 願我口中的話語
[00:03:49.920 --> 00:03:52.360]  眾弟兄姊妹的心懷意念
[00:03:52.360 --> 00:03:54.920]  都得蒙天父 善定你的願啊
[00:03:54.920 --> 00:03:58.280]  同心禱告 奉主明求 阿們
[00:03:58.280 --> 00:04:01.480]  那麼在這裡呢 首先要講一下
[00:04:01.480 --> 00:04:04.600]  當時先知的一個時代背景
[00:04:04.600 --> 00:04:08.000]  當時呢 大概是在這個
[00:04:08.000 --> 00:04:10.720]  主前啊 520年左右
[00:04:10.720 --> 00:04:14.400]  當時的一個期間呢 以色列民已經
[00:04:14.400 --> 00:04:17.240]  被波斯帝國所統治啊
[00:04:17.560 --> 00:04:19.480]  他們當時呢 分別在
[00:04:19.480 --> 00:04:21.960]  這個亞述帝國
[00:04:21.960 --> 00:04:25.800]  把北國以色列把它滅國以後呢
[00:04:25.800 --> 00:04:29.640]  巴比倫國呢 又在主前的500多年啊
[00:04:29.640 --> 00:04:31.800]  又把南國的猶大除滅了
[00:04:31.800 --> 00:04:34.040]  甚至呢 又把他們呢
[00:04:34.040 --> 00:04:35.680]  擄到了巴比倫
[00:04:35.680 --> 00:04:38.200]  擄到了巴比倫之後呢
[00:04:38.200 --> 00:04:42.280]  波斯帝國呢 又打敗了巴比倫的帝國
[00:04:42.280 --> 00:04:45.760]  以至於呢 他們的政策就有所改變
[00:04:46.200 --> 00:04:48.760]  之前呢 是要勞役他們
[00:04:48.760 --> 00:04:51.440]  做苦工 到了波斯帝國
[00:04:51.440 --> 00:04:54.600]  統治的時候呢 就採取了一些懷柔的政策
[00:04:54.600 --> 00:04:57.520]  允許當時的以色列民 猶大民
[00:04:57.520 --> 00:04:59.440]  回到自己的國土
[00:04:59.440 --> 00:05:02.560]  然後恢復自己一些的生活
[00:05:02.560 --> 00:05:05.880]  雖然呢 在這樣一個好像是
[00:05:05.880 --> 00:05:08.400]  喪權辱國的境地啊
[00:05:08.400 --> 00:05:12.480]  也還是應允了神的預言
[00:05:12.480 --> 00:05:15.000]  必然他們被擄 歸毀
[00:05:15.000 --> 00:05:16.800]  70年之後的歸回
[00:05:16.800 --> 00:05:20.240]  但是 就在這樣一個被擄歸回的
[00:05:20.240 --> 00:05:21.520]  背景之下呢
[00:05:21.520 --> 00:05:24.040]  對於這般的以色列民呢
[00:05:24.040 --> 00:05:25.840]  處於一個
[00:05:25.840 --> 00:05:28.600]  很不堪的
[00:05:28.600 --> 00:05:32.200]  很痛苦的 甚至很低落的
[00:05:32.200 --> 00:05:33.840]  一個人生的境地
[00:05:33.840 --> 00:05:35.720]  所以在這個時候呢
[00:05:35.720 --> 00:05:38.360]  這個先知 撒加利亞
[00:05:38.360 --> 00:05:40.280]  也就德蒙的啟示
[00:05:40.280 --> 00:05:43.720]  我們要開始來建聖殿
[00:05:44.240 --> 00:05:45.440]  我們要做的
[00:05:45.440 --> 00:05:47.720]  不是做其他的事情
[00:05:47.720 --> 00:05:50.680]  我們要做的呢 首要是恢復
[00:05:50.680 --> 00:05:54.000]  我們的信仰生活 所以才開始了
[00:05:54.000 --> 00:05:55.920]  今天的一個啟示啊
[00:05:55.920 --> 00:05:59.240]  如果當我們看撒加利亞先知書呢
[00:05:59.240 --> 00:06:02.360]  開篇的時候呢 就開始有一個紀念法了
[00:06:02.360 --> 00:06:06.160]  大劉氏王 第二年的8月
[00:06:06.160 --> 00:06:09.920]  大概呢 也是這個公元前的520年啊
[00:06:09.920 --> 00:06:11.320]  這個時候呢
[00:06:11.560 --> 00:06:14.160]  這個耶和華的話 就臨到了
[00:06:14.160 --> 00:06:17.400]  他們的這個先知 講到他的父輩
[00:06:17.400 --> 00:06:20.640]  怎麼樣的人 臨到了撒加利亞先知
[00:06:20.640 --> 00:06:24.160]  就和他說了一些的 過往的事情
[00:06:24.160 --> 00:06:27.480]  首先呢 就帶他回顧了過去啊
[00:06:27.480 --> 00:06:30.800]  就說了 耶和華曾向你們
[00:06:30.800 --> 00:06:34.080]  祖先 大發滅路
[00:06:34.080 --> 00:06:37.560]  發火的一個原因啊 被管教的一個原因
[00:06:37.560 --> 00:06:39.600]  也是被擄的一個原因
[00:06:40.160 --> 00:06:41.560]  是因為什麼呢
[00:06:41.560 --> 00:06:43.600]  是因為
[00:06:43.600 --> 00:06:48.040]  是因為 當時他們的祖先呢
[00:06:48.040 --> 00:06:50.320]  生活在了一些
[00:06:50.320 --> 00:06:54.000]  罪惡的行徑裡面去啊 如此說
[00:06:54.000 --> 00:06:59.000]  當迴轉 離開你們的罪惡的惡行當中啊
[00:06:59.000 --> 00:07:03.000]  而且告訴他 不要效法你的祖先
[00:07:03.000 --> 00:07:07.120]  然後接下來卻說 他們卻不聽
[00:07:07.120 --> 00:07:10.600]  也不順從我 就是耶和華說的
[00:07:10.600 --> 00:07:13.840]  就把過往他們祖先的經歷
[00:07:13.840 --> 00:07:16.840]  展現給了撒加利亞先知聽了
[00:07:16.840 --> 00:07:21.400]  為什麼會有等等一些的境遇和遭遇呢
[00:07:21.400 --> 00:07:25.160]  不是因為別的國家很強
[00:07:25.160 --> 00:07:28.800]  也不是因為神不管不顧你們了
[00:07:28.800 --> 00:07:31.240]  而是因為你們
[00:07:31.240 --> 00:07:35.040]  神親自揀選的族群 神的選民
[00:07:35.320 --> 00:07:37.680]  你們自己要離開神
[00:07:37.680 --> 00:07:40.520]  要行在了惡道的當中
[00:07:40.520 --> 00:07:44.400]  神就藉由其他的民族來管教
[00:07:44.400 --> 00:07:47.680]  神的子民 有這樣一個背景啊
[00:07:47.680 --> 00:07:51.600]  在講到了一個背景以後呢 神也要展現
[00:07:51.600 --> 00:07:54.080]  那神的心意是如何呢
[00:07:54.080 --> 00:07:57.200]  所以你們不要學你們的先祖
[00:07:57.200 --> 00:07:59.480]  於是你又跟他們說了
[00:07:59.480 --> 00:08:02.880]  你們要怎麼樣啊 我們的這個海萊的字體啊
