
[00:00:00.000 --> 00:00:02.800]  好 弟兄姐妹們 主內平安
[00:00:02.800 --> 00:00:06.520]  感謝主啊 帶領我們在聖餐主日當中
[00:00:06.520 --> 00:00:08.440]  繼續的相聚
[00:00:08.440 --> 00:00:11.440]  那麼今天我們的經文啊 來到了約書亞祭的
[00:00:11.440 --> 00:00:14.500]  第十二章了 要和大家一起
[00:00:14.500 --> 00:00:17.680]  要分享的一個主題叫做
[00:00:17.680 --> 00:00:20.080]  《蜀算上帝的恩典》
[00:00:20.080 --> 00:00:23.420]  剛才謝謝主席啊 帶領大家一起
[00:00:23.420 --> 00:00:26.460]  同心合一的 把這一章經文的
[00:00:26.460 --> 00:00:29.300]  一到八節都讀了一下啊
[00:00:29.640 --> 00:00:30.900]  讀了以後呢
[00:00:30.900 --> 00:00:33.780]  發現確實比較悶啊
[00:00:33.780 --> 00:00:37.240]  確實 這一章經文呢
[00:00:37.240 --> 00:00:40.680]  通常都會叫做對於一到十一章
[00:00:40.680 --> 00:00:43.160]  征戰經文的總結
[00:00:43.160 --> 00:00:46.680]  它在其間呢 蜀算了很多帝的
[00:00:46.680 --> 00:00:49.700]  帝名 還有很多王的名字
[00:00:49.700 --> 00:00:52.700]  以至於呢 不停地羅列著之餘呢
[00:00:52.700 --> 00:00:54.700]  大家比較晦澀
[00:00:54.700 --> 00:00:57.980]  難以明白 有的人呢 也會把這些的
[00:00:57.980 --> 00:01:01.000]  章節的經文啊 叫做
[00:01:01.000 --> 00:01:04.060]  容易釣魚的章節啊 怎麼釣魚啊
[00:01:04.060 --> 00:01:07.620]  讀著讀著就 啊 這個 容易睡了啊
[00:01:07.620 --> 00:01:09.460]  先不要釣魚啊
[00:01:09.460 --> 00:01:13.180]  如果我們仔細看其中的內容啊
[00:01:13.180 --> 00:01:15.940]  你會發現 其實很有意思
[00:01:15.940 --> 00:01:19.160]  在它的相關的呼應期間呢
[00:01:19.160 --> 00:01:22.300]  它有閃次 還有拿走
[00:01:22.300 --> 00:01:25.740]  閃次的是什麼呢 講到的是
[00:01:25.740 --> 00:01:26.740]  其中的帝
[00:01:27.120 --> 00:01:28.880]  帝是應許之帝啊
[00:01:28.880 --> 00:01:32.820]  上帝一直就講到要賜給以色列民的
[00:01:32.820 --> 00:01:34.820]  現在終於經過了
[00:01:34.820 --> 00:01:36.820]  約書亞記一到十一章啊
[00:01:36.820 --> 00:01:38.820]  大部分的帝他們已經得到了
[00:01:38.820 --> 00:01:40.820]  雖然還有很多沒有得到啊
[00:01:40.820 --> 00:01:42.820]  大部分的帝得到了
[00:01:42.820 --> 00:01:44.820]  那麼呢 是上帝賜給他們的
[00:01:44.820 --> 00:01:46.820]  還有一些東西呢
[00:01:46.820 --> 00:01:48.820]  是上帝除滅的
[00:01:48.820 --> 00:01:50.820]  除滅的
[00:01:50.820 --> 00:01:52.820]  就是各樣的王的名字啊
[00:01:52.820 --> 00:01:54.820]  他們這些王呢
[00:01:54.820 --> 00:01:56.820]  這些王呢 被除滅
[00:01:56.820 --> 00:01:58.820]  拿走了 就在這些
[00:01:58.820 --> 00:02:00.820]  閃次和除滅之間呢
[00:02:00.820 --> 00:02:02.820]  有很多我們和神的
[00:02:02.820 --> 00:02:04.820]  互動 也是在
[00:02:04.820 --> 00:02:06.820]  此期間啊 所以
[00:02:06.820 --> 00:02:08.820]  很多時候就講到我們要
[00:02:08.820 --> 00:02:10.820]  數算神恩典的時候
[00:02:10.820 --> 00:02:12.820]  大家也可以透過這樣一個進度
[00:02:12.820 --> 00:02:14.820]  神賜予了我們什麼
[00:02:14.820 --> 00:02:16.820]  神幫助我
[00:02:16.820 --> 00:02:18.820]  拿走
[00:02:18.820 --> 00:02:20.820]  剔除了什麼東西
[00:02:20.820 --> 00:02:22.820]  以至於我們就將一切的
[00:02:22.820 --> 00:02:24.820]  重要歸於我們的神上帝
[00:02:24.820 --> 00:02:26.820]  那麼在
[00:02:26.820 --> 00:02:28.820]  這一章的經文裡邊啊
[00:02:28.820 --> 00:02:30.820]  也要求神
[00:02:30.820 --> 00:02:32.820]  讓我們可以進入到當時
[00:02:32.820 --> 00:02:34.820]  以色列民的處境當中
[00:02:34.820 --> 00:02:36.820]  明白那些的帝
[00:02:36.820 --> 00:02:38.820]  那些的王 不單是
[00:02:38.820 --> 00:02:40.820]  一個文字上面在
[00:02:40.820 --> 00:02:42.820]  數算的一個地理 還有歷史
[00:02:42.820 --> 00:02:44.820]  他們是辛辛苦苦
[00:02:44.820 --> 00:02:46.820]  經歷了很多年的
[00:02:46.820 --> 00:02:48.820]  征戰 呼應出來的
[00:02:48.820 --> 00:02:50.820]  同樣也讓
[00:02:50.820 --> 00:02:52.820]  神感動的
[00:02:52.820 --> 00:02:54.820]  靈進入到我們的生命當中
[00:02:54.820 --> 00:02:56.820]  讓我們想到
[00:02:56.820 --> 00:02:58.820]  神有各樣的賜予
[00:02:58.820 --> 00:03:00.820]  神也有怎樣的
[00:03:00.820 --> 00:03:02.820]  剔除 以至於我們
[00:03:02.820 --> 00:03:04.820]  生命得到更新啊
[00:03:04.820 --> 00:03:06.820]  以至於我們可以歸榮耀給
[00:03:06.820 --> 00:03:08.820]  神 我們一起來
[00:03:08.820 --> 00:03:10.820]  有一個禱告
[00:03:10.820 --> 00:03:12.820]  天父上帝我們滿心的
[00:03:12.820 --> 00:03:14.820]  感謝你
[00:03:14.820 --> 00:03:16.820]  謝謝你的恩典
[00:03:16.820 --> 00:03:18.820]  時常與我們同在
[00:03:18.820 --> 00:03:20.820]  當我們願意跟隨你的時候
[00:03:20.820 --> 00:03:22.820]  你就展現
[00:03:22.820 --> 00:03:24.820]  新的圖畫在我們面前
[00:03:24.820 --> 00:03:26.820]  你就帶領我們
[00:03:26.820 --> 00:03:28.820]  走那以前沒有走過的路
[00:03:28.820 --> 00:03:30.820]  取勝那以前我們想都
[00:03:30.820 --> 00:03:32.820]  不敢想的征戰的勝利
[00:03:32.820 --> 00:03:34.820]  是的主
[00:03:34.820 --> 00:03:36.820]  祢是愛我們的神
[00:03:36.820 --> 00:03:38.820]  祢要陶造我們的神
[00:03:38.820 --> 00:03:40.820]  就讓我們把今天一個總結的訊息
[00:03:40.820 --> 00:03:42.820]  一個總結的章節的話語
[00:03:42.820 --> 00:03:44.820]  的內容
[00:03:44.820 --> 00:03:46.820]  也都交錯在主祢的手中
