
[00:00:00.000 --> 00:00:02.640]  我們開始一個新的系列
[00:00:02.640 --> 00:00:04.960]  是Jesus is Lord
[00:00:04.960 --> 00:00:07.360]  Chinese New Year我們學了什麼?
[00:00:07.360 --> 00:00:09.640]  The Lord is the true blessing
[00:00:09.640 --> 00:00:10.200]  是不是?
[00:00:10.200 --> 00:00:12.360]  不是收到利是
[00:00:12.360 --> 00:00:16.360]  不是收到吃飯等等
[00:00:16.360 --> 00:00:18.360]  就有Blessing
[00:00:18.360 --> 00:00:21.720]  The true blessing comes from the Lord
[00:00:21.720 --> 00:00:22.520]  是不是?
[00:00:22.520 --> 00:00:24.600]  True blessing comes from the Lord
[00:00:24.600 --> 00:00:27.640]  Only through Him do we have eternal life
[00:00:27.640 --> 00:00:30.200]  Only through Him do we have eternal life
[00:00:30.200 --> 00:00:31.240]  第二
[00:00:31.240 --> 00:00:33.240]  上個禮拜我們學了什麼?
[00:00:33.240 --> 00:00:35.400]  The Lord over the Sabbath
[00:00:35.400 --> 00:00:36.720]  The Lord of the Sabbath
[00:00:36.720 --> 00:00:37.640]  是不是?
[00:00:37.640 --> 00:00:39.000]  God is the Lord
[00:00:39.000 --> 00:00:41.560]  Jesus is the Lord over the Sabbath
[00:00:41.560 --> 00:00:42.920]  今天我們會學
[00:00:42.920 --> 00:00:44.680]  The Lord over nature
[00:00:44.680 --> 00:00:47.280]  Jesus is Lord over nature
[00:00:47.280 --> 00:00:49.200]  我們會讀
[00:00:49.200 --> 00:00:50.000]  Chapter 8
[00:00:50.000 --> 00:00:53.160]  Let's read Chapter 8 together
[00:00:53.160 --> 00:00:55.160]  我們讀中文一起
[00:00:55.160 --> 00:00:56.680]  看不看到中文?
[00:00:56.680 --> 00:00:58.000]  看不到
[00:00:58.000 --> 00:00:59.600]  OK 讀英文吧
[00:00:59.600 --> 00:01:00.560]  我們一起讀英文
[00:01:00.560 --> 00:01:01.080]  OK Ready
[00:01:01.080 --> 00:01:02.480]  1, 2, 3
[00:01:02.480 --> 00:01:05.400]  Jesus said to the disciples
[00:01:05.400 --> 00:01:08.600]  Let's go over to the other side
[00:01:08.600 --> 00:01:11.360]  So they got into the boat and set out
[00:01:11.360 --> 00:01:14.080]  As they sailed, he fell asleep
[00:01:14.080 --> 00:01:17.000]  A squall came down
[00:01:17.000 --> 00:01:19.640]  So that the boat was being swamped
[00:01:19.640 --> 00:01:21.880]  And they were in great danger
[00:01:21.880 --> 00:01:23.960]  The disciples went and woke him
[00:01:23.960 --> 00:01:26.040]  Saying, "Master! Master!
[00:01:26.040 --> 00:01:27.840]  We're going to drown!"
[00:01:27.840 --> 00:01:29.760]  He got up and rebuked the wind
[00:01:29.760 --> 00:01:31.480]  And raging waters
[00:01:31.480 --> 00:01:33.040]  The storm subsided
[00:01:33.040 --> 00:01:34.640]  And all was calm
[00:01:34.640 --> 00:01:36.120]  "Where is your faith?"
[00:01:36.120 --> 00:01:37.880]  He asked his disciples
[00:01:37.880 --> 00:01:39.800]  In fear and in amazement
[00:01:39.800 --> 00:01:41.120]  Asked one another
[00:01:41.120 --> 00:01:42.200]  "Who is this?"
[00:01:42.200 --> 00:01:44.200]  He commands even the winds
[00:01:44.200 --> 00:01:45.360]  And the waters
[00:01:45.360 --> 00:01:46.880]  And they obey him
[00:01:46.880 --> 00:01:49.200]  我們今天會看四個S
[00:01:49.200 --> 00:01:50.360]  不是我們的任務
[00:01:50.360 --> 00:01:51.920]  那四個S是
[00:01:51.920 --> 00:01:53.240]  今天的sermon
[00:01:53.240 --> 00:01:54.040]  那四個S是
[00:01:54.040 --> 00:01:55.520]  The storm
[00:01:55.520 --> 00:01:57.080]  The scream
[00:01:57.080 --> 00:01:58.640]  The scrutiny
[00:01:58.640 --> 00:02:00.120]  And the solution
[00:02:00.120 --> 00:02:00.680]  OK
[00:02:00.680 --> 00:02:02.120]  四個S
[00:02:02.120 --> 00:02:03.880]  首先我們看
[00:02:03.880 --> 00:02:05.160]  The storm
[00:02:05.160 --> 00:02:06.960]  The storm
[00:02:06.960 --> 00:02:10.760]  誰叫他們去湖裡的?
[00:02:10.760 --> 00:02:13.080]  Who told them to go into the lake?
[00:02:13.080 --> 00:02:15.000]  誰叫他們進去湖裡的?
[00:02:15.000 --> 00:02:15.720]  記不記得?
[00:02:15.720 --> 00:02:17.560]  是耶穌,是不是?
[00:02:17.560 --> 00:02:18.400]  耶穌說什麼?
[00:02:18.400 --> 00:02:21.520]  Let's go to the other side of the lake
[00:02:21.520 --> 00:02:23.200]  那些門徒怎麼樣?
[00:02:23.200 --> 00:02:24.160]  他就說
[00:02:24.160 --> 00:02:26.280]  不知道,我們先看看預測
[00:02:26.280 --> 00:02:27.440]  怎麼樣,是不是?
[00:02:27.440 --> 00:02:30.280]  我們看看會不會下雪
[00:02:30.280 --> 00:02:31.880]  下雨
[00:02:31.880 --> 00:02:32.920]  打風
