
[00:00:00.000 --> 00:00:01.720]  各位丁字妹平安
[00:00:01.720 --> 00:00:06.840]  很高興再次有機會和大家一起研讀上帝的話語
[00:00:06.840 --> 00:00:08.320]  我們一同學習
[00:00:08.320 --> 00:00:11.040]  今天是門訓的主日
[00:00:11.040 --> 00:00:14.000]  我們繼續會看啟示錄的經文
[00:00:14.000 --> 00:00:17.160]  我們今天是看第五章的經文
[00:00:17.160 --> 00:00:20.120]  雖然好像是三章的內容
[00:00:20.120 --> 00:00:23.480]  但是經文的脈絡和鋪排上
[00:00:23.480 --> 00:00:28.160]  是要連著我們之前讀到第四章的段落一起去看
[00:00:28.160 --> 00:00:31.920]  當年第五章引入了很多新的元素
[00:00:31.920 --> 00:00:36.360]  我們稍後就會理解到和第四章是一脈相承
[00:00:36.360 --> 00:00:39.040]  我們需要兩章一起去解讀
[00:00:39.040 --> 00:00:42.920]  四至五章是一個天上的意象
[00:00:42.920 --> 00:00:44.720]  即是在天上面
[00:00:44.720 --> 00:00:49.440]  我看在天上面的感覺可能聯想到一個詞語
[00:00:49.440 --> 00:00:51.120]  就是「離地」
[00:00:51.120 --> 00:00:53.240]  我們很怕被人說「離地」
[00:00:53.240 --> 00:00:56.680]  即是很怕被人說我們不認識人間疾苦
[00:00:57.640 --> 00:01:00.840]  沒錯,信仰是要和生活的應用連結
[00:01:00.840 --> 00:01:04.160]  信仰是應該影響我們的生活
[00:01:04.160 --> 00:01:08.240]  但是啟示錄是一到三章夠貼地
[00:01:08.240 --> 00:01:11.560]  對七間教會說了很多指引
[00:01:11.560 --> 00:01:14.440]  甚至是吩咐、甚至是警告
[00:01:14.440 --> 00:01:18.880]  但是啟示錄之後並不是立即去說大災難
[00:01:18.880 --> 00:01:20.520]  即是可能我們很期待
[00:01:20.520 --> 00:01:24.280]  不知道是否在座有些人很期待去看的段落
[00:01:24.280 --> 00:01:29.360]  但是啟示錄在第四到五章偏偏不是這樣說
[00:01:29.360 --> 00:01:31.680]  它沒有立即去討論那些災難
[00:01:31.680 --> 00:01:34.920]  或者我們可能也會有些緊張
[00:01:34.920 --> 00:01:38.080]  或者讀者會想知道的未來
[00:01:38.080 --> 00:01:41.280]  反而說了一個在天上面的景象
[00:01:41.280 --> 00:01:45.360]  為甚麼要這樣寫呢?
[00:01:45.360 --> 00:01:49.440]  為甚麼要說兩段真的有些「離地」的內容呢?
[00:01:49.440 --> 00:01:52.200]  因為物理上真的是「離地」
[00:01:52.200 --> 00:01:53.440]  你真的在天上面看到的
[00:01:53.440 --> 00:01:55.760]  不是地上面所看到的事物
[00:01:55.760 --> 00:01:58.040]  當然我們稍後會看到
[00:01:58.040 --> 00:02:01.160]  其實有很多跟舊約的傳統是對應的
[00:02:01.160 --> 00:02:04.680]  當然一個明顯的原因就是約翰
[00:02:04.680 --> 00:02:06.960]  很明顯要強調一件事就是
[00:02:06.960 --> 00:02:12.000]  他所繼承的是一個上帝一直給先知的傳統
[00:02:12.000 --> 00:02:15.000]  所以之後的災難或者各樣的爭戰
[00:02:15.000 --> 00:02:17.200]  並不是出於個人的意思
[00:02:17.200 --> 00:02:19.840]  不是個人的喜惡憎恨
[00:02:19.840 --> 00:02:23.040]  而是神去預定發生的計劃
[00:02:23.040 --> 00:02:26.360]  但是對我們作為讀者而言
[00:02:26.360 --> 00:02:29.920]  其實這樣的擺位、這樣的鋪排
[00:02:29.920 --> 00:02:31.960]  也是提醒一件事
[00:02:31.960 --> 00:02:33.960]  就是我們的焦點
[00:02:33.960 --> 00:02:36.840]  我們看整個啟示錄的焦點
[00:02:36.840 --> 00:02:40.640]  嚴格來說並不是後面的災難
[00:02:40.640 --> 00:02:47.240]  嚴格來說應該是上帝已經和即將要完成的事情
[00:02:47.960 --> 00:02:51.840]  所以這兩張異像成為了之後啟示錄
[00:02:51.840 --> 00:02:56.160]  十多張內容的一個很重要的前設和鋪排
[00:02:56.160 --> 00:03:01.160]  當然信仰有離地也有貼地的元素
[00:03:01.160 --> 00:03:03.760]  如果重返經文的脈絡
[00:03:03.760 --> 00:03:07.720]  第五章一開始直到五章一至六節
[00:03:07.720 --> 00:03:10.800]  其實都是一個類似離地的視野
[00:03:10.800 --> 00:03:14.280]  仍然環繞在寶座上的神
[00:03:14.280 --> 00:03:16.920]  但是這個視野
[00:03:16.920 --> 00:03:20.960]  我們稍後會開始說這個視野到底帶來甚麼影響
[00:03:20.960 --> 00:03:24.840]  第五章其實介紹了一個新的元素
[00:03:24.840 --> 00:03:27.840]  我們要留意在四至五章裏面
[00:03:27.840 --> 00:03:30.760]  對於坐在寶座上的那一位
[00:03:30.760 --> 00:03:32.920]  是沒有甚麼仔細的描述
[00:03:32.920 --> 00:03:34.600]  就是稍後有一位主角
[00:03:34.600 --> 00:03:36.000]  可能你也猜到是誰
[00:03:36.000 --> 00:03:37.760]  但我仍然先不說
[00:03:37.760 --> 00:03:40.440]  那個主角是有很詳細的描述
[00:03:40.440 --> 00:03:43.000]  但是坐在寶座上的那位
[00:03:43.000 --> 00:03:46.000]  在這兩章都是沒有很明顯的描述
[00:03:46.600 --> 00:03:49.320]  但經文在這裏提供一個細節
[00:03:49.320 --> 00:03:50.200]  那個細節是甚麼呢?
[00:03:50.200 --> 00:03:52.520]  就是啟示錄五章一節
[00:03:52.520 --> 00:03:58.200]  它說到我看見坐在寶座上的那一位的右手中
[00:03:58.200 --> 00:04:00.080]  有一冊書卷
[00:04:00.080 --> 00:04:02.800]  即是有一本書的內容
[00:04:02.800 --> 00:04:04.360]  裏外都寫了字
[00:04:04.360 --> 00:04:06.920]  用七個印封住
[00:04:06.920 --> 00:04:10.200]  我相信我們不少目者都有提到
[00:04:10.200 --> 00:04:12.160]  啟示錄的數字
[00:04:12.160 --> 00:04:13.960]  都有一些象徵的意義
[00:04:13.960 --> 00:04:17.200]  即是有一些在神學上象徵的意義
[00:04:17.200 --> 00:04:18.640]  這裏的七
[00:04:18.640 --> 00:04:21.160]  或者我們見到很多關於七的字眼
[00:04:21.160 --> 00:04:23.600]  通常都是象徵著完全的意思
[00:04:23.600 --> 00:04:25.840]  除非明顯提到是數字
[00:04:25.840 --> 00:04:28.320]  否則都是象徵完全的意思
[00:04:28.320 --> 00:04:32.080]  換言之整本書是很完整的密封
[00:04:32.080 --> 00:04:33.600]  你想像好像放了
[00:04:33.600 --> 00:04:36.160]  好像今天的想法就是放了一個夾萬
[00:04:36.160 --> 00:04:37.360]  即是一個很硬的夾萬
[00:04:37.360 --> 00:04:39.040]  你是不能直接打開
[00:04:39.040 --> 00:04:40.640]  即是你不知道密碼的話
[00:04:41.400 --> 00:04:44.720]  但這本書卷的內容是甚麼呢?
[00:04:44.720 --> 00:04:47.400]  為何會有書卷這回事呢?
[00:04:47.400 --> 00:04:49.200]  在舊約裏面
[00:04:49.200 --> 00:04:54.200]  當先知書提到關於神的計劃和旨意的時候
[00:04:54.200 --> 00:04:57.200]  往往會用書卷作為其中一個象徵
[00:04:57.200 --> 00:05:00.720]  所以神的旨意就記載在書卷裏面
[00:05:00.720 --> 00:05:05.040]  其實有不少的先知都有提到這個類似的內容
[00:05:05.040 --> 00:05:07.200]  例如先知以西傑
[00:05:07.200 --> 00:05:09.960]  或者先知耶利米
[00:05:09.960 --> 00:05:15.440]  他們通常說書卷是代表神的審判和要成就的事情
[00:05:15.440 --> 00:05:19.760]  如何去支持這個觀察或者理解呢?
[00:05:19.760 --> 00:05:23.320]  這裡提到「裡外都寫了字」
[00:05:23.320 --> 00:05:25.720]  其實如果我們對比一下經文的話
[00:05:25.720 --> 00:05:28.240]  在以西傑書2章9到10節
[00:05:28.240 --> 00:05:32.800]  當以西傑接受神的呼召
[00:05:32.800 --> 00:05:35.080]  他要知道神的說話的時候
[00:05:35.080 --> 00:05:36.640]  經文就提到
[00:05:36.640 --> 00:05:41.360]  以西傑看到一本書是「裡外都寫了字」
[00:05:41.360 --> 00:05:43.920]  你看到是同樣的字眼
[00:05:43.920 --> 00:05:45.280]  甚麼意思呢?
[00:05:45.280 --> 00:05:48.400]  大概他想說的內容很多
[00:05:48.400 --> 00:05:51.040]  很詳細或者很具體
[00:05:51.040 --> 00:05:53.280]  以致要寫滿兩面
[00:05:53.280 --> 00:05:56.520]  當時寫作的物料很珍貴
[00:05:56.520 --> 00:05:59.720]  所以要儘量用盡那些物料
[00:05:59.720 --> 00:06:02.360]  當然除了這個之外
[00:06:02.360 --> 00:06:05.360]  其實但以理書也有少許的連結
[00:06:05.360 --> 00:06:07.160]  所以約翰這個異象
[00:06:07.160 --> 00:06:09.440]  其實是包含整個舊約裡面
[00:06:09.440 --> 00:06:13.840]  先知對於上帝旨意的一個傳統
[00:06:13.840 --> 00:06:17.520]  在但以理書裡面其實沒有提到書卷
[00:06:17.520 --> 00:06:22.200]  但也提到上帝的旨意要隱藏、要封閉
[00:06:22.200 --> 00:06:23.640]  要直到末時
[00:06:23.640 --> 00:06:25.640]  在但以理書叫末時
[00:06:25.640 --> 00:06:28.160]  又或者是一個合適的時間
[00:06:28.160 --> 00:06:31.640]  為甚麼說一堆先知書呢?
[00:06:31.640 --> 00:06:33.840]  因為在這些先知書裡面
[00:06:33.840 --> 00:06:37.360]  上帝的子民同樣面對很多患難
[00:06:37.360 --> 00:06:39.320]  他們也在問一個問題
[00:06:39.320 --> 00:06:42.800]  上帝的旨意何時可以打開呢?
[00:06:42.800 --> 00:06:44.440]  如果說到這裡
