
[00:00:00.000 --> 00:00:03.600]  好 接著下來是正道的時候
[00:00:03.600 --> 00:00:05.100]  雖然程序表印了有施班
[00:00:05.100 --> 00:00:07.100]  但是今天應該沒有施班的
[00:00:07.100 --> 00:00:09.500]  今天為我們正道的是林靜迅牧師
[00:00:09.500 --> 00:00:11.100]  他要為我們宣講的題目是
[00:00:11.100 --> 00:00:14.300]  以鄉人如何跟隨主的腳踪行
[00:00:14.300 --> 00:00:16.300]  我們有請林牧師
[00:00:28.300 --> 00:00:30.300]  靜姊妹早安
[00:00:30.300 --> 00:00:35.300]  今天跟大家繼續講彼得前書
[00:00:35.300 --> 00:00:39.300]  接續上個星期李文耀博士跟我們分享到
[00:00:39.300 --> 00:00:45.300]  教會在地上的身份和我們的工作
[00:00:45.300 --> 00:00:47.300]  是帶著使命的
[00:00:47.300 --> 00:00:50.300]  如果我們今天仍然相信
[00:00:50.300 --> 00:00:53.300]  你的人生不只是個人
[00:00:53.300 --> 00:00:56.300]  是包括神所揀選的教會
[00:00:56.300 --> 00:00:58.300]  我們在地上的群體
[00:00:58.300 --> 00:01:02.300]  應該是如何彰顯上帝的心意
[00:01:02.300 --> 00:01:05.300]  我用一個題目
[00:01:05.300 --> 00:01:09.300]  以鄉人如何跟隨主的腳踪行
[00:01:09.300 --> 00:01:11.300]  什麼是以鄉人呢?
[00:01:11.300 --> 00:01:15.300]  如果用簡單的查字典來定義
[00:01:15.300 --> 00:01:17.300]  不是本鄉的居民
[00:01:17.300 --> 00:01:20.300]  或者是住在他鄉的遊子
[00:01:20.300 --> 00:01:24.300]  包括今天有些人移民到海外
[00:01:24.300 --> 00:01:27.300]  有些是去海外讀書的留學生
[00:01:27.300 --> 00:01:32.300]  但他們原居地不是別的地方
[00:01:32.300 --> 00:01:35.300]  他們可以說他們有時思故鄉
[00:01:35.300 --> 00:01:38.300]  他們就會稱自己為「異鄉人」
[00:01:38.300 --> 00:01:40.300]  法國有個很著名的
[00:01:40.300 --> 00:01:44.300]  存在主義的小說家叫做卡謨
[00:01:44.300 --> 00:01:48.300]  他在1942年出版了這本書
[00:01:48.300 --> 00:01:50.300]  叫做《異鄉人》
[00:01:50.300 --> 00:01:53.300]  之後慢慢得到更多人的關注
[00:01:53.300 --> 00:01:57.300]  因為沙特
[00:01:57.300 --> 00:02:00.300]  是一個存在主義哲學家
[00:02:00.300 --> 00:02:04.300]  把這本小說寫成一篇文章
[00:02:04.300 --> 00:02:06.300]  叫做《分析異鄉人》
[00:02:06.300 --> 00:02:10.300]  所以吸引了很多人看這本小說
[00:02:10.300 --> 00:02:13.300]  後來更加是1957年
[00:02:13.300 --> 00:02:18.300]  獲得諾貝爾文學獎的作品
[00:02:18.300 --> 00:02:23.300]  他成為20世紀存在主義文學的經典
[00:02:23.300 --> 00:02:26.300]  為何這本小說這麼有名呢?
[00:02:26.300 --> 00:02:30.300]  有作者曾經分析認為
[00:02:30.300 --> 00:02:37.300]  《異鄉人》是寫得描述現代人的孤獨狀況
[00:02:37.300 --> 00:02:39.300]  以及他跟社會的疏離
[00:02:39.300 --> 00:02:42.300]  因為這本小說一開始的第一句
[00:02:42.300 --> 00:02:44.300]  是講述這個主角
[00:02:44.300 --> 00:02:46.300]  這個男主角
[00:02:46.300 --> 00:02:49.300]  他說「今日我媽媽死了」
[00:02:49.300 --> 00:02:52.300]  「也許是昨天,我都不能確定」
[00:02:52.300 --> 00:02:55.300]  是用一個很冷淡的漠視
