
[00:00:00.000 --> 00:00:05.120]  我們繼續說Luke的聖經
[00:00:05.120 --> 00:00:11.400]  我們聖誕的時候開始說主耶穌的父母
[00:00:11.400 --> 00:00:14.160]  記不記得主耶穌的父母是誰
[00:00:14.160 --> 00:00:15.440]  Joseph和Mary
[00:00:15.440 --> 00:00:16.960]  你記得那部戲嗎
[00:00:16.960 --> 00:00:19.160]  弟弟的戲
[00:00:19.160 --> 00:00:21.160]  那部戲
[00:00:21.160 --> 00:00:24.120]  然後我們看到耶穌的誕生
[00:00:24.120 --> 00:00:25.760]  耶穌出生
[00:00:25.760 --> 00:00:30.240]  然後Pastor Carmen跟我們說了耶穌的小時候
[00:00:30.240 --> 00:00:32.720]  他在聖殿裡長大
[00:00:32.720 --> 00:00:36.880]  然後我們上個星期說了John the Baptist
[00:00:36.880 --> 00:00:39.240]  John the Baptist約翰
[00:00:39.240 --> 00:00:42.840]  然後還有耶穌的聖餐禮
[00:00:42.840 --> 00:00:46.840]  在Luke的聖經我們看到聖靈的工作
[00:00:46.840 --> 00:00:49.720]  我們看到聖靈的工作
[00:00:49.720 --> 00:00:56.040]  Jesus is being led by the Holy Spirit to come to this world
[00:00:56.040 --> 00:00:58.440]  He was conceived through the Holy Spirit
[00:00:58.440 --> 00:01:02.840]  聖靈充滿瑪利亞去生主耶穌
[00:01:02.840 --> 00:01:08.440]  然後我們看到瑪利亞跟Elizabeth有一個很親密的關係
[00:01:08.440 --> 00:01:09.080]  為什麼
[00:01:09.080 --> 00:01:12.200]  因為聖靈gathered them together
[00:01:12.200 --> 00:01:14.200]  這兩個媽媽是怎樣
[00:01:14.200 --> 00:01:15.760]  一個是很老的
[00:01:15.760 --> 00:01:17.320]  一個是很小的
[00:01:17.800 --> 00:01:23.640]  他們兩個都受到聖靈的邀請
[00:01:23.640 --> 00:01:31.960]  聖靈繼續安排John準備他的生命
[00:01:31.960 --> 00:01:35.080]  然後我們看到聖餐禮
[00:01:35.080 --> 00:01:37.960]  聖餐禮的時候
[00:01:37.960 --> 00:01:39.640]  父親說
[00:01:39.640 --> 00:01:42.360]  這是我的兒子
[00:01:42.360 --> 00:01:44.600]  我對他很滿意
[00:01:44.600 --> 00:01:48.120]  然後聖靈降臨在耶穌身上
[00:01:48.120 --> 00:01:50.040]  就像一隻小鷹
[00:01:50.040 --> 00:01:51.480]  所以我們看到
[00:01:51.480 --> 00:01:55.640]  Luke的聖經是充滿聖靈的工作
[00:01:55.640 --> 00:01:59.160]  最後我們看到是評估
[00:01:59.160 --> 00:02:01.160]  那評估是什麼呢
[00:02:01.160 --> 00:02:10.680]  聖靈是帶領主耶穌去測試期間
[00:02:10.680 --> 00:02:14.680]  我們進大學的時候要有什麼評估
[00:02:14.680 --> 00:02:17.400]  我們進大學之前要有什麼評估
[00:02:17.400 --> 00:02:19.400]  I.B.
[00:02:19.400 --> 00:02:21.400]  誰做I.B.的
[00:02:21.400 --> 00:02:23.400]  I.B.評估
[00:02:23.400 --> 00:02:24.200]  三個
[00:02:24.200 --> 00:02:25.400]  DSE呢
[00:02:25.400 --> 00:02:27.400]  誰做DSE評估
[00:02:27.400 --> 00:02:29.400]  我們為你祈禱
[00:02:29.400 --> 00:02:32.920]  DSE是最難的評估
[00:02:32.920 --> 00:02:38.680]  有沒有人去外國要寫SAT
[00:02:38.680 --> 00:02:40.680]  SAT評估如何
[00:02:40.680 --> 00:02:42.680]  好不好
[00:02:42.680 --> 00:02:44.680]  要再做
[00:02:44.680 --> 00:02:48.680]  我們進大學的時候
[00:02:48.680 --> 00:02:50.680]  我們進大學的時候
[00:02:50.680 --> 00:02:52.680]  是要有評估的
[00:02:52.680 --> 00:02:54.680]  喜歡評估嗎
[00:02:54.680 --> 00:02:56.680]  是好玩嗎
[00:02:56.680 --> 00:02:58.680]  評估不好玩
[00:02:58.680 --> 00:03:00.680]  好不好玩
[00:03:00.680 --> 00:03:04.680]  誰想開車
[00:03:04.680 --> 00:03:06.680]  誰想開車
[00:03:06.680 --> 00:03:08.680]  你開車之前要做什麼
[00:03:08.680 --> 00:03:10.680]  要開飛機
[00:03:10.680 --> 00:03:12.680]  你想開飛機
[00:03:12.680 --> 00:03:14.680]  要有駕駛執照
[00:03:14.680 --> 00:03:18.680]  誰試過有駕駛執照
[00:03:18.680 --> 00:03:22.680]  誰第一次考到
[00:03:22.680 --> 00:03:24.680]  Winnie
[00:03:24.680 --> 00:03:26.680]  真的
[00:03:26.680 --> 00:03:28.680]  讓我知道你在開車
[00:03:28.680 --> 00:03:32.680]  我可以去別的地方
[00:03:32.680 --> 00:03:34.680]  開玩笑
[00:03:34.680 --> 00:03:38.680]  聽說香港的駕駛執照很容易嗎
[00:03:38.680 --> 00:03:40.680]  不容易
[00:03:40.680 --> 00:03:44.680]  駕駛執照老師很兇嗎
[00:03:44.680 --> 00:03:46.680]  怎樣開車
[00:03:46.680 --> 00:03:48.680]  是不是這樣罵你
[00:03:48.680 --> 00:03:50.680]  Nathan有沒有這樣罵你
[00:03:50.680 --> 00:03:52.680]  怎樣開車
[00:03:52.680 --> 00:03:54.680]  什麼東西
[00:03:54.680 --> 00:03:56.680]  是不是這樣罵你
[00:03:56.680 --> 00:03:58.680]  有沒有被罵過
[00:03:58.680 --> 00:04:00.680]  Uncle Maurice
[00:04:00.680 --> 00:04:02.680]  是不是被罵過
[00:04:02.680 --> 00:04:04.680]  真的被人罵了
[00:04:04.680 --> 00:04:06.680]  我們看聖經了
[00:04:06.680 --> 00:04:08.680]  聖經有什麼測試
[00:04:08.680 --> 00:04:16.680]  摩西帶埃及去以色列的時候
[00:04:16.680 --> 00:04:18.680]  他有什麼測驗
[00:04:18.680 --> 00:04:20.680]  他有什麼測驗
[00:04:30.680 --> 00:04:32.680]  摩西有什麼測驗
[00:04:32.680 --> 00:04:38.680]  他40年在哪
[00:04:38.680 --> 00:04:42.680]  他第一40年在哪
[00:04:42.680 --> 00:04:48.680]  他在哪出生
[00:04:48.680 --> 00:04:50.680]  他第一40年在埃及
[00:04:50.680 --> 00:04:52.680]  然後他怎樣
[00:04:52.680 --> 00:04:56.680]  他殺了一個埃及人
[00:04:56.680 --> 00:04:58.680]  然後他去了哪
[00:04:58.680 --> 00:05:00.680]  去了哪
[00:05:00.680 --> 00:05:02.680]  40年在哪
[00:05:02.680 --> 00:05:04.680]  在森林
[00:05:04.680 --> 00:05:06.680]  你不是教會出生的嗎
[00:05:06.680 --> 00:05:08.680]  你這麼多故事
[00:05:08.680 --> 00:05:10.680]  哎
[00:05:10.680 --> 00:05:12.680]  OK
[00:05:12.680 --> 00:05:14.680]  40年在森林
[00:05:14.680 --> 00:05:16.680]  這是測驗的時間
[00:05:16.680 --> 00:05:20.680]  然後神就在什麼出現
[00:05:20.680 --> 00:05:22.680]  一個燃燒的樹木出現
[00:05:22.680 --> 00:05:24.680]  40年測驗
[00:05:24.680 --> 00:05:26.680]  你們幾歲
[00:05:26.680 --> 00:05:28.680]  你們幾歲
[00:05:28.680 --> 00:05:30.680]  十幾
[00:05:30.680 --> 00:05:32.680]  差不多20歲
[00:05:32.680 --> 00:05:34.680]  想像一下
[00:05:34.680 --> 00:05:36.680]  在沙灘
[00:05:36.680 --> 00:05:38.680]  不是沙灘
[00:05:38.680 --> 00:05:40.680]  在沙漠
[00:05:40.680 --> 00:05:42.680]  不是海灘
[00:05:42.680 --> 00:05:44.680]  是森林
[00:05:44.680 --> 00:05:46.680]  在森林
[00:05:46.680 --> 00:05:48.680]  晚上冷 日間熱
[00:05:48.680 --> 00:05:50.680]  有沒有工作
[00:05:50.680 --> 00:05:52.680]  沙漠有沒有工作
[00:05:52.680 --> 00:05:54.680]  走著走著都是這樣的景色
[00:05:54.680 --> 00:05:56.680]  OK
[00:05:56.680 --> 00:05:58.680]  還有David
[00:05:58.680 --> 00:06:00.680]  在David面對Goliath
[00:06:00.680 --> 00:06:02.680]  他有什麼測驗
[00:06:02.680 --> 00:06:04.680]  Andrew
[00:06:04.680 --> 00:06:06.680]  有什麼測驗
[00:06:06.680 --> 00:06:12.680]  Yes
[00:06:12.680 --> 00:06:14.680]  在Goliath面對Goliath
[00:06:14.680 --> 00:06:16.680]  他有什麼測驗
[00:06:16.680 --> 00:06:18.680]  有人知道嗎
[00:06:18.680 --> 00:06:20.680]  Martin知道嗎
[00:06:20.680 --> 00:06:22.680]  不知道
[00:06:22.680 --> 00:06:24.680]  有沒有人知道
[00:06:24.680 --> 00:06:26.680]  Yes
[00:06:26.680 --> 00:06:32.680]  什麼報復
[00:06:32.680 --> 00:06:34.680]  對誰
[00:06:34.680 --> 00:06:38.680]  OK
[00:06:38.680 --> 00:06:40.680]  Yes
[00:06:40.680 --> 00:06:42.680]  獅子和熊
