
[00:00:00.000 --> 00:00:04.000]  美女姐妹平安
[00:00:04.000 --> 00:00:08.000]  未過新十五都和大家拜個年
[00:00:08.000 --> 00:00:12.000]  祝大家主因滿滿 靈命日長
[00:00:12.000 --> 00:00:17.000]  今天我們來到《鐵撒羅尼加前書》第三講
[00:00:17.000 --> 00:00:20.000]  我們今天會看這個題目
[00:00:20.000 --> 00:00:23.000]  叫做「堅韌信仰牧者心」
[00:00:23.000 --> 00:00:25.000]  我很喜歡中國字
[00:00:25.000 --> 00:00:29.000]  中國字有很多意思已經在表達出來
[00:00:29.000 --> 00:00:34.000]  那個「韌」字是把刀斬不斷的意思
[00:00:34.000 --> 00:00:39.000]  你看刀字斬崩都斬不斷
[00:00:39.000 --> 00:00:43.000]  即是要我們在遇到什麼情況下
[00:00:43.000 --> 00:00:46.000]  我們的信仰都不會斷
[00:00:46.000 --> 00:00:50.000]  另外再講另一個主題就是「牧者心」
[00:00:50.000 --> 00:00:52.000]  我們先來有一個祈禱
[00:00:52.000 --> 00:00:54.000]  然後我們進入今天的經文
[00:00:54.000 --> 00:01:00.000]  七天富上帝 多謝祢讓我們今天來到祢的殿中
[00:01:00.000 --> 00:01:02.000]  有敬拜 有學習
[00:01:02.000 --> 00:01:07.000]  求主祢開我們的眼睛 開我們的耳朵 開我們的心
[00:01:07.000 --> 00:01:11.000]  讓我們每一個人都親自聽到祢的教導
[00:01:11.000 --> 00:01:14.000]  讓我們在當中學到祢要我們學的東西
[00:01:14.000 --> 00:01:18.000]  我們痛心禱告 奉主明求 阿門
[00:01:18.000 --> 00:01:25.000]  今天講到「貼撒羅尼加前書二章十七到三章十三節」
[00:01:25.000 --> 00:01:33.000]  這段經文是講到保羅對貼撒羅尼加教會那一份關懷之情
[00:01:33.000 --> 00:01:38.000]  和對他們信仰堅定的渴望
[00:01:38.000 --> 00:01:42.000]  其實在過去的時候都有講過
[00:01:42.000 --> 00:01:44.000]  不過我再提一提
[00:01:44.000 --> 00:01:48.000]  貼撒羅尼加教會是剛剛我們看到
[00:01:48.000 --> 00:01:52.000]  是在保羅剛剛設立教會的時候
[00:01:52.000 --> 00:01:56.000]  這間教會應該是第二、第三年左右
[00:01:56.000 --> 00:01:58.000]  一間很年輕的教會
[00:01:58.000 --> 00:02:02.000]  所以保羅很擔心這班信徒
[00:02:02.000 --> 00:02:04.000]  為什麼要擔心他們呢?
[00:02:04.000 --> 00:02:11.000]  因為他們之前所信的信仰和他們現在是非常不一樣
[00:02:11.000 --> 00:02:15.000]  所以他們不單要放棄了舊日的信仰
[00:02:15.000 --> 00:02:19.000]  他們甚至要放棄舊日的生活方式
[00:02:19.000 --> 00:02:22.000]  朋友和生活圈子
[00:02:22.000 --> 00:02:26.000]  當然在當中有很多壓力
[00:02:26.000 --> 00:02:29.000]  來自於譴責、排斥
[00:02:29.000 --> 00:02:33.000]  甚至他們會成為被攻擊的對象
[00:02:33.000 --> 00:02:37.000]  所以保羅非常掛心他們
[00:02:37.000 --> 00:02:41.000]  他們對信仰的一份情是否會動搖呢?
[00:02:41.000 --> 00:02:46.000]  甚至他們對他們的信仰能否堅守下去呢?
[00:02:46.000 --> 00:02:50.000]  這是保羅對他們的一些擔憂
[00:02:50.000 --> 00:02:55.000]  於是整段經文就會看到保羅的關懷
[00:02:55.000 --> 00:03:01.000]  講述了他們所遇的患難、信心和愛心
[00:03:01.000 --> 00:03:06.000]  接下來我們會看看這段經文帶給我們有什麼學習
[00:03:06.000 --> 00:03:09.000]  以及裡面會說些什麼
[00:03:09.000 --> 00:03:15.000]  首先我們會看到在二章17到20節說到
[00:03:15.000 --> 00:03:18.000]  「分離不減目者的心」
[00:03:18.000 --> 00:03:21.000]  我們一起讀一下17到20節
[00:03:21.000 --> 00:03:29.000]  「弟兄們,我們被暫時分離,身體離開,心卻沒有
[00:03:29.000 --> 00:03:34.000]  我們極力想發展,看望見你們的面
[00:03:34.000 --> 00:03:38.000]  所以我們很想到你們那裡去
[00:03:38.000 --> 00:03:44.000]  我保羅有一兩次要去,只是撒旦阻擋了我們
[00:03:44.000 --> 00:03:51.000]  當我們的主耶穌再來,我們站在他面前的時候
[00:03:51.000 --> 00:03:57.000]  我們的盼望、喜樂和所誇的冠冕是什麼呢?
[00:03:57.000 --> 00:04:03.000]  不正是你們嗎?你們就是我們的榮耀和喜樂
[00:04:03.000 --> 00:04:06.000]  在這裡一開始的時候
[00:04:06.000 --> 00:04:13.000]  保羅說到他被迫暫時和這群信徒分離
[00:04:13.000 --> 00:04:19.000]  他說他身體離開,但是心卻沒有分開
[00:04:19.000 --> 00:04:22.000]  還很想見到他們
[00:04:22.000 --> 00:04:28.000]  「分離」在我們普通的字面解就是暫時離別的意思
[00:04:28.000 --> 00:04:32.000]  但是在《女陣宗》的聖經譯本裡
[00:04:32.000 --> 00:04:34.000]  這節的經文告訴我們
[00:04:34.000 --> 00:04:40.000]  「我們既如失父母的孤兒,和你們暫時的分離」
[00:04:40.000 --> 00:04:45.000]  保羅渴望和這群貼羅尼加信徒的重逢
[00:04:45.000 --> 00:04:50.000]  就好像父母想見自己孩子的面的心情
[00:04:50.000 --> 00:04:55.000]  還記不記得上一次提到貼羅尼加前書的時候
[00:04:55.000 --> 00:04:57.000]  林牧師有說過
[00:04:57.000 --> 00:05:02.000]  作為牧者我們應該要有為父為母的心腸
[00:05:02.000 --> 00:05:09.000]  保羅就是以這份為父為母的心腸去掛著這群信徒
[00:05:09.000 --> 00:05:12.000]  很希望見到他們
[00:05:12.000 --> 00:05:16.000]  我猜在座的,如果是做父母的
[00:05:16.000 --> 00:05:21.000]  如果你有小朋友在外地學習或者生活的時候
[00:05:21.000 --> 00:05:26.000]  我猜你們也像保羅一樣很想見到他們
[00:05:26.000 --> 00:05:31.000]  所以這份心情我猜很多人也很明白
