
[00:00:00.000 --> 00:00:09.200]  好 這是我們的系列的講座的第二講哈
[00:00:09.200 --> 00:00:11.600]  5月4號我講了那個論自由
[00:00:11.600 --> 00:00:14.560]  讓主所賜的自由釋放你
[00:00:14.560 --> 00:00:19.000]  那麼今天會講這個讓主生命的自由來激勵你
[00:00:19.000 --> 00:00:23.680]  6月1號會講讓主所賜的自由來祝福你
[00:00:23.680 --> 00:00:25.960]  那麼上一次那一堂呢
[00:00:25.960 --> 00:00:26.720]  我們講呢
[00:00:26.720 --> 00:00:29.600]  就是給一點大家講道的回顧啊
[00:00:29.600 --> 00:00:32.920]  那麼讓主所賜的自由來釋放你
[00:00:32.920 --> 00:00:36.040]  那時候我們講到自由重要嗎
[00:00:36.040 --> 00:00:39.800]  我們就大家都看到是自由是非常的重要
[00:00:39.800 --> 00:00:44.320]  因為上帝造人人之所以為人的其中一個本質呢
[00:00:44.320 --> 00:00:48.160]  是上帝賦予我們有自由的自由
[00:00:48.160 --> 00:00:48.960]  不同的程度
[00:00:48.960 --> 00:00:51.480]  我們在不同環境可能會被限制
[00:00:51.480 --> 00:00:53.640]  但是有一個自由不被限制啊
[00:00:53.640 --> 00:00:55.240]  就是我們那個思想的自由
[00:00:55.240 --> 00:00:56.600]  有行動的自由
[00:00:56.600 --> 00:00:57.800]  言語的自由
[00:00:57.800 --> 00:00:59.720]  有這個思想的自由哈
[00:00:59.720 --> 00:01:01.640]  那麼自由從何來
[00:01:01.640 --> 00:01:04.600]  就是上帝造了賜給我們的
[00:01:04.600 --> 00:01:06.640]  然後雖然有界限
[00:01:06.640 --> 00:01:09.760]  但是那界限並沒有拿走自由的能力啊
[00:01:09.760 --> 00:01:11.000]  神設了線
[00:01:11.000 --> 00:01:13.520]  但是你還能夠越過去得罪他
[00:01:13.520 --> 00:01:15.960]  當然但是那個能力還在啊
[00:01:15.960 --> 00:01:16.440]  所以呢
[00:01:16.440 --> 00:01:18.440]  人的自由上帝沒有拿走
[00:01:18.440 --> 00:01:19.800]  所以自由非常重要了
[00:01:19.800 --> 00:01:20.520]  我們有自由
[00:01:20.520 --> 00:01:22.000]  我們就有責任了啊
[00:01:22.000 --> 00:01:23.800]  那麼自由的定義是什麼呢
[00:01:23.800 --> 00:01:26.240]  我們說到了在教會常講的
[00:01:26.240 --> 00:01:28.040]  跟外面的理解不大一樣啊
[00:01:28.040 --> 00:01:30.760]  外面常說想做什麼就做什麼
[00:01:30.760 --> 00:01:31.640]  那是自由
[00:01:31.640 --> 00:01:34.320]  但教會裡面我們常聽到的是什麼呢
[00:01:34.320 --> 00:01:35.400]  想不做什麼
[00:01:35.400 --> 00:01:37.560]  我就有能力不做什麼啊
[00:01:37.560 --> 00:01:39.760]  所以比如說上癮的東西
[00:01:39.760 --> 00:01:41.640]  基督徒如果有真的自由呢
[00:01:41.640 --> 00:01:44.200]  想不做什麼就能不做什麼
[00:01:44.200 --> 00:01:46.440]  那個才是自由哈
[00:01:46.440 --> 00:01:48.280]  那麼我們什麼時候失去自由呢
[00:01:48.280 --> 00:01:50.840]  當罪進入我們生命的時候
[00:01:50.840 --> 00:01:54.000]  當死亡捆綁了我們命運的時候
[00:01:54.000 --> 00:01:58.440]  死亡令到我們一生的奴隸可以一筆勾銷啊
[00:01:58.440 --> 00:02:00.840]  所以那個就是讓我們覺得很困惑
[00:02:00.840 --> 00:02:04.040]  一直不能夠如離開死亡的毒咒
[00:02:04.040 --> 00:02:07.120]  死亡的毒溝深深的勾住了每個人的命運
[00:02:07.120 --> 00:02:09.480]  讓我們所勞苦的所付出的
[00:02:09.480 --> 00:02:10.760]  其實一想到死亡
[00:02:10.760 --> 00:02:12.440]  其實是很空虛的
[00:02:12.440 --> 00:02:14.120]  所羅門王都這樣想了
[00:02:14.120 --> 00:02:15.000]  我擁有一切
[00:02:15.000 --> 00:02:16.960]  但是我一我看透了人生
[00:02:16.960 --> 00:02:18.040]  一來到一個終點
[00:02:18.040 --> 00:02:19.840]  其實怎麼努力都好
[00:02:19.840 --> 00:02:21.080]  一筆勾銷
[00:02:21.080 --> 00:02:24.320]  這就是人類面對的一個困境啊
[00:02:24.320 --> 00:02:27.160]  即使我們多麼不想去面對這個事實都好
[00:02:27.160 --> 00:02:29.280]  我們想逃避這個真理都好
[00:02:29.280 --> 00:02:31.000]  我們知道這是真的
[00:02:31.000 --> 00:02:33.760]  有一天這個事情發生的時候啊
[00:02:33.760 --> 00:02:34.400]  都沒有用的
[00:02:34.400 --> 00:02:35.440]  所以啊
[00:02:35.440 --> 00:02:38.520]  所羅門王就說了智慧人跟愚昧人
[00:02:38.520 --> 00:02:41.520]  他說從這個角度來看都是一樣的
[00:02:41.520 --> 00:02:42.880]  都是一樣的哈
[00:02:42.880 --> 00:02:43.960]  那麼所以呢
[00:02:43.960 --> 00:02:45.360]  我們就看到耶穌呢
[00:02:45.360 --> 00:02:47.960]  他真的是為世人帶來自由
[00:02:47.960 --> 00:02:50.880]  他的死和犧牲去到了陰間
[00:02:50.880 --> 00:02:53.120]  把陰間的鑰匙拿出來
[00:02:53.120 --> 00:02:54.520]  讓所有信他的人呢
