
[00:00:00.000 --> 00:00:02.000]  我們在世界裡面
[00:00:02.000 --> 00:00:05.000]  面對各樣的征戰和挑戰
[00:00:05.000 --> 00:00:08.000]  在不同的戰役當中
[00:00:08.000 --> 00:00:12.000]  約書亞學到了他重要的生命功課
[00:00:12.000 --> 00:00:15.000]  神也透過這些重要的啟示
[00:00:15.000 --> 00:00:17.000]  讓我們在世界上
[00:00:17.000 --> 00:00:20.000]  面對各樣的挑戰和挑戰
[00:00:20.000 --> 00:00:22.000]  我們在世界上
[00:00:22.000 --> 00:00:25.000]  面對各樣的挑戰和挑戰
[00:00:25.000 --> 00:00:27.000]  我們在世界上
[00:00:27.000 --> 00:00:30.000]  神也透過這些重要的啟示
[00:00:30.000 --> 00:00:36.000]  要對你和我進行重要的生命提醒
[00:00:36.000 --> 00:00:38.000]  那麼之前呢
[00:00:38.000 --> 00:00:42.000]  約書亞也和大家在講道當中分享過
[00:00:42.000 --> 00:00:47.000]  他們經歷了耶利哥城和艾城的勝利
[00:00:47.000 --> 00:00:49.000]  打耶利哥城的時候
[00:00:49.000 --> 00:00:52.000]  用了一種非常奇妙的方法
[00:00:52.000 --> 00:00:55.000]  甚至不是戰爭的作為啊
[00:00:55.000 --> 00:00:57.000]  用七天的時間
[00:00:57.000 --> 00:00:59.000]  按照神的吩咐
[00:00:59.000 --> 00:01:02.000]  繞城而行
[00:01:02.000 --> 00:01:06.000]  城牆就自然就跌落了下來
[00:01:06.000 --> 00:01:08.000]  不戰而勝
[00:01:08.000 --> 00:01:11.000]  約書亞在這個功課當中
[00:01:11.000 --> 00:01:14.000]  領受到了上帝的大能力
[00:01:14.000 --> 00:01:16.000]  接下來呢
[00:01:16.000 --> 00:01:18.000]  他們要攻打艾城
[00:01:18.000 --> 00:01:23.000]  面對這樣一個比耶利哥城小很多的城池
[00:01:23.000 --> 00:01:26.000]  約書亞經歷了一次失敗
[00:01:26.000 --> 00:01:29.000]  但在失敗的背後
[00:01:29.000 --> 00:01:34.000]  他認識到群體聖潔的重要性
[00:01:34.000 --> 00:01:36.000]  依舊取得了勝利
