
[00:00:00.000 --> 00:00:05.000]   - Good evening, everyone.
[00:00:05.000 --> 00:00:08.200]   Let's just wave.
[00:00:08.200 --> 00:00:10.640]   Yeah, it's great to be here.
[00:00:10.640 --> 00:00:12.800]   Tonight we'll be continuing our series
[00:00:12.800 --> 00:00:14.920]   on women in the Old Testament.
[00:00:14.920 --> 00:00:17.200]   So we've looked through a few stories already
[00:00:17.200 --> 00:00:19.240]   on Eve and Rebecca,
[00:00:19.240 --> 00:00:22.040]   and last week we looked at Leah and Rachel,
[00:00:22.040 --> 00:00:26.080]   and today we're gonna be looking at the life of Miriam.
[00:00:26.080 --> 00:00:29.280]   Now, not a lot of women have been noted in the Bible.
[00:00:29.280 --> 00:00:32.760]   Now, there are even fewer that has prominent roles,
[00:00:32.760 --> 00:00:37.760]   and yet Miriam was noted to be the very first prophetess
[00:00:37.760 --> 00:00:39.160]   in the Bible.
[00:00:39.160 --> 00:00:41.880]   So there's a lot of things that we can learn about her,
[00:00:41.880 --> 00:00:46.720]   and today we'll be learning about how or what is it
[00:00:46.720 --> 00:00:51.320]   that it means to be faithful to God,
[00:00:51.320 --> 00:00:54.760]   and we're gonna learn actually both through her strengths
[00:00:54.760 --> 00:00:56.880]   as well as her weaknesses.
[00:00:56.880 --> 00:01:00.240]   So what is, I mean, who is Miriam anyway?
[00:01:00.240 --> 00:01:05.240]   Well, she is better known as the sister of Moses and Aaron
[00:01:05.240 --> 00:01:11.720]   who led the Israelites out from Egypt into the Promised Land.
[00:01:11.720 --> 00:01:16.320]   So her name really means beloved
[00:01:16.320 --> 00:01:19.440]   if it's with the sound in Egypt,
[00:01:19.440 --> 00:01:21.520]   or the star of the sea,
[00:01:21.520 --> 00:01:25.120]   or sea of bitterness in the word Hebrew.
[00:01:25.120 --> 00:01:27.160]   And so we're gonna see a little bit
[00:01:27.160 --> 00:01:31.000]   of all of those characteristics playing out tonight.
[00:01:31.000 --> 00:01:34.720]   And she came from a family of a priest,
[00:01:34.720 --> 00:01:38.200]   so she came from quite a godly family,
[00:01:38.200 --> 00:01:40.440]   or that's the context of it.
[00:01:40.440 --> 00:01:43.320]   So now the first appearance of her in the Bible
[00:01:43.320 --> 00:01:47.760]   is actually in Exodus, verse two, one to 10.
[00:01:47.760 --> 00:01:51.480]   Now, at that time, she was actually the unnamed sister,
[00:01:51.480 --> 00:01:54.880]   so she's not given a name at that time,
[00:01:54.880 --> 00:01:58.240]   but with the process of elimination,
[00:01:58.240 --> 00:02:02.120]   Moses only had one sister, so we know that it's Miriam.
[00:02:02.120 --> 00:02:04.440]   And so at that time, what happened
[00:02:04.440 --> 00:02:07.200]   was that the Israelites were oppressed
[00:02:07.200 --> 00:02:10.480]   and they were living in the land of Egypt,
[00:02:10.480 --> 00:02:13.480]   and they were living actually as slaves.
[00:02:13.480 --> 00:02:17.320]   And so because their population grew so much
