
[00:00:00.000 --> 00:00:07.640]  主持人:今天我們很興奮
[00:00:07.640 --> 00:00:09.200]  我們回到神的家
[00:00:09.200 --> 00:00:10.520]  我相信在這兩個星期
[00:00:10.520 --> 00:00:11.760]  大家都已經看到
[00:00:11.760 --> 00:00:15.800]  我們禮堂已經有很多聖誕的佈置
[00:00:15.800 --> 00:00:17.560]  台上的聖誕花
[00:00:17.560 --> 00:00:19.080]  都再一次提醒我們
[00:00:19.080 --> 00:00:21.200]  紀念我們的救主耶穌
[00:00:21.200 --> 00:00:23.040]  祂的降生彌臨
[00:00:23.040 --> 00:00:24.400]  在昨天晚上
[00:00:24.400 --> 00:00:25.440]  我們的晚堂崇拜
[00:00:25.440 --> 00:00:27.200]  我們燃點了第二支
[00:00:27.200 --> 00:00:31.600]  在章林祈的信心蠟燭
[00:00:31.600 --> 00:00:34.680]  提醒我們需要用信心
[00:00:34.680 --> 00:00:37.800]  去仰望神的兒子耶穌基督
[00:00:37.800 --> 00:00:40.000]  其實祂是我們一生
[00:00:40.000 --> 00:00:42.360]  我們任何的人生階段
[00:00:42.360 --> 00:00:43.920]  任何的處境
[00:00:43.920 --> 00:00:46.160]  我們都需要用信心
[00:00:46.160 --> 00:00:49.000]  來依靠我們這位上主
[00:00:49.000 --> 00:00:50.920]  教會要持續不斷的
[00:00:50.920 --> 00:00:54.440]  在聖功上能夠有份一起去參與
[00:00:54.440 --> 00:00:56.440]  就好像肥立比教會
[00:00:56.440 --> 00:00:58.440]  由保羅說你們成立
[00:00:58.440 --> 00:00:59.840]  當天到如今
[00:00:59.840 --> 00:01:02.160]  他正在寫這封監獄書信
[00:01:02.160 --> 00:01:05.200]  前後有十二年這麼長的時間
[00:01:05.200 --> 00:01:07.800]  他們都是同心合意的
[00:01:07.800 --> 00:01:08.920]  去參與
[00:01:08.920 --> 00:01:10.840]  去將福音傳開
[00:01:10.840 --> 00:01:13.600]  若然要做得到這件事情的時候
[00:01:13.600 --> 00:01:15.320]  很重要的一件事
[00:01:15.320 --> 00:01:18.080]  就是我們要靠主站立得穩
[00:01:18.080 --> 00:01:21.800]  這亦是第四章一開始第一節所說的
[00:01:21.800 --> 00:01:23.880]  是要總結前文第三章
[00:01:23.880 --> 00:01:25.480]  我們上個星期有兩位傳道人
[00:01:25.480 --> 00:01:27.040]  已經跟我們分享過
[00:01:27.040 --> 00:01:29.000]  我們的生命是否有
[00:01:29.000 --> 00:01:31.240]  以基督耶穌為至寶呢
[00:01:31.240 --> 00:01:32.920]  當我們的人生以基督為
[00:01:32.920 --> 00:01:36.840]  我們的生命的焦點和方向的時候
