
[00:00:00.000 --> 00:00:04.600]  很感謝剛才指令師頒唱的詩歌
[00:00:04.600 --> 00:00:06.600]  最喜歡那句
[00:00:06.600 --> 00:00:09.600]  你是我一生的唯獨
[00:00:09.600 --> 00:00:13.600]  要將一生獻上
[00:00:13.600 --> 00:00:15.600]  將愛來傳送
[00:00:15.600 --> 00:00:18.600]  不知道這是否你的心聲
[00:00:18.600 --> 00:00:27.600]  很珍惜可以在港台宣講的機會
[00:00:27.600 --> 00:00:31.600]  近日因為右邊的腰椎退化
[00:00:31.600 --> 00:00:33.600]  和有少許腰椎移位
[00:00:33.600 --> 00:00:37.600]  影響行動和站立
[00:00:37.600 --> 00:00:39.600]  沒有以前那麼方便
[00:00:39.600 --> 00:00:41.600]  所以今天很感謝同工
[00:00:41.600 --> 00:00:44.600]  為我預備了一張高椅
[00:00:44.600 --> 00:00:47.600]  今天是長日
[00:00:47.600 --> 00:00:49.600]  所以我要留少許體力
[00:00:49.600 --> 00:00:51.600]  請大家為我祈禱
[00:00:51.600 --> 00:00:55.600]  我在十年前已經換了左邊的腰椎
[00:00:55.600 --> 00:00:59.600]  大家以為我是好人一個
[00:00:59.600 --> 00:01:04.600]  但其實我身體非常軟弱
[00:01:04.600 --> 00:01:08.600]  但上帝沒有嫌棄來使用
[00:01:08.600 --> 00:01:13.600]  今天我們會再看
[00:01:13.600 --> 00:01:17.600]  彼得前書五章一到七節的環節
[00:01:17.600 --> 00:01:22.600]  一篇可以說是熟絡
[00:01:22.600 --> 00:01:26.600]  知道聽過的經文
[00:01:26.600 --> 00:01:28.600]  但內裡的課題
[00:01:28.600 --> 00:01:30.600]  牧養和謙卑
[00:01:30.600 --> 00:01:32.600]  其實非常重要
[00:01:32.600 --> 00:01:34.600]  我們先做一個祈禱
[00:01:34.600 --> 00:01:36.600]  然後進入經文
[00:01:36.600 --> 00:01:40.600]  親愛的主耶穌
[00:01:40.600 --> 00:01:43.600]  我們一群屬祢的兒女
[00:01:43.600 --> 00:01:45.600]  我們在祢的面前
[00:01:45.600 --> 00:01:48.600]  我們獻上很大的感恩
[00:01:48.600 --> 00:01:51.600]  原來每一次可以和弟兄姊妹
[00:01:51.600 --> 00:01:53.600]  同心敬拜
[00:01:53.600 --> 00:01:55.600]  可以開聲歌頌
[00:01:55.600 --> 00:01:58.600]  可以有能力讀聖經
[00:01:58.600 --> 00:02:02.600]  理解並且用在生活當中
[00:02:02.600 --> 00:02:04.600]  都是祢給的恩典
