
[00:00:00.000 --> 00:00:05.840]   Good evening.
[00:00:05.840 --> 00:00:08.560]   Well thank you Pastor John for that lovely skit.
[00:00:08.560 --> 00:00:09.560]   Who enjoyed it?
[00:00:09.560 --> 00:00:10.560]   Raise your hands.
[00:00:10.560 --> 00:00:11.560]   Yeah?
[00:00:11.560 --> 00:00:12.560]   You enjoyed it?
[00:00:12.560 --> 00:00:13.560]   Yeah?
[00:00:13.560 --> 00:00:14.560]   Very good.
[00:00:14.560 --> 00:00:15.560]   All right, my hat just dropped.
[00:00:15.560 --> 00:00:16.560]   It's okay.
[00:00:16.560 --> 00:00:17.560]   All good.
[00:00:17.560 --> 00:00:21.960]   We are doing a character study.
[00:00:21.960 --> 00:00:24.480]   We're doing a character study.
[00:00:24.480 --> 00:00:29.880]   And last week we talked about this girl named Mary.
[00:00:29.880 --> 00:00:31.200]   There's something about Mary.
[00:00:31.200 --> 00:00:37.720]   And Pastor John reminded us last week that the story of Christmas is about somebody who
[00:00:37.720 --> 00:00:44.000]   became nobody so that somebodies can be somebodies.
[00:00:44.000 --> 00:00:55.240]   And Jesus came so that Mary could be a symbol, a symbol and a servant for the Lord.
[00:00:55.240 --> 00:00:59.000]   And Pastor John last week talked about the calling of Mary.
[00:00:59.000 --> 00:01:07.280]   This innocent girl, teenage girl in her innocence, yet God chose her and she stood in faith to
[00:01:07.280 --> 00:01:11.400]   receive this calling from the Lord.
[00:01:11.400 --> 00:01:14.680]   Today we are going to talk about Joseph.
[00:01:14.680 --> 00:01:17.920]   Joseph, the father of Jesus.
[00:01:17.920 --> 00:01:19.440]   And what do we know about Joseph?
[00:01:19.440 --> 00:01:20.880]   What was his occupation?
[00:01:20.880 --> 00:01:21.880]   What did he do?
[00:01:21.880 --> 00:01:25.280]   Was he the CEO of IBM?
[00:01:25.280 --> 00:01:26.280]   Google?
[00:01:26.280 --> 00:01:27.280]   No?
[00:01:27.280 --> 00:01:30.240]   Was he like a football coach?
[00:01:30.240 --> 00:01:31.240]   No.
[00:01:31.240 --> 00:01:34.000]   He was a carpenter.
[00:01:34.000 --> 00:01:35.480]   Who does carpentry here?
[00:01:35.480 --> 00:01:36.480]   Anybody do company?
[00:01:36.480 --> 00:01:37.840]   Oh, what do you make?
[00:01:37.840 --> 00:01:39.160]   Uncle Vincent.
[00:01:39.160 --> 00:01:40.160]   Anything?
[00:01:40.160 --> 00:01:41.160]   Wow.
[00:01:41.160 --> 00:01:46.040]   Can you make a house?
[00:01:46.040 --> 00:01:47.880]   Can you make a manger?
[00:01:47.880 --> 00:01:48.880]   Okay.
[00:01:48.880 --> 00:01:50.560]   All right.
[00:01:50.560 --> 00:01:51.600]   Very good.
[00:01:51.600 --> 00:01:56.840]   And so what we know about Joseph is that he was a carpenter.
[00:01:56.840 --> 00:02:04.240]   And what we know is that he likely died early because he wasn't there as Jesus begun his
[00:02:04.240 --> 00:02:05.840]   ministry.
[00:02:05.840 --> 00:02:06.840]   He wasn't there.
[00:02:06.840 --> 00:02:14.680]   He was only Mary at the resurrection, at the death and the resurrection was only Mary,
[00:02:14.680 --> 00:02:16.200]   the mother of Mary.
[00:02:16.200 --> 00:02:22.840]   And so Bonnie did an amazing job reading for us about the birth of Jesus.
