
[00:00:00.000 --> 00:00:03.840]  早安,今天我們繼續第一次聖誕節
[00:00:03.840 --> 00:00:07.820]  我們看到這個教會有很多不同的問題
[00:00:07.820 --> 00:00:09.820]  這個教會有什麼問題呢?
[00:00:09.820 --> 00:00:14.360]  有不同的男女關係,很複雜的
[00:00:14.360 --> 00:00:21.920]  兒子和母親一起住,很複雜的
[00:00:21.920 --> 00:00:26.100]  他們自己的教會有很多不同的分類
[00:00:26.100 --> 00:00:32.380]  一個是跟Pastor Johnny,一個是跟Pastor Carmen
[00:00:32.380 --> 00:00:37.660]  一個是跟Sam,一個是跟Martin,一個是跟仙姐
[00:00:37.660 --> 00:00:42.640]  每個人都跟不同的人,有很多不同的分類
[00:00:42.640 --> 00:00:45.300]  男女關係也很複雜
[00:00:45.300 --> 00:00:48.640]  然後他們有不同的爭論
[00:00:48.640 --> 00:00:57.920]  我告你,你告我,你搶了我的豬扒包,你搶了我的錢包
[00:00:57.920 --> 00:01:05.460]  每個人都告仙姐,又告Vincent,Vincent又告Carmen,Carmen又告Fiona
[00:01:05.460 --> 00:01:09.040]  Fiona又告仙姐,很複雜的
[00:01:09.040 --> 00:01:14.880]  上星期我們聽到Divina跟我們說
[00:01:14.880 --> 00:01:18.740]  要保持我們的身體聖靈
[00:01:18.740 --> 00:01:23.020]  這個社會,這個Corinthian的社會
[00:01:23.020 --> 00:01:27.020]  有人記得,Corinthian,Modern day Corinth在哪裏?
[00:01:27.020 --> 00:01:30.540]  It's in Greece, yes, it is in Greece
[00:01:30.540 --> 00:01:34.540]  你去過那些Ruins,每個人都差不多
[00:01:34.540 --> 00:01:39.040]  只有幾塊石頭,幾塊石頭
[00:01:39.040 --> 00:01:45.300]  今天我們看The next problem,這個教會有什麼問題
[00:01:45.300 --> 00:01:49.560]  我們首先看今天的經文,Let's read together
[00:01:49.560 --> 00:01:55.240]  保羅今天就跟他們說,有什麼issue在這個教會
[00:01:55.240 --> 00:01:59.720]  是婚姻的issue,marriage issue
[00:01:59.720 --> 00:02:05.760]  他們在那個城市,男女關係是很循便的
[00:02:05.760 --> 00:02:10.040]  他們那個dominant religion是什麼?是Corinth
[00:02:10.040 --> 00:02:14.640]  那個時間,What is the dominant religion of that time?
[00:02:14.640 --> 00:02:20.480]  Judaism,Judaism is in Israel
[00:02:20.480 --> 00:02:26.280]  那裏是有些豬的,Orthodoxy是還沒開始的
[00:02:26.280 --> 00:02:32.080]  Maybe like 200 or 1000 years later
[00:02:32.080 --> 00:02:38.760]  Corinth,Greece以前是敬拜什麼的?
[00:02:38.760 --> 00:02:43.180]  牛,什麼牛?金牛?
[00:02:43.180 --> 00:02:48.720]  Mythology, very good, the Greek Gods
[00:02:48.720 --> 00:02:52.400]  有些Greek Gods,他們有些Greek Temple
[00:02:52.400 --> 00:02:57.880]  有一個,I think it's Athena, is the Goddess of Fertility
[00:02:57.880 --> 00:03:05.720]  Yes, of many things, and Wisdom, she is the Goddess of many things
[00:03:05.720 --> 00:03:11.480]  他們的Temple,他怎樣敬拜這個Goddess?
[00:03:11.480 --> 00:03:19.000]  They have many prostitutes at the Temple,所以他們的男女關係是很隨便的
[00:03:19.000 --> 00:03:27.360]  弄到這個教會,他們裏面的婚禮觀念都是有點困難
[00:03:27.360 --> 00:03:35.360]  First of all, they had a false theology, because the resurrection was coming, sex and marriage were worldly distractions
[00:03:35.360 --> 00:03:40.880]  那些基督徒覺得,我現在是基督徒了,我不用婚姻了
[00:03:40.880 --> 00:03:49.000]  因為我們有一天很快,耶穌會再來到,然後我們的身體會復活
[00:03:49.000 --> 00:03:55.040]  所以我們不用婚姻了,我現在結了婚,我信了主
[00:03:55.040 --> 00:04:01.040]  我們都不用,現在有婚姻了,I can maybe easily divorce my partner
[00:04:01.040 --> 00:04:08.720]  他不是信基督教,我是信基督教,maybe I can just be free of this obligation
[00:04:08.720 --> 00:04:15.680]  他們可能是這樣想的,他們in verse 1,是有這個quote
[00:04:15.680 --> 00:04:21.320]  It is good for a man not to have sexual relations with a woman
[00:04:21.320 --> 00:04:28.080]  那時他們覺得他們有spiritual supremacy
[00:04:28.080 --> 00:04:36.080]  他們覺得,我是基督徒了,現在不用這些worldly distractions,不用男女關係
