
[00:00:00.000 --> 00:00:07.000]  那麼今天我們要談一個耶穌預言末世大災難這段經文
[00:00:07.000 --> 00:00:11.000]  首先我們先看看我們上回第42講
[00:00:11.000 --> 00:00:14.000]  講馬可福音的時候我們提到的
[00:00:14.000 --> 00:00:16.000]  這個跟今天的經文有關係的
[00:00:16.000 --> 00:00:20.000]  就是它的前文 耶穌預言聖殿被毀
[00:00:20.000 --> 00:00:22.000]  我們都記得這段經文
[00:00:22.000 --> 00:00:25.000]  那時候我們提到了五個重點
[00:00:25.000 --> 00:00:29.000]  第一個就是 耶穌預言聖殿被毀
[00:00:29.000 --> 00:00:32.000]  第一個就是 從這段經文我們學習到
[00:00:32.000 --> 00:00:34.000]  不要追求表面的榮耀
[00:00:34.000 --> 00:00:38.000]  不要看這聖殿是何等的輝煌
[00:00:38.000 --> 00:00:44.000]  不要看我們自己的教會是何等的大漂亮
[00:00:44.000 --> 00:00:47.000]  要問自己有沒有做好生命的準備
[00:00:47.000 --> 00:00:51.000]  第二就是 不要沒有扎實的真理
[00:00:51.000 --> 00:00:53.000]  免得入了惡者的迷惑
[00:00:53.000 --> 00:00:56.000]  我們到底清不清楚所信的福音是什麼
[00:00:56.000 --> 00:00:59.000]  第三就是 不要浪費寶貴的生命
[00:00:59.000 --> 00:01:02.000]  要抓緊時間拯救靈魂
[00:01:02.000 --> 00:01:06.000]  耶穌在教導的時候還提到了萬國萬民要得福音的時候
[00:01:06.000 --> 00:01:10.000]  第四就是 不要沒有準備好受苦
[00:01:10.000 --> 00:01:13.000]  要忍耐到底得救贖
[00:01:13.000 --> 00:01:17.000]  這個世界不只是人與人之間的相處
[00:01:17.000 --> 00:01:20.000]  耶穌讓我們看見也是一個靈界
[00:01:20.000 --> 00:01:23.000]  靈界裡面有徵戰 有屬於上帝的
[00:01:23.000 --> 00:01:25.000]  有屬於魔鬼的
[00:01:25.000 --> 00:01:27.000]  會有敵基督
[00:01:27.000 --> 00:01:31.000]  會有針對我們的信仰的
[00:01:31.000 --> 00:01:32.000]  會有的
[00:01:32.000 --> 00:01:34.000]  所以你要準備好受苦
[00:01:34.000 --> 00:01:38.000]  第五就是 不要在苦難中失盼望
