
[00:00:00.000 --> 00:00:09.000]  各位港福堂的弟兄姊妹你們好
[00:00:09.000 --> 00:00:13.000]  願主的平安領到我們每一個人身上
[00:00:13.000 --> 00:00:18.000]  今天非常高興有機會能夠接受會堂
[00:00:18.000 --> 00:00:21.000]  給我有機會能夠在講台上
[00:00:21.000 --> 00:00:24.000]  給大家分享宣教的心事
[00:00:24.000 --> 00:00:28.000]  今天我跟大家分享的主題
[00:00:28.000 --> 00:00:31.000]  就是主力一項
[00:00:31.000 --> 00:00:35.000]  我們能不能夠違背了
[00:00:35.000 --> 00:00:39.000]  剛才主席跟我們念一段松篤
[00:00:39.000 --> 00:00:42.000]  一段經文就是《始端玄卷》
[00:00:42.000 --> 00:00:50.000]  26章19節到23節
[00:00:50.000 --> 00:00:56.000]  這段經文是保羅跟一個王弟講的東西
[00:00:56.000 --> 00:00:58.000]  待會跟大家講
[00:00:58.000 --> 00:01:01.000]  首先我相信我們每一個弟兄姊妹
[00:01:01.000 --> 00:01:05.000]  每一位朋友都有生命的一項
[00:01:05.000 --> 00:01:07.000]  對不對?同意嗎?
[00:01:07.000 --> 00:01:10.000]  我們每一個人都有一項
[00:01:10.000 --> 00:01:13.000]  我們每一個人都有我們的獨立的
[00:01:13.000 --> 00:01:16.000]  特別的人生方向
[00:01:16.000 --> 00:01:18.000]  有一個特別的夢想
[00:01:18.000 --> 00:01:20.000]  有些人做生意的
[00:01:20.000 --> 00:01:23.000]  他的夢想是賺很多錢
[00:01:23.000 --> 00:01:24.000]  有人是念書的
[00:01:24.000 --> 00:01:29.000]  他期望他學業成就
[00:01:29.000 --> 00:01:31.000]  我們做爸爸媽媽的
[00:01:31.000 --> 00:01:34.000]  我們一樣盼望我們的兒女
[00:01:34.000 --> 00:01:38.000]  能夠有美好的成長
[00:01:38.000 --> 00:01:41.000]  但是我剛剛有一位朋友
[00:01:41.000 --> 00:01:44.000]  他是誰呢?
[00:01:44.000 --> 00:01:47.000]  我相信大家都認識了
[00:01:47.000 --> 00:01:50.000]  這位朋友就叫喬布斯
[00:01:50.000 --> 00:01:52.000]  你們認識他嗎?
[00:01:52.000 --> 00:01:56.000]  剛剛早幾天前
[00:01:56.000 --> 00:01:59.000]  我們蘋果的產品
[00:01:59.000 --> 00:02:02.000]  我們的手機開了新型號
[00:02:02.000 --> 00:02:06.000]  就是iPhone 12
[00:02:06.000 --> 00:02:08.000]  很多人排隊
[00:02:08.000 --> 00:02:12.000]  因為他們期望這個產品對他們有幫助
[00:02:12.000 --> 00:02:16.000]  喬布斯現在不在世了
[00:02:16.000 --> 00:02:18.000]  原來他年輕的時候
[00:02:18.000 --> 00:02:20.000]  他有一個嬌命
[00:02:20.000 --> 00:02:22.000]  有一個夢想
[00:02:22.000 --> 00:02:25.000]  他盼望接觸到蘋果的產品
[00:02:25.000 --> 00:02:29.000]  能夠改變整個世界
[00:02:29.000 --> 00:02:34.000]  當我看到喬布斯很年小的時候
[00:02:34.000 --> 00:02:36.000]  他小朋友六歲的時候
[00:02:36.000 --> 00:02:39.000]  有一個女孩子跟他說
[00:02:39.000 --> 00:02:40.000]  喬哥哥
[00:02:40.000 --> 00:02:45.000]  你知不知道你沒有親生的爸爸媽媽了?
[00:02:45.000 --> 00:02:48.000]  現在你爸爸媽媽來世了
[00:02:48.000 --> 00:02:50.000]  養父養母的
[00:02:50.000 --> 00:02:52.000]  你知道嗎?
[00:02:52.000 --> 00:02:54.000]  他回家去
[00:02:54.000 --> 00:02:56.000]  他跟他爸爸媽媽說
[00:02:56.000 --> 00:02:58.000]  爸爸媽媽
[00:02:58.000 --> 00:03:00.000]  我不是你生出來的
[00:03:00.000 --> 00:03:01.000]  對
[00:03:01.000 --> 00:03:05.000]  喬布斯
[00:03:05.000 --> 00:03:08.000]  你是我領養回來的
[00:03:08.000 --> 00:03:10.000]  為什麼我要領養你呢?
[00:03:10.000 --> 00:03:14.000]  因為我看出你的特別
[00:03:14.000 --> 00:03:17.000]  我看出你的特別
[00:03:17.000 --> 00:03:20.000]  喬布斯就因為特別的兩個字
[00:03:20.000 --> 00:03:23.000]  他看重自己的生命
[00:03:23.000 --> 00:03:27.000]  要喬著特別的方向去跑
[00:03:27.000 --> 00:03:33.000]  後來他從小對電腦有很大的興趣
[00:03:33.000 --> 00:03:38.000]  所以他盼望他在電腦的科技裡面
[00:03:38.000 --> 00:03:44.000]  找出自己的夢想
[00:03:44.000 --> 00:03:47.000]  後來他知道他有一個老朋友
[00:03:47.000 --> 00:03:51.000]  他英文的名字叫John Scully
[00:03:51.000 --> 00:03:55.000]  John Scully是以前我們現在也有
[00:03:55.000 --> 00:03:59.000]  百事可樂的總裁
[00:03:59.000 --> 00:04:01.000]  副總裁
[00:04:01.000 --> 00:04:06.000]  John Scully做百事可樂很有頭腦
[00:04:06.000 --> 00:04:07.000]  賺很多錢
[00:04:07.000 --> 00:04:12.000]  所以喬布斯就找他
[00:04:12.000 --> 00:04:14.000]  Hello John
[00:04:14.000 --> 00:04:16.000]  我想跟你說
[00:04:16.000 --> 00:04:22.000]  難道你一生都是為賣糖水努力嗎?
[00:04:22.000 --> 00:04:27.000]  賣糖水就是賣百事可樂
[00:04:27.000 --> 00:04:29.000]  John Scully想一想
[00:04:29.000 --> 00:04:30.000]  對
[00:04:30.000 --> 00:04:34.000]  我一生不是為百事可樂賣命
[00:04:34.000 --> 00:04:37.000]  如果你有另外一個思想
[00:04:37.000 --> 00:04:41.000]  倒不如你跟我一塊來到我公司
[00:04:41.000 --> 00:04:45.000]  為蘋果產品改變這個世界
[00:04:45.000 --> 00:04:48.000]  後來John Scully掙扎一下
[00:04:48.000 --> 00:04:53.000]  跟他去打個蘋果公司打工
[00:04:53.000 --> 00:04:56.000]  盼望跟喬布斯一塊
[00:04:56.000 --> 00:04:58.000]  能夠改變整個世界
[00:04:58.000 --> 00:05:02.000]  製作蘋果的產品
[00:05:02.000 --> 00:05:05.000]  雖然喬布斯有這個叫命
[00:05:05.000 --> 00:05:08.000]  他想改變整個世界
[00:05:08.000 --> 00:05:09.000]  可以嗎?
[00:05:09.000 --> 00:05:11.000]  他有這個夢想
[00:05:11.000 --> 00:05:13.000]  有這個意向
[00:05:13.000 --> 00:05:16.000]  這個意向不是從天上而來的
[00:05:16.000 --> 00:05:19.000]  來是從他的爸爸媽媽口中出來的
[00:05:19.000 --> 00:05:26.000]  喬布斯在我的眼中是一個很特別的孩子
[00:05:26.000 --> 00:05:28.000]  他認為特別
[00:05:28.000 --> 00:05:33.000]  他喬著特別的夢想去奮鬥
[00:05:33.000 --> 00:05:38.000]  後來也有另外一個老闆跟喬布斯說
[00:05:38.000 --> 00:05:42.000]  喬布斯我很敬佩你的能力
[00:05:42.000 --> 00:05:44.000]  你懂得賺錢
[00:05:44.000 --> 00:05:47.000]  但是你的性格
[00:05:47.000 --> 00:05:52.000]  我不認同你能夠改變這個世界
[00:05:52.000 --> 00:05:56.000]  因為你的性格很糟糕
[00:05:56.000 --> 00:05:57.000]  不行
[00:05:57.000 --> 00:05:59.000]  因為你的性格很爛
[00:05:59.000 --> 00:06:01.000]  因為你常常在公司
[00:06:01.000 --> 00:06:02.000]  罵你的同工
[00:06:02.000 --> 00:06:04.000]  罵你的員工
[00:06:04.000 --> 00:06:06.000]  你喬布斯
[00:06:06.000 --> 00:06:07.000]  喬不起來
[00:06:07.000 --> 00:06:11.000]  因為他們的工作能力不能夠達標
[00:06:11.000 --> 00:06:13.000]  你把他們拖棄
[00:06:13.000 --> 00:06:15.000]  放棄
[00:06:15.000 --> 00:06:17.000]  常常罵你的同工
[00:06:17.000 --> 00:06:21.000]  你不能夠用你的能力
[00:06:21.000 --> 00:06:23.000]  建立你同工的生命
[00:06:23.000 --> 00:06:26.000]  不能夠建立你同工的能力
[00:06:26.000 --> 00:06:28.000]  在英文
[00:06:28.000 --> 00:06:30.000]  You cannot empower them
[00:06:30.000 --> 00:06:33.000]  但是你的性格是overpower
[00:06:33.000 --> 00:06:36.000]  用你的權力來打壓他們
[00:06:36.000 --> 00:06:42.000]  但是不能夠用你的能力來建立他們
[00:06:42.000 --> 00:06:47.000]  所以你不能夠改變這個世界
[00:06:47.000 --> 00:06:49.000]  反過來
