
[00:00:00.000 --> 00:00:12.000]  主持人:今天要和大家一起來思想的一個主題叫做在基督裡有份
[00:00:12.000 --> 00:00:16.500]  剛才見到大家 特別已經有一些的姊妹妹
[00:00:16.500 --> 00:00:23.500]  穿到了這個非常鮮豔 節慶色彩的聖誕的一個衣飾
[00:00:23.500 --> 00:00:27.000]  也在告訴我們聖誕節即將來臨了
[00:00:27.000 --> 00:00:32.000]  那麼其實耶穌基督他道成肉身
[00:00:32.000 --> 00:00:36.000]  也是要告訴我們這樣一個相關的主題
[00:00:36.000 --> 00:00:43.000]  他救贖我們 也是為了讓我們可以在基督裡有份
[00:00:43.000 --> 00:00:52.000]  我們每一年聖誕都讓我們再次來思想主耶穌基督對我們的這份愛和救贖
[00:00:52.000 --> 00:01:00.000]  那麼我相信2020年對於我們都是一個非常特別的年份
[00:01:00.000 --> 00:01:05.000]  對於大家也是一個不容易的挑戰
[00:01:05.000 --> 00:01:09.000]  記得在我們剛剛過去的團聚當中
[00:01:09.000 --> 00:01:12.000]  弟兄姊妹們都還在分享
[00:01:12.000 --> 00:01:15.000]  今年聖誕很特別
[00:01:15.000 --> 00:01:20.000]  一晚都會去不同的地方去旅行
[00:01:20.000 --> 00:01:23.000]  今年受到這個疫情的影響
[00:01:23.000 --> 00:01:25.000]  大家哪裡都去不了了
[00:01:25.000 --> 00:01:28.000]  確實是 我們看到了局限
[00:01:28.000 --> 00:01:34.000]  但是在這個過程當中更加看到了很多的恩典
[00:01:34.000 --> 00:01:36.000]  雖然我們哪裡也去不了
[00:01:36.000 --> 00:01:40.000]  但是我們透過讀經
[00:01:40.000 --> 00:01:45.000]  透過我們連續兩年的 整年的一個讀經計劃
[00:01:45.000 --> 00:01:47.000]  我們看了兩年
[00:01:47.000 --> 00:01:54.000]  那麼透過聖經也帶了我們去到了不同的地方去旅行
[00:01:54.000 --> 00:01:58.000]  經歷了各樣的人生的得著
[00:01:58.000 --> 00:02:05.000]  那麼同樣 今天要透過在基督裡有份這樣一個主題
[00:02:05.000 --> 00:02:08.000]  透過希伯來書的三章
[00:02:08.000 --> 00:02:13.000]  也同樣想帶大家一起去有一個旅行
[00:02:13.000 --> 00:02:16.000]  去經歷神的提醒
[00:02:16.000 --> 00:02:21.000]  那麼神的能力確實真的是非常的大能力
[00:02:21.000 --> 00:02:29.000]  透過經文更加讓我們跨越了時間和空間的一個限制
[00:02:29.000 --> 00:02:32.000]  帶我們去到了當年
[00:02:32.000 --> 00:02:36.000]  以色列人出了埃及的曠野當中
[00:02:36.000 --> 00:02:42.000]  一起去看當時發生的事件
[00:02:42.000 --> 00:02:45.000]  講到以色列人出埃及
[00:02:45.000 --> 00:02:48.000]  一幕幕又會浮現在我們的眼前
[00:02:48.000 --> 00:02:50.000]  可能講到這個主題
[00:02:50.000 --> 00:02:54.000]  大家跟隨我們一起來讀經的弟兄姊妹就想到了
[00:02:54.000 --> 00:02:59.000]  一幕幕 包括摩西怎麼樣去見法老
[00:02:59.000 --> 00:03:03.000]  包括法老不同意 心硬不同意
[00:03:03.000 --> 00:03:06.000]  包括他們經歷了埃及實災
[00:03:06.000 --> 00:03:10.000]  然後過紅海 領受十戒
[00:03:10.000 --> 00:03:13.000]  然後吃的東西怎麼辦呢
[00:03:13.000 --> 00:03:18.000]  神又有恩典了 賜下了瑪那 有安春
[00:03:18.000 --> 00:03:21.000]  他們找不到水 又賜給他們水
[00:03:21.000 --> 00:03:25.000]  一件一件的事情又出現在我們眼前
[00:03:25.000 --> 00:03:27.000]  陪伴他們去經歷
[00:03:27.000 --> 00:03:31.000]  當然我們去到哪個地方去旅行呢
[00:03:31.000 --> 00:03:34.000]  都要抓住那個重點
[00:03:34.000 --> 00:03:37.000]  抓住它主要的景觀 抓住它的重點
[00:03:37.000 --> 00:03:40.000]  那麼同樣透過今天的西伯來書
[00:03:40.000 --> 00:03:45.000]  同樣讓我們回到丹氏的曠野的處境當中
[00:03:45.000 --> 00:03:50.000]  也讓我們看到其中的重點
[00:03:50.000 --> 00:03:55.000]  首先一個重點就讓我們看到了摩西
[00:03:55.000 --> 00:04:00.000]  而且摩西他全然盡忠
[00:04:00.000 --> 00:04:04.000]  在神的全家當中 誠然盡忠
[00:04:04.000 --> 00:04:09.000]  為要證明那將來必傳說的事情
[00:04:09.000 --> 00:04:11.000]  這個領袖確實不容易
[00:04:11.000 --> 00:04:15.000]  當時的以色列民各樣的發怨言
[00:04:15.000 --> 00:04:16.000]  各樣的悖逆
[00:04:16.000 --> 00:04:20.000]  但是作為神檢選的領袖
[00:04:20.000 --> 00:04:23.000]  全然的在當中
[00:04:23.000 --> 00:04:26.000]  做好了自己一個領袖的角色
[00:04:26.000 --> 00:04:28.000]  誠然盡忠
[00:04:28.000 --> 00:04:31.000]  儘管來說有很多的壓力
[00:04:31.000 --> 00:04:36.000]  還是在帶領以色列民在曠野當中
[00:04:36.000 --> 00:04:38.000]  經歷了各樣的考驗
[00:04:38.000 --> 00:04:42.000]  也更加經歷了神很多很多的恩典
[00:04:42.000 --> 00:04:45.000]  當然這個只是其中的一個重點
[00:04:45.000 --> 00:04:48.000]  如果我們看西伯來說
[00:04:48.000 --> 00:04:51.000]  還有一個更加大的重點
[00:04:51.000 --> 00:04:54.000]  除了我們看到摩西的盡忠以外
[00:04:54.000 --> 00:04:57.000]  讓我們更加看到了在其中
[00:04:57.000 --> 00:05:01.000]  還有耶穌基督的盡忠
[00:05:01.000 --> 00:05:04.000]  所以在這裡經文一到四節
[00:05:04.000 --> 00:05:06.000]  他就提醒了
[00:05:06.000 --> 00:05:10.000]  同蒙天照的聖傑弟兄
[00:05:10.000 --> 00:05:13.000]  我要思想我們所宣認的使者
[00:05:13.000 --> 00:05:17.000]  為大祭司的耶穌
[00:05:17.000 --> 00:05:20.000]  他向指派他的盡忠
[00:05:20.000 --> 00:05:25.000]  如同摩西向神的全家盡忠一樣
[00:05:25.000 --> 00:05:28.000]  雖然看到了摩西他的盡忠
[00:05:28.000 --> 00:05:29.000]  在西伯來說
[00:05:29.000 --> 00:05:32.000]  新約這裡讓我們更加的看到
[00:05:32.000 --> 00:05:34.000]  在他的背後
[00:05:34.000 --> 00:05:36.000]  在摩西的背後
[00:05:36.000 --> 00:05:38.000]  有神的全面
[00:05:38.000 --> 00:05:40.000]  在新約的促進當中
[00:05:40.000 --> 00:05:44.000]  更加看到了耶穌基督他的身份
[00:05:44.000 --> 00:05:47.000]  耶穌基督他來到這個世上
[00:05:47.000 --> 00:05:50.000]  他也是誠然的盡忠
[00:05:50.000 --> 00:05:52.000]  而且他的盡忠
[00:05:52.000 --> 00:05:55.000]  我們接下來再看三到四節
[00:05:55.000 --> 00:06:01.000]  他要比摩西算是配得更多的榮耀
[00:06:01.000 --> 00:06:05.000]  其中在經文當中就做了一個比喻
[00:06:05.000 --> 00:06:07.000]  這個榮耀更加的多
[00:06:07.000 --> 00:06:10.000]  好像建造房屋的
[00:06:10.000 --> 00:06:14.000]  要比這個房屋更加的尊榮
[00:06:14.000 --> 00:06:17.000]  背後的整個的設計師
[00:06:17.000 --> 00:06:22.000]  就好像上帝他在統領
[00:06:22.000 --> 00:06:23.000]  他在決策
[00:06:23.000 --> 00:06:25.000]  他在使用的時候
[00:06:25.000 --> 00:06:28.000]  被他揀選的領袖固然重要
[00:06:28.000 --> 00:06:30.000]  固然得榮耀
[00:06:30.000 --> 00:06:31.000]  在他的背後
[00:06:31.000 --> 00:06:33.000]  這樣一位神
[00:06:33.000 --> 00:06:34.000]  這位設計師
[00:06:34.000 --> 00:06:36.000]  這位建造者
[00:06:36.000 --> 00:06:38.000]  他的榮耀更加的大
[00:06:38.000 --> 00:06:41.000]  因為房屋都必有人建造
[00:06:41.000 --> 00:06:45.000]  但建造萬物的就是神
[00:06:45.000 --> 00:06:47.000]  他也提醒我們
[00:06:47.000 --> 00:06:50.000]  就好像有一個叫做智慧創造論
[00:06:50.000 --> 00:06:53.000]  我們看到我們世界的萬事萬物一樣
[00:06:53.000 --> 00:06:57.000]  都知道背後有一位設計者
[00:06:57.000 --> 00:06:58.000]  有建築師
[00:06:58.000 --> 00:07:00.000]  當我們看到我們世界
[00:07:00.000 --> 00:07:02.000]  這麼精巧的世界
[00:07:02.000 --> 00:07:04.000]  萬事萬物的背後
[00:07:04.000 --> 00:07:07.000]  就要看到我們的神
[00:07:07.000 --> 00:07:10.000]  那麼包括今天的這個經文的重點
[00:07:10.000 --> 00:07:15.000]  又讓我們看到耶穌他也是敬重
[00:07:15.000 --> 00:07:18.000]  當然我們去到一個地方旅行
[00:07:18.000 --> 00:07:20.000]  不但要看到那個地方
[00:07:20.000 --> 00:07:22.000]  看到其中的重點
[00:07:22.000 --> 00:07:24.000]  更要幫助我們
[00:07:24.000 --> 00:07:27.000]  身臨其境的投入當中
[00:07:27.000 --> 00:07:29.000]  所以才叫是旅行
[00:07:29.000 --> 00:07:32.000]  不然大家在家裡面看一部紀錄片
[00:07:32.000 --> 00:07:35.000]  同樣也是可以看到當時的重點
[00:07:35.000 --> 00:07:39.000]  那麼聖經我覺得它很特別的一點
[00:07:39.000 --> 00:07:43.000]  它讓我們看到了當時的人性
[00:07:43.000 --> 00:07:46.000]  同樣也讓我們思想到
[00:07:46.000 --> 00:07:51.000]  如果我們只是憑著自己的話
[00:07:51.000 --> 00:07:53.000]  去到當時的處境
[00:07:53.000 --> 00:07:58.000]  很有可能也是那些被跌倒的
[00:07:58.000 --> 00:08:00.000]  受到這個試探
