
[00:00:00.000 --> 00:00:01.340]   - Hey everyone.
[00:00:01.340 --> 00:00:09.000]   So, look at you all.
[00:00:09.000 --> 00:00:12.640]   We actually get to be together.
[00:00:12.640 --> 00:00:13.480]   Isn't it good?
[00:00:13.480 --> 00:00:15.720]   I think nothing warms my heart more than being able
[00:00:15.720 --> 00:00:19.620]   to just see the body of Christ get together.
[00:00:19.620 --> 00:00:21.520]   A couple of weeks ago I went on a spiritual retreat
[00:00:21.520 --> 00:00:24.020]   and I started in Causeway Bay.
[00:00:24.020 --> 00:00:27.860]   But then there was just so many people.
[00:00:27.860 --> 00:00:29.980]   Causeway Bay, I actually usually hate Causeway Bay.
[00:00:29.980 --> 00:00:30.820]   I thought it would be okay,
[00:00:30.820 --> 00:00:33.200]   but Hong Kong's been getting busy again.
[00:00:33.200 --> 00:00:34.980]   So, after a few hours I was like,
[00:00:34.980 --> 00:00:36.280]   you know what, I can't do it.
[00:00:36.280 --> 00:00:37.120]   I can't do it here.
[00:00:37.120 --> 00:00:38.700]   There's too many people.
[00:00:38.700 --> 00:00:40.460]   And I'm beginning to be reminded
[00:00:40.460 --> 00:00:43.240]   of my distaste for crowds, for people.
[00:00:43.240 --> 00:00:44.480]   And so I went all the way to Stanley
[00:00:44.480 --> 00:00:48.000]   and then I caught a ferry to Potoi.
[00:00:48.000 --> 00:00:49.680]   Potoi, where there were no people.
[00:00:49.680 --> 00:00:51.260]   Actually, no, there were lots of people on the ferry.
[00:00:51.260 --> 00:00:53.160]   But once you got there, we got to Despond.
[00:00:53.160 --> 00:00:55.160]   And I remember walking around there.
[00:00:55.160 --> 00:00:57.040]   And it's a really nice island
[00:00:57.040 --> 00:00:58.860]   that doesn't have its own running water or power,
[00:00:58.860 --> 00:00:59.920]   but it's really cool.
[00:00:59.920 --> 00:01:00.760]   Do go.
[00:01:00.760 --> 00:01:02.740]   I remember just finally getting to a spot
[00:01:02.740 --> 00:01:05.440]   where I could just see the ocean and the mountains.
[00:01:05.440 --> 00:01:07.520]   And I remember telling God,
[00:01:07.520 --> 00:01:09.440]   ah, now I'm in beauty.
[00:01:09.440 --> 00:01:13.240]   Now I can really get to rest.
[00:01:13.240 --> 00:01:14.600]   If only those people over there
[00:01:14.600 --> 00:01:16.040]   would just move out of the way
[00:01:16.040 --> 00:01:19.060]   and I would be able to take the most beautiful picture.
[00:01:19.060 --> 00:01:21.680]   But those humans are getting in the way.
[00:01:21.680 --> 00:01:23.600]   And then that's when God spoke to me.
[00:01:23.600 --> 00:01:24.680]   And it was the only time he spoke to me
[00:01:24.680 --> 00:01:25.520]   during those two days.
[00:01:25.520 --> 00:01:27.720]   And he said, you know,
[00:01:27.720 --> 00:01:32.120]   those humans are the most beautiful thing in this picture.
[00:01:32.120 --> 00:01:35.000]   They're made in the image of me.
[00:01:35.000 --> 00:01:37.840]   So you can sort yourself out
[00:01:37.840 --> 00:01:39.200]   and change your mindset quickly
[00:01:39.200 --> 00:01:43.600]   because the most beautiful place on earth is Causeway Bay.
[00:01:43.600 --> 00:01:45.180]   Because that's where all the people are.
[00:01:45.180 --> 00:01:47.800]   (audience laughing)
[00:01:47.800 --> 00:01:50.520]   And then by extension, Hong Kong.
[00:01:50.520 --> 00:01:51.800]   Requires a change of heart.
[00:01:51.800 --> 00:01:54.800]   So it warms my heart to see all you beautiful people,
[00:01:54.800 --> 00:01:56.480]   and John, of course, and...
[00:01:56.560 --> 00:01:58.480]   (audience laughing)
[00:01:58.480 --> 00:02:00.720]   But nothing warms my heart even more than that,
[00:02:00.720 --> 00:02:02.280]   than actually going through the word of God.
[00:02:02.280 --> 00:02:05.400]   And today we're going through 2 Peter.
[00:02:05.400 --> 00:02:07.840]   John started us last week on the sermon series,
[00:02:07.840 --> 00:02:09.360]   Beware, but Grow.
[00:02:09.360 --> 00:02:11.960]   And today I'm doing 2 Peter, chapter two.
[00:02:11.960 --> 00:02:13.080]   But just a little context,
[00:02:13.080 --> 00:02:15.200]   just to rewind it back a little bit.
[00:02:15.200 --> 00:02:17.840]   The apostle Peter writes these two letters to the church.
[00:02:17.840 --> 00:02:21.760]   He writes one Peter about AD 64.
[00:02:21.760 --> 00:02:24.060]   And then that one is all about,
[00:02:24.060 --> 00:02:25.280]   actually we've done this before.
[00:02:25.280 --> 00:02:28.560]   It's all about, it's all about comfort
[00:02:28.560 --> 00:02:30.000]   and encouragement to the church
[00:02:30.000 --> 00:02:32.880]   because they were going through external attacks.
[00:02:32.880 --> 00:02:35.940]   So Peter was saying, just hang on there, suffering.
[00:02:35.940 --> 00:02:38.600]   You'll get there, there'll be hope.
[00:02:38.600 --> 00:02:40.800]   And that's what one Peter was about.
[00:02:40.800 --> 00:02:44.000]   And then three years later, he writes 2 Peter.
[00:02:44.000 --> 00:02:46.680]   2 Peter has a very, very different angle.
[00:02:46.680 --> 00:02:49.520]   Instead of talking about external attacks,
[00:02:49.520 --> 00:02:51.760]   he's now warning about internal attacks.
[00:02:51.760 --> 00:02:53.920]   So if the one Peter,
[00:02:53.920 --> 00:02:56.240]   the main theme of that is encouragement,
[00:02:56.240 --> 00:02:59.240]   2 Peter is about warning.
[00:02:59.240 --> 00:03:00.160]   It's about warning.
[00:03:00.160 --> 00:03:04.500]   And today I'm gonna be talking on the title examination.
[00:03:04.500 --> 00:03:06.160]   Examination, I don't know how,
[00:03:06.160 --> 00:03:07.480]   what that word does to you,
[00:03:07.480 --> 00:03:09.280]   what emotions it conjures up,
[00:03:09.280 --> 00:03:11.720]   whether you feel good about examinations
