
[00:00:00.000 --> 00:00:04.700]  我今日和大家講的是文數記第四章
[00:00:04.700 --> 00:00:07.500]  是接續上一堂第三章的
[00:00:07.500 --> 00:00:10.500]  所以這個第三第四章
[00:00:10.500 --> 00:00:12.500]  有些人會問我
[00:00:12.500 --> 00:00:15.000]  好像兩張聖經都差不多
[00:00:15.000 --> 00:00:17.500]  都是講利美的三個兒子
[00:00:17.500 --> 00:00:20.000]  你要細心讀才會知道
[00:00:20.000 --> 00:00:23.000]  是有類似但也有分別的地方
[00:00:23.000 --> 00:00:25.500]  而這個分別
[00:00:25.500 --> 00:00:27.000]  我今天試一下
[00:00:27.000 --> 00:00:29.000]  因為時間很有限
[00:00:29.000 --> 00:00:32.000]  我試一下將這個重點
[00:00:32.000 --> 00:00:34.000]  幫大家去記憶一下
[00:00:34.000 --> 00:00:36.000]  上一堂我們講到
[00:00:36.000 --> 00:00:38.000]  第三章的時候是講到
[00:00:38.000 --> 00:00:41.000]  上帝怎樣揀選利美人
[00:00:41.000 --> 00:00:44.000]  完全歸而華華為聖
[00:00:44.000 --> 00:00:48.000]  是代替以色列每一個家庭裡的長子
[00:00:48.000 --> 00:00:50.000]  因為他們是要被分派
[00:00:50.000 --> 00:00:52.000]  去守護這個會幕
[00:00:52.000 --> 00:00:56.000]  所以這裡是在講他們的身份
[00:00:56.000 --> 00:01:01.000]  和他們是位處這個會幕的哪一個位置
[00:01:01.000 --> 00:01:03.000]  去站立在他們的崗位裏面
[00:01:03.000 --> 00:01:05.000]  你可以用兩個英文字
[00:01:05.000 --> 00:01:07.000]  你就可以記得
[00:01:07.000 --> 00:01:09.000]  Who and where
[00:01:09.000 --> 00:01:11.000]  他們是誰
[00:01:11.000 --> 00:01:13.000]  他們是神所揀選的利美人
[00:01:13.000 --> 00:01:17.000]  而他們是位處在這個會幕的
[00:01:17.000 --> 00:01:20.000]  南邊西邊和北邊
[00:01:20.000 --> 00:01:24.000]  我們又來看看第四章
[00:01:24.000 --> 00:01:26.000]  第四章要講的
[00:01:26.000 --> 00:01:29.000]  就是利美這三個兒子
[00:01:29.000 --> 00:01:31.000]  他們實際的服侍
[00:01:31.000 --> 00:01:33.000]  他們怎樣分工
[00:01:33.000 --> 00:01:36.000]  你可以用兩個英文字
[00:01:36.000 --> 00:01:38.000]  又可以幫自己記得
[00:01:38.000 --> 00:01:41.000]  就是What和How
[00:01:41.000 --> 00:01:43.000]  他們究竟做些什麼
[00:01:43.000 --> 00:01:46.000]  和怎樣去做成這些東西
[00:01:46.000 --> 00:01:48.000]  是有規矩的
[00:01:48.000 --> 00:01:49.000]  在哪裏知道
[00:01:49.000 --> 00:01:50.000]  就是神的吩咐
[00:01:50.000 --> 00:01:53.000]  神的說話是很清楚已經列明
[00:01:53.000 --> 00:01:55.000]  我們今天就看第四章
[00:01:55.000 --> 00:01:57.000]  第四章裏面
[00:01:57.000 --> 00:02:03.000]  是吩咐他們要數點利美人當中的壯年人
[00:02:03.000 --> 00:02:05.000]  這三個宗族裏面
[00:02:05.000 --> 00:02:07.000]  和第三章有不同
[00:02:07.000 --> 00:02:10.000]  第三章是由一個月大的BB仔
[00:02:10.000 --> 00:02:14.000]  一直數到你們家庭裏面最老的那個
[00:02:14.000 --> 00:02:16.000]  他們那裏數了出來
[00:02:16.000 --> 00:02:18.000]  是有二萬人的
[00:02:18.000 --> 00:02:23.000]  但是在我們今次這個後文
[00:02:23.000 --> 00:02:25.000]  我們會交代
[00:02:25.000 --> 00:02:27.000]  他們數出來是八千多人
[00:02:27.000 --> 00:02:29.000]  這個三十到五十歲
[00:02:29.000 --> 00:02:31.000]  他們是要精壯的那些人
[00:02:31.000 --> 00:02:35.000]  是幫手去按分工
[00:02:35.000 --> 00:02:37.000]  負責會幕的拆卸
[00:02:37.000 --> 00:02:39.000]  搬運和看守的事情
[00:02:39.000 --> 00:02:41.000]  每一次會幕
[00:02:41.000 --> 00:02:43.000]  是神說你們要啟動了
[00:02:43.000 --> 00:02:46.000]  我們現在要移離這個地方
[00:02:46.000 --> 00:02:48.000]  因為在曠野
[00:02:48.000 --> 00:02:50.000]  在昔日的環境
[00:02:50.000 --> 00:02:52.000]  他們沒有手機
[00:02:52.000 --> 00:02:54.000]  沒有任何的電訊設備
[00:02:54.000 --> 00:02:58.000]  他們就要靠這些國師奇蹟
[00:02:58.000 --> 00:03:01.000]  他們在不同的工作裏面
