
[00:00:00.000 --> 00:00:02.000]  (字幕:Sarah Lai)
[00:00:02.000 --> 00:00:06.000]  各位領事們,早安
[00:00:06.000 --> 00:00:09.000]  今天要和大家分享的一個訊息
[00:00:09.000 --> 00:00:13.000]  就是我們如何和神面對面
[00:00:13.000 --> 00:00:18.000]  不知道在全城都要戴口罩
[00:00:18.000 --> 00:00:20.000]  上班上學
[00:00:20.000 --> 00:00:22.000]  或者外出的時候
[00:00:22.000 --> 00:00:24.000]  你的日子是怎樣的呢?
[00:00:24.000 --> 00:00:26.000]  你有沒有試過戴著口罩
[00:00:26.000 --> 00:00:28.000]  在街上認錯人呢?
[00:00:28.000 --> 00:00:31.000]  又或者和別人凝視了一段時間
[00:00:31.000 --> 00:00:35.000]  你才認得出原來這個人是你認識的呢?
[00:00:35.000 --> 00:00:41.000]  我想在這段全民戴口罩的一段疫情裡
[00:00:41.000 --> 00:00:43.000]  讓我們更加能夠體會到
[00:00:43.000 --> 00:00:49.000]  面對面和別人交流是一種很可貴的經驗
[00:00:49.000 --> 00:00:52.000]  讓我們一起來低頭祈禱
[00:00:52.000 --> 00:00:55.000]  讓我們仰望在神的面前
[00:00:55.000 --> 00:00:57.000]  學習與神面對面
[00:00:58.000 --> 00:01:03.000]  親愛的天父,我們很感謝你
[00:01:03.000 --> 00:01:08.000]  因為你是那位願意與我們建立關係的神
[00:01:08.000 --> 00:01:12.000]  你願意躺開自己的面
[00:01:12.000 --> 00:01:15.000]  讓我們認識你的真實
[00:01:15.000 --> 00:01:18.000]  主求你讓我們珍惜
[00:01:18.000 --> 00:01:21.000]  我們今天仍然有一個自由的空間
[00:01:21.000 --> 00:01:23.000]  來敬拜你
[00:01:23.000 --> 00:01:25.000]  我們仍然可以透過網絡
[00:01:25.000 --> 00:01:28.000]  來認識你
[00:01:28.000 --> 00:01:30.000]  願意你開通我們的心跳
[00:01:30.000 --> 00:01:33.000]  讓我們聽到的時候
[00:01:33.000 --> 00:01:35.000]  滿有你自己能力的同在
[00:01:35.000 --> 00:01:39.000]  讓我們不單止聽到經文裡的實意
[00:01:39.000 --> 00:01:43.000]  但是讓我們生命也能夠被你更新
[00:01:43.000 --> 00:01:45.000]  願意你帶領我們
[00:01:45.000 --> 00:01:48.000]  祈禱是奉主耶穌基督得勝的名義求
[00:01:48.000 --> 00:01:50.000]  阿們
[00:01:50.000 --> 00:01:56.000]  今天我想和大家分享的一個人物就是摩西
[00:01:56.000 --> 00:02:05.000]  摩西是舊約裡唯一被稱為能夠與神面對面相處的領袖
[00:02:05.000 --> 00:02:08.000]  在《出埃及記》的34章
[00:02:08.000 --> 00:02:11.000]  耶和華與摩西面對面的說話
[00:02:11.000 --> 00:02:15.000]  就好像人與朋友的說話
[00:02:15.000 --> 00:02:19.000]  神曾經三次與摩西顯現
[00:02:19.000 --> 00:02:22.000]  與她啟示自己的真實
