
[00:00:00.000 --> 00:00:02.000]  (字幕組: 張宇)
[00:00:02.000 --> 00:00:06.400]  早安
[00:00:06.400 --> 00:00:08.400]  大家好
[00:00:08.400 --> 00:00:14.320]  今天我們會說耶穌進入耶路撒冷
[00:00:14.320 --> 00:00:17.680]  Triumph of entry into Jerusalem
[00:00:17.680 --> 00:00:19.200]  你有看過奧斯卡嗎?
[00:00:19.200 --> 00:00:20.960]  有沒有人喜歡看奧斯卡?
[00:00:20.960 --> 00:00:22.000]  奧斯卡,沒人看
[00:00:22.000 --> 00:00:26.640]  只有Vincent和Santa
[00:00:26.640 --> 00:00:28.320]  奧斯卡是怎樣的?
[00:00:28.320 --> 00:00:30.160]  它有紅色的帆布
[00:00:30.160 --> 00:00:34.320]  紅色帆布是用來做甚麼?
[00:00:34.320 --> 00:00:36.800]  明星是怎樣的?
[00:00:36.800 --> 00:00:38.800]  是拍照的
[00:00:38.800 --> 00:00:40.320]  穿甚麼?
[00:00:40.320 --> 00:00:43.840]  穿睡衣?
[00:00:43.840 --> 00:00:46.160]  穿最漂亮的衣服
[00:00:46.160 --> 00:00:49.040]  最新的時裝
[00:00:49.040 --> 00:00:50.880]  有些是很帥氣的
[00:00:50.880 --> 00:00:53.680]  有些可能是很醜的
[00:00:53.680 --> 00:00:59.040]  但穿起來是給人看的
[00:00:59.040 --> 00:01:01.280]  表演,他們多厲害
[00:01:01.280 --> 00:01:03.280]  他們多有贊助
[00:01:03.280 --> 00:01:08.960]  之前羅馬歷史也有Triumph of entry
[00:01:08.960 --> 00:01:10.480]  我們看下一個
[00:01:10.480 --> 00:01:12.960]  羅馬的Triumph of entry
[00:01:12.960 --> 00:01:15.920]  有沒有看過Gladiator?
[00:01:15.920 --> 00:01:17.440]  有看過Gladiator嗎?
[00:01:17.440 --> 00:01:19.680]  只有老人家看Gladiator
[00:01:19.680 --> 00:01:22.000]  CY和Lok看到
[00:01:22.000 --> 00:01:24.000]  OK
[00:01:24.000 --> 00:01:28.320]  Gladiator是怎樣的?
[00:01:28.320 --> 00:01:30.560]  有一個Triumph of entry
[00:01:30.560 --> 00:01:31.840]  into Rome
[00:01:31.840 --> 00:01:34.640]  他們為甚麼有一個Triumph of entry into Rome?
[00:01:34.640 --> 00:01:36.640]  因為他們打贏了哪個人?
[00:01:36.640 --> 00:01:38.160]  那些German
[00:01:38.160 --> 00:01:42.480]  他們在德國擴展了更多的地區
[00:01:42.480 --> 00:01:45.440]  平時有一個Triumph of entry
[00:01:45.440 --> 00:01:47.200]  因為這個General
[00:01:47.200 --> 00:01:50.000]  打了5000個敵人
[00:01:50.000 --> 00:01:52.560]  5000個敵人的士兵
[00:01:52.560 --> 00:01:55.120]  然後他會怎樣?
[00:01:55.120 --> 00:01:57.200]  他會有Trophies of War
[00:01:57.200 --> 00:02:00.400]  可能收到很多金
[00:02:00.400 --> 00:02:02.160]  很多不同的Treasures
