
[00:00:00.000 --> 00:00:06.080]  大家好 今天想跟大家上一堂很簡短的神學課
[00:00:06.080 --> 00:00:09.760]  我們嘗試通過彼得前書二章一到十節
[00:00:09.760 --> 00:00:12.160]  來思考兩個問題
[00:00:12.160 --> 00:00:17.400]  教會是甚麼 教會要做甚麼
[00:00:17.400 --> 00:00:20.160]  兩個都是關乎於教會論的問題
[00:00:20.160 --> 00:00:24.080]  一個關乎於教會的B型 教會的本體問題
[00:00:24.080 --> 00:00:25.280]  教會是甚麼
[00:00:25.280 --> 00:00:28.160]  另一個是關乎於教會D型的問題
[00:00:28.160 --> 00:00:31.360]  使命的問題 究竟要做甚麼
[00:00:31.360 --> 00:00:33.520]  我們先來探討第一個問題
[00:00:33.520 --> 00:00:36.400]  教會究竟是甚麼
[00:00:36.400 --> 00:00:38.160]  教會這個字我們大概知道
[00:00:38.160 --> 00:00:41.640]  是從希臘文ekkiesia這個字那裡來的
[00:00:41.640 --> 00:00:45.320]  這個字本來的意思是說到集會
[00:00:45.320 --> 00:00:49.040]  和一班被召喚出來的人
[00:00:49.040 --> 00:00:50.800]  在古希臘的時代
[00:00:50.800 --> 00:00:54.040]  ekkiesia可以說是軍隊的召集
[00:00:54.040 --> 00:00:56.800]  或者是一班人在廣場上
[00:00:56.800 --> 00:01:01.280]  他們聚集去商討一些和大眾有關的議題
[00:01:01.280 --> 00:01:03.880]  例如修訂一些憲法
[00:01:03.880 --> 00:01:07.760]  或者要選舉一些議員
[00:01:07.760 --> 00:01:10.160]  ekkiesia是說聚集
[00:01:10.160 --> 00:01:14.160]  或者一班被召喚出來的人
[00:01:14.160 --> 00:01:17.040]  信徒群體教會也是ekkiesia
[00:01:17.040 --> 00:01:21.000]  和一般的百姓聚集去商討一些事情
[00:01:21.000 --> 00:01:25.480]  和軍隊的召集有甚麼不同的地方
[00:01:25.480 --> 00:01:27.080]  教會之所以為教會
[00:01:27.080 --> 00:01:31.080]  究竟有甚麼界定的特質呢
[00:01:31.080 --> 00:01:33.640]  聖經裡面其實有很多不同的比喻
[00:01:33.640 --> 00:01:35.240]  有很多不同的image
[00:01:35.240 --> 00:01:36.960]  有很多不同的意象
[00:01:36.960 --> 00:01:41.400]  幫我們很豐富的去了解教會是甚麼
[00:01:41.400 --> 00:01:44.200]  教會是基督的戰訓
[00:01:44.200 --> 00:01:46.400]  教會是地上的鹽
[00:01:46.400 --> 00:01:48.520]  教會是上帝的殿
[00:01:48.520 --> 00:01:51.920]  是真理的儲石和根基
[00:01:51.920 --> 00:01:53.840]  有學者曾經計算過
[00:01:53.840 --> 00:01:55.880]  在聖經裡面特別是在新約裡面
[00:01:55.880 --> 00:02:00.440]  大大小小的比喻意象有四十多個
[00:02:00.440 --> 00:02:02.480]  其中以上帝的子民
[00:02:02.480 --> 00:02:05.400]  基督的身體和聖靈的團契
[00:02:05.400 --> 00:02:08.800]  是最重要的三個的意象
[00:02:08.800 --> 00:02:10.400]  三個的比喻
[00:02:10.400 --> 00:02:11.920]  今天我們要看一段經文
[00:02:11.920 --> 00:02:15.600]  就講到上帝子民這個方面
[00:02:15.600 --> 00:02:18.680]  其實新約裡面有很多地方講到上帝的子民
[00:02:18.680 --> 00:02:22.600]  不過唯獨彼得前書是最集中
[00:02:22.600 --> 00:02:25.200]  最顯著用上帝子民這個觀念
[00:02:25.200 --> 00:02:30.720]  來勉勵去兼顧昔日的弟兄姊妹
