
[00:00:00.000 --> 00:00:03.000]  大家好,我叫Parsif Gavin
[00:00:03.000 --> 00:00:06.000]  再一次歡迎P6
[00:00:06.000 --> 00:00:09.000]  大家看上去都很年輕,都像P6
[00:00:09.000 --> 00:00:11.000]  P6在哪裏?
[00:00:11.000 --> 00:00:13.000]  再一次歡迎,原來在前面
[00:00:13.000 --> 00:00:14.000]  歡迎大家
[00:00:14.000 --> 00:00:17.000]  亦歡迎新朋友和舊朋友
[00:00:17.000 --> 00:00:20.000]  很多都已經很久沒見
[00:00:20.000 --> 00:00:23.000]  Samantha回來了
[00:00:23.000 --> 00:00:26.000]  從很遠處,從另一個國家回來
[00:00:26.000 --> 00:00:30.000]  再一次歡迎大家,我們很珍惜每一次和大家
[00:00:30.000 --> 00:00:33.000]  無論我們高中、初中,甚至大專
[00:00:33.000 --> 00:00:38.000]  我們都能夠聚在一起,聽到的時間
[00:00:38.000 --> 00:00:42.000]  今天我們會分享自己的故事
[00:00:42.000 --> 00:00:45.000]  開始的時候,我也想和大家讀一節經文
[00:00:45.000 --> 00:00:49.000]  我設定了一個題目叫做「我的受造奇妙可畏」
[00:00:49.000 --> 00:00:53.000]  我們一起讀一個在詩篇當中的經文
[00:00:53.000 --> 00:00:57.000]  我們比較少看詩篇,我們一起讀吧
[00:00:57.000 --> 00:01:00.000]  我們先讀中文,大聲一點,預備起
[00:01:00.000 --> 00:01:04.000]  我的肺腑是你所造的
[00:01:04.000 --> 00:01:08.000]  我在母腹中,你已腹肺我
[00:01:08.000 --> 00:01:13.000]  我要聲謝你,因我受造奇妙可畏
[00:01:13.000 --> 00:01:18.000]  你的作為奇妙,這是我心知道的
[00:01:18.000 --> 00:01:20.000]  同樣邀請大家讀英文
[00:01:20.000 --> 00:01:24.000]  英文版本,下面黃色字,預備開始
[00:01:24.000 --> 00:01:33.000]  這裡應該只有第十四節,不過不要緊
[00:01:33.000 --> 00:01:36.000]  這一節的經文是我的生命當中
[00:01:36.000 --> 00:01:39.000]  一節很喜歡,亦很重要的經文
[00:01:39.000 --> 00:01:42.000]  我想在接下來的分享,大家會聽得出
[00:01:42.000 --> 00:01:47.000]  我如何體會這一節經文對我的感覺
[00:01:47.000 --> 00:01:51.000]  去體會這一節經文對我的意義
[00:01:51.000 --> 00:01:54.000]  我想每個人都有不同的角色
[00:01:54.000 --> 00:01:58.000]  有做學生的角色,有做兒子的角色等等
[00:01:58.000 --> 00:02:02.000]  所以今天我想藉著三個角色
[00:02:02.000 --> 00:02:06.000]  除了傳道人,教父以外的三個角色
[00:02:06.000 --> 00:02:09.000]  三個角色去分享上帝的帶領
[00:02:09.000 --> 00:02:11.000]  第一個角色是這個
[00:02:11.000 --> 00:02:15.000]  是一座子女,作兒女的身份
[00:02:15.000 --> 00:02:17.000]  這是我第一個很重要的角色
[00:02:17.000 --> 00:02:19.000]  一出生就有這個角色
[00:02:19.000 --> 00:02:23.000]  我和大家一樣,從小在教會成長
[00:02:23.000 --> 00:02:26.000]  所以我們叫做信義代
[00:02:26.000 --> 00:02:28.000]  在教會長大的我
[00:02:28.000 --> 00:02:33.000]  當然和大家一樣,對聖經的故事都頗熟悉
[00:02:33.000 --> 00:02:37.000]  加上我比較開朗,有很多東西可以說
[00:02:37.000 --> 00:02:40.000]  所以我從小上主日學的時候
[00:02:40.000 --> 00:02:43.000]  都很主動地回答一些問題
[00:02:43.000 --> 00:02:45.000]  今天會看到很多相片
[00:02:45.000 --> 00:02:49.000]  這些是奧秘,平時不會露出來的
[00:02:49.000 --> 00:02:53.000]  我把所有的硬碟都找出來
[00:02:53.000 --> 00:02:54.000]  你能找到我嗎?
[00:02:54.000 --> 00:02:55.000]  對嗎?
[00:02:55.000 --> 00:03:00.000]  對,對這個兒童主日學的時候很不滿
[00:03:00.000 --> 00:03:04.000]  不過當時的我,不懂得和上帝
[00:03:04.000 --> 00:03:05.000]  看見我嗎?
[00:03:05.000 --> 00:03:07.000]  看見,點頭吧
[00:03:07.000 --> 00:03:09.000]  前面,藍色衣服那個
[00:03:09.000 --> 00:03:11.000]  超人那個,ok?
[00:03:11.000 --> 00:03:14.000]  前面第二個,ok?
[00:03:14.000 --> 00:03:16.000]  前面藍色衣服,白色衣服那個
[00:03:16.000 --> 00:03:17.000]  藍色來的
[00:03:17.000 --> 00:03:22.000]  當時的我,不懂得和上帝建立一個關係
[00:03:22.000 --> 00:03:25.000]  對當時的我來說,我回教會
[00:03:25.000 --> 00:03:28.000]  是因為父母,因為我的朋友
[00:03:28.000 --> 00:03:30.000]  又或者因為我打乒乓球
[00:03:30.000 --> 00:03:33.000]  以前教會結束後,我們會在樓上打乒乓球
[00:03:33.000 --> 00:03:37.000]  漸漸長大之後
[00:03:37.000 --> 00:03:42.000]  我覺得自己開始有一點點驕傲
[00:03:42.000 --> 00:03:44.000]  覺得自己懂得多了
[00:03:44.000 --> 00:03:46.000]  我就很了不起
[00:03:46.000 --> 00:03:51.000]  說話上,不知不覺就會得罪別人
[00:03:51.000 --> 00:03:54.000]  至於在學校,剛才說教會
[00:03:54.000 --> 00:03:58.000]  在學校,我學會和別人比較
[00:03:58.000 --> 00:04:00.000]  自己的成績不差
[00:04:00.000 --> 00:04:03.000]  連續幾年,當時讀精英班
[00:04:03.000 --> 00:04:07.000]  但自己的內心不滿足,不開心
[00:04:07.000 --> 00:04:10.000]  再加上自己說話不太會說話
[00:04:10.000 --> 00:04:12.000]  有時會被同學取笑
[00:04:12.000 --> 00:04:14.000]  不知道大家有沒有試過這些經歷
[00:04:14.000 --> 00:04:17.000]  之後又覺得,我是基督徒
[00:04:17.000 --> 00:04:19.000]  不要串通他,好像不應該
[00:04:19.000 --> 00:04:22.000]  結果,裡面經常都很憂鬱
[00:04:22.000 --> 00:04:24.000]  不是很開心
[00:04:24.000 --> 00:04:27.000]  慢慢變得很安靜
