
[00:00:00.000 --> 00:00:05.280]  我們今天講的篇章是哥倫多前書十二章
[00:00:05.280 --> 00:00:07.800]  十二節至三十一節
[00:00:07.800 --> 00:00:10.560]  開始之前再跟大家重溫一下
[00:00:10.560 --> 00:00:12.160]  這個篇章很重要
[00:00:12.160 --> 00:00:14.360]  因為到了第十三章
[00:00:14.360 --> 00:00:17.080]  就是一個大家耳熟能詳的章節
[00:00:17.080 --> 00:00:19.920]  就是大家知道《愛的宣言》是甚麼吧
[00:00:19.920 --> 00:00:21.840]  就是我們在婚禮經常聽到的
[00:00:21.840 --> 00:00:24.120]  「愛是恆久恩來不疾度」
[00:00:24.120 --> 00:00:26.400]  而我們前面…上一個星期我們說
[00:00:26.400 --> 00:00:29.480]  哥倫多教會裏面的人其實都很厲害
[00:00:29.480 --> 00:00:31.880]  很多的恩賜、很多的才能
[00:00:31.880 --> 00:00:37.520]  但是教會是否只要一群有恩賜、有才能的人呢?
[00:00:37.520 --> 00:00:42.920]  而今天這個篇章就是想帶領我們去看
[00:00:42.920 --> 00:00:45.160]  究竟一個教會
[00:00:45.160 --> 00:00:47.680]  我們經常說弟兄姊妹
[00:00:47.680 --> 00:00:49.560]  經常說我們是一個群體
[00:00:49.560 --> 00:00:53.640]  究竟怎樣才算是一體呢?
[00:00:53.640 --> 00:00:55.760]  我們一起進入這個經文去看看
[00:00:55.760 --> 00:00:58.520]  一個身體有許多肢體
[00:00:58.520 --> 00:01:00.680]  就如身體是一個
[00:01:00.680 --> 00:01:02.840]  卻有許多肢體
[00:01:02.840 --> 00:01:05.080]  身體的肢體雖多
[00:01:05.080 --> 00:01:06.880]  仍是一個身體
[00:01:06.880 --> 00:01:08.760]  基督也是這樣
[00:01:08.760 --> 00:01:11.920]  我們無論是猶太人、是希臘人
[00:01:11.920 --> 00:01:14.440]  是遺老的、是自主的
[00:01:14.440 --> 00:01:16.920]  都用一位聖靈受洗
[00:01:16.920 --> 00:01:18.640]  成了一個身體
[00:01:18.640 --> 00:01:21.040]  並且共享這位聖靈
[00:01:21.040 --> 00:01:25.520]  本來這裡要說給哥倫多的弟兄姊妹聽
[00:01:25.520 --> 00:01:27.400]  我們肢體有很多種
[00:01:27.400 --> 00:01:29.880]  大家都知道我們身體是怎樣組成的
[00:01:29.880 --> 00:01:31.600]  我們有手手腳腳
[00:01:31.600 --> 00:01:33.840]  有眼耳口鼻
[00:01:33.840 --> 00:01:38.920]  但在教會裏面是否真的這樣分得那麼開呢?
[00:01:38.920 --> 00:01:41.120]  然後十二節就跟我們說
[00:01:41.120 --> 00:01:45.320]  其實我們全部受洗歸同一個聖靈
[00:01:45.320 --> 00:01:47.320]  我們也是同一個身體
[00:01:47.320 --> 00:01:50.000]  它說我們作為一個群體的時候
[00:01:50.000 --> 00:01:52.080]  不好意思,可能要拜託後面幫我按
[00:01:52.080 --> 00:01:53.640]  它沒有甚麼反應
[00:01:53.640 --> 00:01:56.080]  所以我們在這個群體的時候
[00:01:56.080 --> 00:01:58.440]  好像哥倫多教會一樣
[00:01:58.440 --> 00:01:59.920]  會有不同的人
[00:01:59.920 --> 00:02:02.200]  有希臘人、有猶太人
[00:02:02.200 --> 00:02:02.960]  我們都知道
[00:02:02.960 --> 00:02:05.040]  甚至我們有不同的宗教背景
[00:02:05.040 --> 00:02:11.320]  有不同的恩賜的人
[00:02:11.320 --> 00:02:12.920]  那我們呢
[00:02:12.920 --> 00:02:14.040]  你看看你身邊的人
[00:02:14.040 --> 00:02:15.040]  我們去探索
[00:02:15.040 --> 00:02:18.280]  我們有不同年紀、不同年級
[00:02:18.280 --> 00:02:21.520]  不同喜好、不同長處的人
[00:02:21.520 --> 00:02:23.640]  但我們今天仍然坐在這裏
[00:02:23.640 --> 00:02:25.680]  我們領受著同一個圈套
[00:02:25.680 --> 00:02:27.000]  領受著同一個聖靈
[00:02:27.000 --> 00:02:28.280]  有人受了洗
[00:02:28.280 --> 00:02:29.520]  有人缺了志
[00:02:29.520 --> 00:02:31.840]  人可能仍然沉迷信仰
[00:02:31.840 --> 00:02:33.920]  但今天卻是神去教導
[00:02:33.920 --> 00:02:36.400]  去告訴哥倫多教會的人
[00:02:36.400 --> 00:02:38.120]  我們作為弟兄姊妹
[00:02:38.120 --> 00:02:39.880]  就是同一個肢體
[00:02:39.880 --> 00:02:42.440]  同一個身體
[00:02:42.440 --> 00:02:45.400]  所以大家知道你的世界盃了
[00:02:45.400 --> 00:02:47.760]  但有誰看球賽的?
[00:02:47.760 --> 00:02:48.760]  我不是說今天
[00:02:48.760 --> 00:02:50.520]  你今天看球賽應該回不來了
[00:02:50.520 --> 00:02:52.080]  三點鐘才來
[00:02:52.080 --> 00:02:53.720]  沒有人看球賽我不相信
[00:02:53.720 --> 00:02:54.560]  有人看過
[00:02:54.560 --> 00:02:57.520]  是不是今天有人看過世界盃?
[00:02:57.520 --> 00:03:00.280]  有沒有人喜歡踢足球?
[00:03:00.280 --> 00:03:01.000]  踢足球的
[00:03:01.000 --> 00:03:02.440]  做運動的
[00:03:02.440 --> 00:03:04.400]  我們都會知道
[00:03:04.400 --> 00:03:06.000]  神給了我們
[00:03:06.000 --> 00:03:08.680]  給了我們不同的人有不同的崗位
[00:03:08.680 --> 00:03:11.680]  足球有前鋒、中堅、後衛
[00:03:11.680 --> 00:03:12.560]  有龍門
[00:03:12.560 --> 00:03:13.440]  是不是?
[00:03:13.440 --> 00:03:15.480]  我們去
[00:03:15.480 --> 00:03:17.040]  我們
[00:03:17.040 --> 00:03:18.000]  看
[00:03:18.000 --> 00:03:19.680]  有沒有人看
[00:03:19.680 --> 00:03:22.320]  Law of the Ring
[00:03:22.320 --> 00:03:24.560]  這個叫甚麼?忘記了
[00:03:24.560 --> 00:03:25.840]  夜夜夜魔戒
[00:03:25.840 --> 00:03:27.920]  他們整個團隊都有不同的人
[00:03:27.920 --> 00:03:29.000]  有個矮人
[00:03:29.000 --> 00:03:30.120]  有個精靈
[00:03:30.120 --> 00:03:33.200]  Fudo要戴著戒指
[00:03:33.200 --> 00:03:36.840]  這樣他們才成為一個團隊
[00:03:36.840 --> 00:03:38.680]  所以我們在教會
[00:03:38.680 --> 00:03:40.240]  無論是誰也好
[00:03:40.240 --> 00:03:41.720]  無論是甚麼年紀
[00:03:41.720 --> 00:03:43.240]  我們都是一體
[00:03:43.240 --> 00:03:45.160]  我們應該都是一體的
[00:03:45.160 --> 00:03:46.640]  而一體的時候
[00:03:46.640 --> 00:03:51.480]  我們應該有著甚麼特質呢?
[00:03:51.480 --> 00:03:53.840]  我們經常說教會是弟兄姊妹的時候
[00:03:53.840 --> 00:03:56.720]  我們又如何對待我們的弟兄姊妹呢?
[00:03:56.720 --> 00:03:58.760]  甚至我們可以在這裏推回頭想
[00:03:58.760 --> 00:04:01.720]  我們作為在家裏的我們
[00:04:01.720 --> 00:04:03.720]  我們可能作為兒子
[00:04:03.720 --> 00:04:05.520]  作為姐姐、妹妹
[00:04:05.520 --> 00:04:07.000]  哥哥、弟弟
[00:04:07.000 --> 00:04:09.360]  究竟這個角色、這個身份
[00:04:09.360 --> 00:04:12.280]  是有甚麼意義和目的呢?
[00:04:12.280 --> 00:04:15.440]  所以在這裏很快地讓大家去想一下
[00:04:15.440 --> 00:04:18.040]  如果你是一個足球隊的隊員
