
[00:00:00.000 --> 00:00:02.000]  (字幕志願者 李克強)
[00:00:02.000 --> 00:00:04.000]  (字幕志願者 王俊凯)
[00:00:04.000 --> 00:00:06.000]  啟發課程告訴我們,
[00:00:06.000 --> 00:00:10.000]  耶穌曾經說過自己是神的兒子,
[00:00:10.000 --> 00:00:16.000]  又告訴我們在邏輯上只有三個可能性。
[00:00:16.000 --> 00:00:20.000]  一個就是,祂說祂自己是神的兒子,
[00:00:20.000 --> 00:00:23.000]  就是說祂知道這是假的,
[00:00:23.000 --> 00:00:28.000]  但是祂偏偏這麼說,那祂就是神棍。
[00:00:28.000 --> 00:00:31.000]  第二個可能性就是,祂不知道祂是神的兒子,
[00:00:31.000 --> 00:00:36.000]  卻到處跟人家說祂是神的兒子,那祂就是傻子。
[00:00:36.000 --> 00:00:38.000]  剩下一個可能性在邏輯上就是,
[00:00:38.000 --> 00:00:43.000]  祂說祂是神的兒子,祂真的是神的兒子,祂才這麼說。
[00:00:43.000 --> 00:00:47.000]  所以這裡我們至少會看到一樣事情是什麼呢?
[00:00:47.000 --> 00:00:51.000]  我們會看到耶穌真的不是傻子,
[00:00:51.000 --> 00:00:54.000]  因為今天這段經文會讓我們看見
[00:00:54.000 --> 00:01:01.000]  耶穌是邏輯性非常地強,而且是滿有智慧的主耶穌基督。
[00:01:01.000 --> 00:01:05.000]  所以基督徒,請你記住,
[00:01:05.000 --> 00:01:09.000]  聖經裡面耶穌有說過自己是神的兒子,
[00:01:09.000 --> 00:01:13.000]  所以那些想要說我很敬佩耶穌,
[00:01:13.000 --> 00:01:16.000]  祂只是一個偉人,祂不是神的兒子,
[00:01:16.000 --> 00:01:21.000]  那他基本上是沒有相信耶穌所說的每一句話。
[00:01:21.000 --> 00:01:25.000]  所以可能你也有這樣的朋友,所以大家可以了解。
[00:01:25.000 --> 00:01:30.000]  那我們看看今天我們上次講到的就是,
[00:01:30.000 --> 00:01:32.000]  耶穌已經到了這個地方,
[00:01:32.000 --> 00:01:38.000]  祂一直就是在科西瑪尼園,伯大尼這個地方,
[00:01:38.000 --> 00:01:42.000]  然後騎著驢進去耶路撒冷。
[00:01:42.000 --> 00:01:44.000]  你去過以色列你就知道,
[00:01:44.000 --> 00:01:48.000]  這聖殿現在是金色的清真寺,
[00:01:48.000 --> 00:01:51.000]  看過來就是科西瑪尼園。
[00:01:51.000 --> 00:01:55.000]  然後在這邊,上次我們36回的時候,
[00:01:55.000 --> 00:01:59.000]  我們看到,祂就潔淨了聖殿,
[00:01:59.000 --> 00:02:04.000]  祂把那些做買賣的人全部都趕出去。
[00:02:04.000 --> 00:02:08.000]  祂說,我的殿應該是禱告的殿,
[00:02:08.000 --> 00:02:10.000]  我父的殿應該是禱告的殿,
[00:02:10.000 --> 00:02:12.000]  你們卻把它變成什麼呢?
[00:02:12.000 --> 00:02:15.000]  賊窩,大家都聽得很清楚,
[00:02:15.000 --> 00:02:18.000]  做了賊窩了。
[00:02:18.000 --> 00:02:21.000]  所以今天我們要回顧一下,
[00:02:21.000 --> 00:02:24.000]  上次我們看到什麼叫幸福神,
[00:02:24.000 --> 00:02:26.000]  因為他奏祖了無花果樹之後,
[00:02:26.000 --> 00:02:28.000]  門徒在問他的時候,
[00:02:28.000 --> 00:02:31.000]  整個功課他要門徒學的,
