
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹午安
[00:00:02.000 --> 00:00:04.000]  今日的講題
[00:00:04.000 --> 00:00:06.000]  爭戰之故己及人
[00:00:06.000 --> 00:00:08.000]  是自相矛盾的
[00:00:08.000 --> 00:00:10.000]  戰爭是一場
[00:00:10.000 --> 00:00:12.000]  我贏就你輸
[00:00:12.000 --> 00:00:14.000]  我死就你活
[00:00:14.000 --> 00:00:16.000]  最終都是有一方贏的
[00:00:16.000 --> 00:00:18.000]  而故己及人
[00:00:18.000 --> 00:00:20.000]  就是不單只顧自己的事
[00:00:20.000 --> 00:00:22.000]  也不要自私自利
[00:00:22.000 --> 00:00:24.000]  只顧自己的事
[00:00:24.000 --> 00:00:26.000]  而不顧自己的事
[00:00:26.000 --> 00:00:28.000]  而不顧自己的事
[00:00:28.000 --> 00:00:30.000]  也不要自私自利
[00:00:30.000 --> 00:00:32.000]  顧念對方的需要
[00:00:32.000 --> 00:00:34.000]  和益處
[00:00:34.000 --> 00:00:36.000]  是一種愛的表現
[00:00:36.000 --> 00:00:38.000]  想大家在開始的時候
[00:00:38.000 --> 00:00:40.000]  都在心中
[00:00:40.000 --> 00:00:42.000]  去回答一個問題
[00:00:42.000 --> 00:00:44.000]  不用舉手
[00:00:44.000 --> 00:00:46.000]  你覺得在太平盛世
[00:00:46.000 --> 00:00:48.000]  風平浪靜的時候
[00:00:48.000 --> 00:00:50.000]  容易些
[00:00:50.000 --> 00:00:52.000]  故己及人
[00:00:52.000 --> 00:00:54.000]  抑或在
[00:00:54.000 --> 00:00:56.000]  打仗、考驗、多變
[00:00:56.000 --> 00:00:58.000]  看不到未來的時候
[00:00:58.000 --> 00:01:00.000]  容易些
[00:01:00.000 --> 00:01:02.000]  故己及人呢?
[00:01:02.000 --> 00:01:04.000]  其實在爭戰當中
[00:01:04.000 --> 00:01:06.000]  故己及人
[00:01:06.000 --> 00:01:08.000]  都不是不可以的
[00:01:08.000 --> 00:01:10.000]  如果那個人
[00:01:10.000 --> 00:01:12.000]  是自己的軍隊裏面
[00:01:12.000 --> 00:01:14.000]  的兄弟、手足
[00:01:14.000 --> 00:01:16.000]  你一定會顧他
[00:01:16.000 --> 00:01:18.000]  但是如果
[00:01:18.000 --> 00:01:20.000]  那個人
[00:01:20.000 --> 00:01:22.000]  其實是敵軍的時候
[00:01:22.000 --> 00:01:24.000]  就不可能在爭戰當中
[00:01:24.000 --> 00:01:26.000]  去顧著他
[00:01:26.000 --> 00:01:28.000]  但是今天所說的
[00:01:28.000 --> 00:01:30.000]  《新命記》20至21章
[00:01:30.000 --> 00:01:32.000]  有很長的篇幅
[00:01:32.000 --> 00:01:34.000]  是講戰爭的條例
