
[00:00:00.000 --> 00:00:04.000]  那麼我們一起來看馬可福音
[00:00:04.000 --> 00:00:06.000]  已經是看到第十四講了
[00:00:06.000 --> 00:00:08.000]  今天來到第十五講
[00:00:08.000 --> 00:00:12.000]  上一回我們看耶穌在哥拉山港鬼
[00:00:12.000 --> 00:00:14.000]  我們看到了幾個重點
[00:00:14.000 --> 00:00:19.000]  第一個就是被罪惡捆綁的人沒有生命
[00:00:19.000 --> 00:00:23.000]  沒有真正的自由 也在傷害自己
[00:00:23.000 --> 00:00:26.000]  第二就是邪惡總是有所傷害
[00:00:26.000 --> 00:00:28.000]  也在傷害自己
[00:00:28.000 --> 00:00:32.000]  第二就是邪惡總是用謊言來捆綁人
[00:00:32.000 --> 00:00:36.000]  甚至令人覺得連神也幫不到自己
[00:00:36.000 --> 00:00:41.000]  第三就是上帝的大能超乎我們一切的想象
[00:00:41.000 --> 00:00:46.000]  甚至能夠將邪惡揭露邪惡的惡毒
[00:00:46.000 --> 00:00:49.000]  第四就是人心最大的邪惡
[00:00:49.000 --> 00:00:51.000]  就是知道神是誰
[00:00:51.000 --> 00:00:55.000]  仍然不要神在自己的生命中
[00:00:55.000 --> 00:01:00.000]  第五就是基督徒是被上帝拯救得釋放的人
[00:01:00.000 --> 00:01:04.000]  也真的是應該順服上帝去見證他
[00:01:04.000 --> 00:01:07.000]  今天我們來到第十五講
[00:01:07.000 --> 00:01:11.000]  是要講耶穌是全能的一制主
[00:01:11.000 --> 00:01:13.000]  今天講到經文
[00:01:13.000 --> 00:01:15.000]  大家剛才一起讀的
[00:01:15.000 --> 00:01:18.000]  其實有三段 有三個段落
[00:01:18.000 --> 00:01:20.000]  但是有兩個故事
[00:01:20.000 --> 00:01:23.000]  前面你發現他講管會堂
[00:01:23.000 --> 00:01:25.000]  有一個叫做亞魯的人
[00:01:25.000 --> 00:01:30.000]  他來找耶穌 求耶穌救他將要死的女兒
[00:01:30.000 --> 00:01:33.000]  但是後面他又講到這件事情
[00:01:33.000 --> 00:01:35.000]  但是中間就差了一件事情
[00:01:35.000 --> 00:01:37.000]  就是他們正在路上的時候
[00:01:37.000 --> 00:01:42.000]  就遇到了一個患血漏症12年的女人
[00:01:42.000 --> 00:01:45.000]  來求耶穌的幫助
[00:01:45.000 --> 00:01:47.000]  就是這樣的經文
[00:01:47.000 --> 00:01:49.000]  今天這個題目非常重要
[00:01:49.000 --> 00:01:52.000]  因為我們的神是全能的神
[00:01:52.000 --> 00:01:54.000]  他有沒有能力一制呢
[00:01:54.000 --> 00:01:57.000]  我們一起同心禱告
[00:01:57.000 --> 00:02:00.000]  天父上帝我們感謝贊美你
[00:02:00.000 --> 00:02:02.000]  借著今天的聖餐主日
[00:02:02.000 --> 00:02:05.000]  你提醒我們你是愛我們的主
[00:02:05.000 --> 00:02:08.000]  你提醒我們你為我們犧牲
[00:02:08.000 --> 00:02:10.000]  以至我們能夠有生命
[00:02:10.000 --> 00:02:12.000]  我們願意你打開我們的心
[00:02:12.000 --> 00:02:14.000]  去明白你的真道
[00:02:14.000 --> 00:02:17.000]  以至我們的生命明白耶穌是誰
[00:02:17.000 --> 00:02:20.000]  我們的生命明白耶穌是全能的一制者
[00:02:20.000 --> 00:02:24.000]  我們禱告奉主耶穌基督的聖名祈求
[00:02:24.000 --> 00:02:25.000]  阿們
[00:02:25.000 --> 00:02:29.000]  到底今天上帝還行不行一制呢
[00:02:29.000 --> 00:02:32.000]  有些人有這樣的看法
[00:02:32.000 --> 00:02:36.000]  就是今天上帝是借著醫生來醫治
[00:02:36.000 --> 00:02:39.000]  他不會直接醫治了
[00:02:39.000 --> 00:02:42.000]  那麼有些人有另外一個看法是什麼呢
[00:02:42.000 --> 00:02:47.000]  是跟著使徒的時代過去了
