
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:08.040]   Once again, it's been an amazing series, hasn't it been?
[00:00:08.040 --> 00:00:10.520]   The Women of the Old Testament.
[00:00:10.520 --> 00:00:13.280]   And we went through so many different women.
[00:00:13.280 --> 00:00:16.480]   And each of them have their own struggle.
[00:00:16.480 --> 00:00:19.160]   Each of them have their own story.
[00:00:19.160 --> 00:00:23.320]   Each of them have their own faith in God
[00:00:23.320 --> 00:00:25.800]   and sometimes some doubt.
[00:00:25.800 --> 00:00:30.360]   And so today we are gonna go through the book of Ruth.
[00:00:30.360 --> 00:00:33.560]   And so read with me as we read the first verse,
[00:00:33.560 --> 00:00:35.200]   first verses together.
[00:00:35.200 --> 00:00:36.360]   One, two, three.
[00:00:36.360 --> 00:00:38.720]   In the days when the judges ruled,
[00:00:38.720 --> 00:00:41.000]   there was a famine in the land.
[00:00:41.000 --> 00:00:43.680]   And a man of Bethlehem and Judah,
[00:00:43.680 --> 00:00:46.840]   who sojourned in a country of Moab,
[00:00:46.840 --> 00:00:50.080]   he and his wife and had two sons.
[00:00:50.080 --> 00:00:52.640]   The name of the man was Elimelech,
[00:00:52.640 --> 00:00:55.320]   and the name of his wife, Naomi.
[00:00:55.320 --> 00:00:59.640]   And the names of his two sons were Malon and Chilion.
[00:00:59.640 --> 00:01:04.280]   They were Ephratites from Bethlehem in Judah.
[00:01:04.280 --> 00:01:08.320]   They went to the country of Moab and remained there.
[00:01:08.320 --> 00:01:10.680]   So the story starts off.
[00:01:10.680 --> 00:01:13.360]   And the writer tells us, what time is it?
[00:01:13.360 --> 00:01:15.780]   What's happening during this time?
[00:01:15.780 --> 00:01:19.120]   These are the times of judges.
[00:01:19.120 --> 00:01:22.180]   And so Israel had not had kings yet.
[00:01:22.180 --> 00:01:23.880]   They had something called judges.
[00:01:23.880 --> 00:01:27.760]   And these were leaders that were appointed by the Lord
[00:01:27.760 --> 00:01:31.560]   to lead them sometimes in times of battle,
[00:01:31.560 --> 00:01:35.880]   sometimes to lead them spiritually and with prophecy.
[00:01:35.880 --> 00:01:38.880]   And so we see this family here,
