
[00:00:00.000 --> 00:00:15.000]  非常想念大家,真的時不時都會想到大家的臉孔,大家的生活,不知道怎樣。
[00:00:15.000 --> 00:00:22.000]  有弟兄姐妹就偶爾會問我,你休息的怎樣?
[00:00:22.000 --> 00:00:33.000]  我就會解釋,我不是休息,我是放安息年假。一般不是做牧者的人,不明白什麼是安息年假,就以為是放假,休息。
[00:00:33.000 --> 00:00:52.000]  其實對我來說,就是一段時間我可以回到跟隨主的人,專心地,靜靜地,好好地去尋求神的心意,去重新地操練,不被很多事物干擾,重新地操練。
[00:00:52.000 --> 00:01:04.000]  神要我去哪裡,我就去哪裡。神要我看什麼人,我就看什麼人。做什麼事,我就做什麼事。重新地回到敏感上帝的帶領的那種生命。
[00:01:04.000 --> 00:01:15.000]  很感恩這段時間,以後有機會跟大家見面的時候,再分享自己的經歷,所見所聞。
[00:01:15.000 --> 00:01:25.000]  主要,回了新加坡,偶爾在香港,大部分的時間我在內地,也去了不同的教會。
[00:01:25.000 --> 00:01:32.000]  感謝贊美神,讓我看見祂真的是很信實,非常的信實。
[00:01:32.000 --> 00:01:37.000]  過程中也非常想念大家,偶爾想到這個又想到那個。
[00:01:37.000 --> 00:01:50.000]  但是我記得我離開之前,就比較情緒激動的最後一篇講到,因為一家人,知道大家所遇到的挑戰和困難,
[00:01:50.000 --> 00:01:58.000]  知道那些困難可能又會發生,然後不在你身邊的時候,我就會真的是自己擔心。
[00:01:58.000 --> 00:02:08.000]  但是理性上知道上帝一定會看顧你的,但是同時又知道弟兄姐妹必須經歷過一些挑戰和磨難,
[00:02:08.000 --> 00:02:13.000]  是一個成長必須經歷的過程,那種矛盾的心情。
[00:02:13.000 --> 00:02:28.000]  那麼這次回到這裡,真的是回家了,很感恩啊!新年的第一個崇拜,就跟家人們在這裡一起崇拜,
[00:02:28.000 --> 00:02:38.000]  敬拜我們的神,守這個聖餐,紀念祂為我們的犧牲,一起來感恩,這已經是很美好了。
[00:02:38.000 --> 00:02:40.000]  Amen!
[00:02:40.000 --> 00:02:43.000]  好,我們一起同心禱告。
[00:02:43.000 --> 00:02:49.000]  主啊,我們將今天的崇拜講到,交在禰手中。
[00:02:49.000 --> 00:02:59.000]  一直以來都是禰在餵養我們,一直以來都是禰的話語在建立我們弟兄姐妹的生命。
[00:02:59.000 --> 00:03:07.000]  主啊,我們要做的就是好好地明白禰給我們的崗位、恩賜跟責任,
[00:03:07.000 --> 00:03:16.000]  以致我們真的是能夠建立一個禰所喜悅的群體,每一個人都得到照顧,每一個人都得到更新,
[00:03:16.000 --> 00:03:26.000]  每一個人都得到陪伴,每一個人都能夠發揮出生命最好的品質,來明白上帝禰的心意是多麼的美好。
[00:03:26.000 --> 00:03:33.000]  主啊,我們感謝禰,我們求禰繼續與我們同在,祝福我們今天聽到的時間,
[00:03:33.000 --> 00:03:38.000]  以致不管是聽的還是講的,我們都被禰祝福,被禰建立。
[00:03:38.000 --> 00:03:42.000]  禱告奉祝,耶穌基督聖明祈求,Amen!
[00:03:42.000 --> 00:03:51.000]  那麼,在新的一年,真的是每次都是新的機會,一個新的氣象。
[00:03:51.000 --> 00:03:56.000]  我們可以重新有一個新的心智。
[00:03:56.000 --> 00:04:02.000]  所以今天我把這個講題就把它教成全新的你。
[00:04:02.000 --> 00:04:10.000]  這個字可能你看不到,不要緊,我會讀給大家聽。
[00:04:10.000 --> 00:04:15.000]  比較暗,真的。真的看不到,我相信。
[00:04:15.000 --> 00:04:22.000]  這裡是說,剛才主席幫我們讀了,從埃及出來的人,
[00:04:22.000 --> 00:04:26.000]  上帝說只有兩個人能夠進入應許之地。
[00:04:26.000 --> 00:04:30.000]  我們都很熟悉這段歷史。
[00:04:30.000 --> 00:04:40.000]  這段歷史就是神的子民跑到了埃及,然後就成了人家的奴隸。
[00:04:40.000 --> 00:04:51.000]  在那裡,他們受盡了一些的折磨、虐待,被上帝拯救,就出埃及。
[00:04:51.000 --> 00:05:01.000]  可是在出埃及的過程,本來目的地是走路11天就能夠到的應許之地。
[00:05:01.000 --> 00:05:06.000]  結果他們在那裡,曠野裡面兜了40年。
[00:05:06.000 --> 00:05:10.000]  原因是什麼呢?11天變成40年。
[00:05:10.000 --> 00:05:17.000]  原因是他們經歷了上帝這麼多的祝福、神跡,
[00:05:17.000 --> 00:05:23.000]  還是選擇喜歡罪惡,得罪神。
[00:05:23.000 --> 00:05:30.000]  所以神讓第一代的人就在那裡經歷了懲罰、管教。
[00:05:30.000 --> 00:05:36.000]  聖經說他們招惹了上帝公義的怒氣。
[00:05:36.000 --> 00:05:39.000]  這個怒氣不是像我們人的怒氣。
[00:05:39.000 --> 00:05:49.000]  我們人的怒氣有些時候還帶了某個程度的自己的衝動、血氣、自己的偏見。
[00:05:49.000 --> 00:05:51.000]  但是神是完美的。
[00:05:51.000 --> 00:06:01.000]  他的那個怒氣是絕對公義的,是因為他的子民選擇沈溺在罪中。
[00:06:01.000 --> 00:06:06.000]  神是聖潔的,就完全跟上帝成了對立。
[00:06:06.000 --> 00:06:11.000]  所以惹了上帝公義的怒氣,在曠野漂流40年。
[00:06:11.000 --> 00:06:23.000]  第一代的人因為喜愛罪,沒有資格進入應許之地,除了兩個人。
[00:06:23.000 --> 00:06:27.000]  一個就是迦勒,一個就是約書亞。
[00:06:27.000 --> 00:06:31.000]  所以我們很熟悉這段的歷史。
[00:06:31.000 --> 00:06:37.000]  在這裡我想跟大家強調的是,有一個屬靈的意義。
[00:06:37.000 --> 00:06:43.000]  當我們基督徒看聖經的時候,我們看到埃及,看到應許之地,
[00:06:43.000 --> 00:06:51.000]  它確實是一個歷史事件,但是它有更深的含義,是一個屬靈的意義。
[00:06:51.000 --> 00:07:00.000]  埃及就代表著什麼呢?代表奴役、不自由、捆綁。
[00:07:00.000 --> 00:07:05.000]  捆綁,被什麼捆綁呢?其實是被罪惡捆綁。
[00:07:05.000 --> 00:07:09.000]  所以被罪惡捆綁。
[00:07:09.000 --> 00:07:15.000]  應許之地,屬靈的含義代表什麼呢?代表一種自由。
[00:07:15.000 --> 00:07:22.000]  代表與神同在的環境,與神同在的環境裡面。
[00:07:22.000 --> 00:07:26.000]  所以這裡我們看這個歷史事件的時候,有時候我們也可以想,
[00:07:26.000 --> 00:07:34.000]  從埃及到應許之地,其實豈不是我們人生的一個旅程嗎?
[00:07:34.000 --> 00:07:39.000]  對嗎?你的埃及是怎樣的狀況?
[00:07:39.000 --> 00:07:45.000]  你覺得神要帶你去你的應許之地,又是一個怎樣的狀況?
[00:07:45.000 --> 00:07:49.000]  是一個人生的旅程。
[00:07:49.000 --> 00:07:57.000]  新的一年,弟兄姐妹,幫我們以一個神的視角來看自己的人生。
[00:07:57.000 --> 00:08:05.000]  不然的話,很容易我們就會隨波逐流,被這個世界的需要,
[00:08:05.000 --> 00:08:13.000]  需要你怎麼樣的拼搏,需要你怎麼樣的去做很多的事情來推著你走。
[00:08:13.000 --> 00:08:18.000]  你根本都沒有機會,沒有時間,沒有能力靜下來想,
[00:08:18.000 --> 00:08:23.000]  我真正要的是什麼?上帝真要我做的事情是什麼?
[00:08:23.000 --> 00:08:28.000]  而是被這個社會,家庭的需要,工作的需要推著走。
[00:08:28.000 --> 00:08:34.000]  來到一天,我們聽過一個詞叫做中年危機。
[00:08:34.000 --> 00:08:38.000]  大部分的中年人就來到那個年齡,壓力被壓得喘不過來的時候,
[00:08:38.000 --> 00:08:46.000]  就開始會問自己一個問題,我到底這麼忙忙碌碌是為了什麼?
[00:08:46.000 --> 00:08:49.000]  就失去了自己。我們千萬不要這樣。
[00:08:49.000 --> 00:08:55.000]  所以回到教會是一個很大的祝福,因為教會是神的家,
[00:08:55.000 --> 00:09:01.000]  神的道,讓我們有機會退一步,從神的視角來看看自己的人生。
[00:09:01.000 --> 00:09:07.000]  請你再問你自己多一次,你的埃及的狀況是怎樣的?
[00:09:07.000 --> 00:09:12.000]  上帝要帶領你去的應許之地的狀況是怎樣的?
[00:09:12.000 --> 00:09:17.000]  在教會的團慶裡面,有弟兄姐妹,有牧者,
[00:09:17.000 --> 00:09:21.000]  我們在詳細地討論,具體地討論,你該怎麼走,
