
[00:00:00.000 --> 00:00:06.000]  主啊 祢是聖潔 尊貴 榮耀的君王
[00:00:06.000 --> 00:00:10.000]  我們要向至高的祢發出讚美
[00:00:10.000 --> 00:00:15.000]  因祢是創造天地的獨一真神
[00:00:15.000 --> 00:00:20.000]  神啊 我們渴想要登耶和華的聖山
[00:00:20.000 --> 00:00:23.000]  要尋求祢 要仰望祢
[00:00:23.000 --> 00:00:26.000]  要在全地上高舉祢的名
[00:00:26.000 --> 00:00:31.000]  主啊 祢也說過 祢是忌邪的神
[00:00:31.000 --> 00:00:35.000]  在祢不容許有一點的罪惡
[00:00:35.000 --> 00:00:40.000]  所以我們也要在祢的面前承認我們的罪
[00:00:40.000 --> 00:00:43.000]  求祢赦免和饒恕
[00:00:43.000 --> 00:00:47.000]  求祢幫助我們每一天過聖業的生活
[00:00:47.000 --> 00:00:50.000]  我們又願意將自己獻上
[00:00:50.000 --> 00:00:54.000]  成為活祭見證主的恩典
[00:00:54.000 --> 00:00:56.000]  榮耀主祢的名
[00:00:56.000 --> 00:01:00.000]  主啊 我們在這裡又為世界禱告
[00:01:00.000 --> 00:01:04.000]  近日美國 以色列和伊朗開戰
[00:01:04.000 --> 00:01:07.000]  使得中東地區局勢不穩
[00:01:07.000 --> 00:01:11.000]  百姓生命受到前所未有的威脅
[00:01:11.000 --> 00:01:14.000]  全球經濟都受到影響
[00:01:14.000 --> 00:01:16.000]  求主保護無辜的平民
[00:01:16.000 --> 00:01:18.000]  他們的生命安全
[00:01:18.000 --> 00:01:21.000]  又求主以祢的公義定準
[00:01:21.000 --> 00:01:26.000]  賜智慧給戰爭的國家他們的領袖
[00:01:26.000 --> 00:01:30.000]  幫助他們尋求最合適的解決方案
[00:01:30.000 --> 00:01:34.000]  盡快結束戰爭 恢復和平
[00:01:34.000 --> 00:01:38.000]  我們又為中國和香港獻上禱告
[00:01:38.000 --> 00:01:42.000]  中國政府正在進行「十五五」規劃
[00:01:42.000 --> 00:01:45.000]  求主給香港在上的官員
[00:01:45.000 --> 00:01:50.000]  有智慧的和國家各樣的政策接軌
[00:01:50.000 --> 00:01:54.000]  將香港的經濟民生重新啟動
[00:01:54.000 --> 00:01:58.000]  香港人能夠看到未來美好的規劃
[00:01:58.000 --> 00:02:01.000]  人民能夠安居樂業
[00:02:01.000 --> 00:02:05.000]  又願中國福音的門能夠被神打開
[00:02:05.000 --> 00:02:08.000]  使用香港成為流通的管子
[00:02:08.000 --> 00:02:12.000]  讓更多的中國人民能夠信主得福
[00:02:12.000 --> 00:02:15.000]  我們為道教會禱告
[00:02:15.000 --> 00:02:19.000]  求主使用今天講完Victor傳道的信息
[00:02:19.000 --> 00:02:21.000]  叫弟兄姊妹得到造就
[00:02:21.000 --> 00:02:25.000]  活出信仰 以生命見證主因
[00:02:25.000 --> 00:02:28.000]  我們又為患病的肢體獻上禱告
[00:02:28.000 --> 00:02:31.000]  求主保守看顧患病的肢體
[00:02:31.000 --> 00:02:35.000]  使他們合適的醫治能夠早日康復
[00:02:35.000 --> 00:02:37.000]  為道哀傷的家庭
[00:02:37.000 --> 00:02:40.000]  求主與哀傷的家人同在
[00:02:40.000 --> 00:02:42.000]  安慰他們傷痛的心
[00:02:42.000 --> 00:02:45.000]  最後為道獻金獻上禱告
[00:02:45.000 --> 00:02:48.000]  求主閱立我們甘心樂意的奉獻
[00:02:48.000 --> 00:02:51.000]  叫在上的有智慧的使用
[00:02:51.000 --> 00:02:54.000]  叫神你的國度得到擴展
[00:02:54.000 --> 00:02:56.000]  感謝主順應我們的禱告
[00:02:56.000 --> 00:03:00.000]  禱告是奉主耶穌的獨特性的明智祈求
[00:03:00.000 --> 00:03:02.000]  阿門 請坐
[00:03:02.000 --> 00:03:05.000]  現在是奉獻的時間
[00:03:05.000 --> 00:03:10.000]  聖經說 少眾的少收 多眾的多收
[00:03:10.000 --> 00:03:13.000]  各人要隨本心所決定的
[00:03:13.000 --> 00:03:16.000]  不要作難 不要勉強
[00:03:16.000 --> 00:03:20.000]  神是閱立我們甘心樂意的奉獻
[00:03:20.000 --> 00:03:24.000]  當中如果有人未明白奉獻的意義
[00:03:24.000 --> 00:03:27.000]  就讓奉獻改傳過去就可以了
[00:03:27.000 --> 00:03:30.000]  弟兄姊妹也可以透過轉數快
[00:03:30.000 --> 00:03:33.000]  和支票進行奉獻
[00:03:33.000 --> 00:03:36.000]  現在由我們安靜等候
[00:03:46.000 --> 00:03:49.000]  願至聖聖三一保佑
[00:03:49.000 --> 00:03:50.000]  我們所有的同胞
[00:03:50.000 --> 00:03:53.000]  祈禱和祈禱
[00:03:53.000 --> 00:03:56.000]  願至聖聖三一保佑
[00:03:56.000 --> 00:03:58.000]  我們所有的同胞
[00:03:58.000 --> 00:04:00.000]  祈禱和祈禱
[00:04:00.000 --> 00:04:03.000]  願至聖聖三一保佑
[00:04:03.000 --> 00:04:05.000]  我們所有的同胞
[00:04:05.000 --> 00:04:07.000]  祈禱和祈禱
[00:04:07.000 --> 00:04:10.000]  願至聖聖三一保佑
[00:04:10.000 --> 00:04:13.000]  我們所有的同胞
[00:04:13.000 --> 00:04:16.000]  祈禱和祈禱
[00:04:16.000 --> 00:04:19.000]  願至聖聖三一保佑
[00:04:19.000 --> 00:04:22.000]  我們所有的同胞
[00:04:22.000 --> 00:04:25.000]  祈禱和祈禱
[00:04:25.000 --> 00:04:28.000]  願至聖聖三一保佑
[00:04:28.000 --> 00:04:31.000]  我們所有的同胞
[00:04:31.000 --> 00:04:34.000]  祈禱和祈禱
[00:04:34.000 --> 00:04:37.000]  願至聖聖三一保佑
[00:04:37.000 --> 00:04:40.000]  我們所有的同胞
[00:04:40.000 --> 00:04:43.000]  祈禱和祈禱
[00:04:43.000 --> 00:04:46.000]  願至聖聖三一保佑
[00:04:46.000 --> 00:04:49.000]  我們所有的同胞
[00:04:49.000 --> 00:04:52.000]  祈禱和祈禱
[00:04:52.000 --> 00:04:55.000]  願至聖聖三一保佑
