
[00:00:00.000 --> 00:00:03.000]  我會跟大家講一個題目
[00:00:03.000 --> 00:00:05.600]  我覺得今天是頗應景的
[00:00:05.600 --> 00:00:09.000]  失敗可恥但很有用
[00:00:09.000 --> 00:00:13.000]  我相信在座的應該有些已經派了成績表
[00:00:13.000 --> 00:00:16.000]  有些還未派 預備派
[00:00:16.000 --> 00:00:18.000]  我不知道在你的心目中
[00:00:18.000 --> 00:00:22.000]  甚麼是失敗呢
[00:00:22.000 --> 00:00:25.000]  有沒有想到甚麼是失敗呢
[00:00:25.000 --> 00:00:30.000]  考試考得不好是失敗
[00:00:30.000 --> 00:00:33.000]  追女孩追不到是失敗
[00:00:33.000 --> 00:00:36.000]  很喜歡一個男孩不敢開聲是失敗
[00:00:36.000 --> 00:00:38.000]  到底甚麼是失敗呢
[00:00:38.000 --> 00:00:40.000]  每一個人的定義
[00:00:40.000 --> 00:00:43.000]  為何指著那個人是甚麼意思呢
[00:00:43.000 --> 00:00:47.000]  (你剛才最後那個很形象的)
[00:00:47.000 --> 00:00:50.000]  不要看是誰
[00:00:50.000 --> 00:00:58.000]  失敗每一個人的定義都很不一樣
[00:00:58.000 --> 00:01:02.000]  但在聖經裏面有些人
[00:01:02.000 --> 00:01:08.000]  你覺得他是不是最失敗呢
[00:01:08.000 --> 00:01:12.000]  看看最失敗的是誰呢
[00:01:12.000 --> 00:01:17.000]  摩西最後入不到迦南地
[00:01:17.000 --> 00:01:20.000]  還是雅各
[00:01:20.000 --> 00:01:24.000]  雅各他雖然騙了別人的長子名份
[00:01:24.000 --> 00:01:28.000]  結果被人要去做很多苦工
[00:01:28.000 --> 00:01:31.000]  才能娶到自己最心愛的女人
[00:01:31.000 --> 00:01:33.000]  還是參孫呢
[00:01:33.000 --> 00:01:36.000]  知不知道參孫是誰
[00:01:36.000 --> 00:01:38.000]  知道是吧
[00:01:38.000 --> 00:01:41.000]  不可以被人剪頭髮那個
[00:01:41.000 --> 00:01:43.000]  然後是蘇羅
[00:01:43.000 --> 00:01:46.000]  蘇羅第一個以色列國國王
[00:01:46.000 --> 00:01:49.000]  但最後卻沒有被神祝福
[00:01:49.000 --> 00:01:51.000]  還是大衛呢
[00:01:51.000 --> 00:01:53.000]  大衛被人揀選
[00:01:53.000 --> 00:01:56.000]  但最後他犯了甚麼罪
