
[00:00:00.000 --> 00:00:02.000]  (字幕提供:Sarah)
[00:00:02.000 --> 00:00:06.000]  弟兄姊妹平安
[00:00:06.000 --> 00:00:13.000]  最近我有機會聽到不同的家長跟我分享他們跟孩子禱告的事情
[00:00:13.000 --> 00:00:17.000]  在家裡禱告,有些家長實在是令我感動
[00:00:17.000 --> 00:00:22.000]  開始幾年前就拉著自己女兒的手在家裡禱告
[00:00:22.000 --> 00:00:25.000]  就開始每天禱告了,然後慢慢跪下來禱告
[00:00:25.000 --> 00:00:32.000]  也有家長跟自己的兒子禱告,就很忠心的兒子也開始禱告了
[00:00:32.000 --> 00:00:39.000]  但是有時候家長工作也忙也累,到了晚上也不想禱告
[00:00:39.000 --> 00:00:48.000]  但是孩子會提醒媽媽,媽媽還沒禱告,媽媽還是在禱告,很可愛啊
[00:00:48.000 --> 00:00:54.000]  我覺得在禱告中能夠經歷那種愛是很特別的
[00:00:54.000 --> 00:01:01.000]  今天我們看這段經文提到耶穌很出名的在克西馬尼園禱告
[00:01:01.000 --> 00:01:07.000]  我們上一次在馬可福音的講道系列,今天是第47講
[00:01:07.000 --> 00:01:13.000]  上一次我們提到的是第76講
[00:01:19.000 --> 00:01:25.000]  上一回我們講到的是信靠耶穌御元門徒跌倒
[00:01:25.000 --> 00:01:32.000]  上次我們看到那些門徒本來也是性子勃勃的跟著耶穌
[00:01:32.000 --> 00:01:36.000]  但是耶穌突然間就說你們會跌倒
[00:01:36.000 --> 00:01:40.000]  那時候我們提醒學習到了幾樣重要的功課
[00:01:40.000 --> 00:01:46.000]  就是我們最重要的是要信靠這位全知全能,全心愛我們的主
[00:01:46.000 --> 00:01:52.000]  我們看到彼得的表現,我寧願為你死,我總不會不認你
[00:01:52.000 --> 00:01:57.000]  我們要避免幾樣事情,我們上次看到了,再重溫一下
[00:01:57.000 --> 00:02:03.000]  避免人高估自己的能力,因為這樣我們就不會迫切的依靠上帝
[00:02:03.000 --> 00:02:06.000]  我們要避免看自己比他人強
[00:02:06.000 --> 00:02:11.000]  別人如果就算會跌倒,我不會不認你的,我比較強
[00:02:11.000 --> 00:02:16.000]  不是啊,我們如果看自己比別人強,我們就不會謙卑的求人幫助
[00:02:16.000 --> 00:02:20.000]  第三我要避免的是低估問題的難度
[00:02:20.000 --> 00:02:25.000]  就算是死我也不怕,但是當耶穌被捕的時候
[00:02:25.000 --> 00:02:28.000]  當有人認出他是跟耶穌同夥的時候
[00:02:28.000 --> 00:02:31.000]  他們就怕了,全部逃跑了
[00:02:31.000 --> 00:02:35.000]  所以真正的信仰是要做好準備
[00:02:35.000 --> 00:02:39.000]  耶穌說你如果不能夠計算代價,你怎麼能跟從我呢?
[00:02:39.000 --> 00:02:41.000]  你做好準備了沒有?
[00:02:41.000 --> 00:02:44.000]  我們就看到耶穌在整段經文的過程中
[00:02:44.000 --> 00:02:49.000]  也讓我們看見他是無所不知,掌管一切,還有有無條件的愛
[00:02:49.000 --> 00:02:57.000]  縱使知道門徒會跌倒,耶穌還是做他們的主,與他們同行
[00:02:57.000 --> 00:03:01.000]  今天我們要看克西瑪尼恩的禱告
[00:03:01.000 --> 00:03:04.000]  我們一起再做一個禱告開始
[00:03:04.000 --> 00:03:07.000]  天主上帝我們感謝祢,讚美祢
[00:03:07.000 --> 00:03:15.000]  讓我們真的是能夠來到祢的家,來到祢的聖殿來親近祢
[00:03:15.000 --> 00:03:18.000]  我們願祢永遠都提醒我們
[00:03:18.000 --> 00:03:23.000]  每一次的崇拜只有一位觀眾,那就是上帝你自己
[00:03:23.000 --> 00:03:27.000]  我們眾人都要同心合一地獻上我們的最好
[00:03:27.000 --> 00:03:30.000]  我們求祢願我們在祢面前的崇拜
[00:03:30.000 --> 00:03:33.000]  我們禱告奉耶穌的名祈求,Amen
[00:03:33.000 --> 00:03:36.000]  今天這段經文剛才主席幫我們讀了
[00:03:36.000 --> 00:03:38.000]  也是大家很熟悉的
[00:03:38.000 --> 00:03:41.000]  耶穌來到一個地方叫克西瑪尼恩
[00:03:41.000 --> 00:03:44.000]  就在那邊要開始禱告,跟門徒說了一番話
[00:03:44.000 --> 00:03:46.000]  然後他也禱告了
[00:03:46.000 --> 00:03:50.000]  在這裡我們看到他去做什麼呢?禱告
[00:03:50.000 --> 00:03:53.000]  禱告是很多基督徒都了解的
[00:03:53.000 --> 00:03:55.000]  我們簡單地講幾個重點
[00:03:55.000 --> 00:04:01.000]  禱告是什麼呢?禱告是人與神溝通的途徑
[00:04:01.000 --> 00:04:03.000]  人與神溝通的途徑
[00:04:03.000 --> 00:04:06.000]  所以基督徒非常強調禱告
[00:04:06.000 --> 00:04:10.000]  希望我們不要因為教會裡面有各種的活動
[00:04:10.000 --> 00:04:14.000]  我們就忘了其實最重要的就是
[00:04:14.000 --> 00:04:18.000]  藉著禱告建立你跟神的關係
[00:04:18.000 --> 00:04:22.000]  你當初是怎麼信主的呢?也是藉著禱告
