
[00:00:00.000 --> 00:00:26.000]  其他事項
[00:00:26.000 --> 00:00:33.000]  天文台在星期一預告星期二中午會掛八號風球
[00:00:33.000 --> 00:00:37.000]  不知道大家聽到這個消息之後有什麼體會呢
[00:00:37.000 --> 00:00:40.000]  有沒有覺得你看出窗的時候其實風平浪靜
[00:00:40.000 --> 00:00:43.000]  那天還挺曬的
[00:00:43.000 --> 00:00:47.000]  很難想像八號風球是怎樣呢
[00:00:47.000 --> 00:00:52.000]  甚至星期二下午真的掛八號風球的時候
[00:00:52.000 --> 00:00:54.000]  其實我覺得都很熱
[00:00:54.000 --> 00:00:57.000]  好像一滴風都沒有
[00:00:57.000 --> 00:01:07.000]  特別新聞就說到很多人開始去超市做一個超前的預備
[00:01:07.000 --> 00:01:09.000]  做一個簡單的調查
[00:01:09.000 --> 00:01:15.000]  我想問大家哪個星期一你去過超市或街市買過東西吃
[00:01:15.000 --> 00:01:17.000]  七仔都算了
[00:01:17.000 --> 00:01:19.000]  Circle K都算了
[00:01:19.000 --> 00:01:20.000]  其他沒有去過嗎
[00:01:20.000 --> 00:01:22.000]  工人姐姐有沒有去過
[00:01:22.000 --> 00:01:26.000]  有 其他沒有舉手可能工人姐姐去了
[00:01:26.000 --> 00:01:28.000]  又或者你沒有舉手
[00:01:28.000 --> 00:01:31.000]  不過你家人去買了
[00:01:31.000 --> 00:01:32.000]  可能媽媽買了
[00:01:32.000 --> 00:01:34.000]  或者太太買了
[00:01:34.000 --> 00:01:38.000]  原來當我們知道風暴來緊
[00:01:38.000 --> 00:01:40.000]  災禍來緊的時候
[00:01:40.000 --> 00:01:42.000]  我們一定有兩手準備
[00:01:42.000 --> 00:01:46.000]  我自己特別準備得多一點
[00:01:46.000 --> 00:01:48.000]  因為他說打風
[00:01:48.000 --> 00:01:50.000]  我想星期二星期三星期四
[00:01:50.000 --> 00:01:54.000]  作為一個打工仔
[00:01:54.000 --> 00:01:56.000]  我都很希望打到星期四
[00:01:56.000 --> 00:02:02.000]  不過他只打到星期三
[00:02:02.000 --> 00:02:04.000]  我都欣然接受
