
[00:00:00.000 --> 00:00:07.000]   - Good evening, everyone.
[00:00:07.000 --> 00:00:11.000]   And good morning to those who will be watching tomorrow morning.
[00:00:11.000 --> 00:00:16.000]   I'm just so thankful tonight that I get to share on the topic,
[00:00:16.000 --> 00:00:18.000]   "Take Every Thought Captive,"
[00:00:18.000 --> 00:00:23.000]   and so that we can really align it with God's heart.
[00:00:23.000 --> 00:00:26.000]   It's one that's really big on my heart
[00:00:26.000 --> 00:00:29.000]   because I believe that I've struggled so much with it
[00:00:29.000 --> 00:00:32.000]   and yet because of God, I've overcame it.
[00:00:32.000 --> 00:00:34.000]   And sometimes I might fall into it again,
[00:00:34.000 --> 00:00:40.000]   but I know for certain that I have the tools because of Christ
[00:00:40.000 --> 00:00:42.000]   that I can overcome it again.
[00:00:42.000 --> 00:00:44.000]   So let's start off.
[00:00:44.000 --> 00:00:48.000]   How many thoughts do you think we have in one day?
[00:00:48.000 --> 00:00:50.000]   Anyone want to take a wild guess?
[00:00:50.000 --> 00:00:55.000]   How many thoughts?
[00:00:55.000 --> 00:00:56.000]   A hundred.
[00:00:56.000 --> 00:00:59.000]   Okay, anyone want to give more than a hundred?
[00:00:59.000 --> 00:01:01.000]   A hundred thousand, wow.
[00:01:01.000 --> 00:01:04.000]   Okay, somewhere in between that range, okay,
[00:01:04.000 --> 00:01:07.000]   is actually 6,000 thoughts.
[00:01:07.000 --> 00:01:11.000]   We have 6,000 thoughts according to Queen's University,
[00:01:11.000 --> 00:01:12.000]   their study shows.
[00:01:12.000 --> 00:01:15.000]   Now, if we're awake for about a good 16 hours,
[00:01:15.000 --> 00:01:20.000]   that would mean about 6.25 thoughts in one minute.
[00:01:20.000 --> 00:01:21.000]   So just within this one minute,
[00:01:21.000 --> 00:01:25.000]   6.25 thoughts just flew by in your mind.
[00:01:25.000 --> 00:01:28.000]   So my other question to you is,
[00:01:28.000 --> 00:01:33.000]   how many of you think you can actually control what you think?
[00:01:33.000 --> 00:01:36.000]   Now, I'm going to take a poll again, okay?
[00:01:36.000 --> 00:01:37.000]   We don't have a QR code for this,
[00:01:37.000 --> 00:01:39.000]   let's do it the old-fashioned way.
[00:01:39.000 --> 00:01:42.000]   If you think you have control over your thoughts,
[00:01:42.000 --> 00:01:44.000]   you can put up your hand like this.
[00:01:44.000 --> 00:01:48.000]   If you think you have control over your thoughts sometimes,
[00:01:48.000 --> 00:01:50.000]   you can kind of go like this.
[00:01:50.000 --> 00:01:51.000]   And if you think you don't,
[00:01:51.000 --> 00:01:54.000]   just keep your hands on your lap, okay?
[00:01:54.000 --> 00:01:57.000]   All right, one, two, three, show of hands.
[00:01:57.000 --> 00:02:00.000]   All right, we've got like one of this
[00:02:00.000 --> 00:02:02.000]   and about a good handful of these.
[00:02:02.000 --> 00:02:04.000]   And some of those,
[00:02:04.000 --> 00:02:06.000]   I don't think you have control over your arms, right?
[00:02:06.000 --> 00:02:09.000]   So just keeping it down there.
[00:02:09.000 --> 00:02:12.000]   Yeah, so what we do find is,
[00:02:12.000 --> 00:02:16.000]   do we or do we not have this ability?
[00:02:16.000 --> 00:02:17.000]   Now, according to the Bible,
[00:02:17.000 --> 00:02:19.000]   actually the title kind of gives it away
[00:02:19.000 --> 00:02:22.000]   'cause it says take every thought captive.
[00:02:22.000 --> 00:02:24.000]   So according to the Bible, we can,
[00:02:24.000 --> 00:02:26.000]   we have the ability to,
[00:02:26.000 --> 00:02:28.000]   but you are actually all correct
