
[00:00:00.000 --> 00:00:02.000]  我們來看看這本書的內容吧!
[00:00:02.000 --> 00:00:04.000]  生命與主相連
[00:00:04.880 --> 00:00:06.880]  感謝主!弟兄姊妹!
[00:00:06.880 --> 00:00:08.880]  感恩我們每逐日的相聚!
[00:00:08.880 --> 00:00:14.880]  那麼今天呢,要和大家一起來思考的一個題目
[00:00:14.880 --> 00:00:17.880]  叫做生命與主相連
[00:00:17.880 --> 00:00:21.880]  那麼經文的選字大家都很熟悉的了
[00:00:21.880 --> 00:00:26.880]  約翰福音十五章一到八節
[00:00:26.880 --> 00:00:28.880]  那麼其中大家很熟悉的
[00:00:28.880 --> 00:00:32.880]  我是葡萄樹,你們是枝子
[00:00:32.880 --> 00:00:35.880]  講到我們和主耶穌基督的關係
[00:00:35.880 --> 00:00:38.880]  那麼如果大家再仔細地看經文呢
[00:00:38.880 --> 00:00:41.880]  經文的這個小標題
[00:00:41.880 --> 00:00:43.880]  還有第一節一開始呢
[00:00:43.880 --> 00:00:45.880]  它經文是這樣記載的
[00:00:45.880 --> 00:00:48.880]  講到了耶穌基督了
[00:00:48.880 --> 00:00:53.880]  講到了耶穌是真葡萄樹
[00:00:53.880 --> 00:00:55.880]  這裡多了一個真字啊
[00:00:55.880 --> 00:00:59.880]  不知道大家讀這個真葡萄樹的時候
[00:00:59.880 --> 00:01:01.880]  是怎樣去理解的呢
[00:01:01.880 --> 00:01:03.880]  有沒有覺得奇怪
[00:01:03.880 --> 00:01:05.880]  為什麼這裡有一個真字
[00:01:05.880 --> 00:01:09.880]  不見耶穌基督行無比阿於神際的時候
[00:01:09.880 --> 00:01:11.880]  既然是真葡萄樹
[00:01:11.880 --> 00:01:15.880]  沒見他從生裡面摘出一串葡萄來
[00:01:15.880 --> 00:01:19.880]  寄給那些他的門徒來聽他講道的人
[00:01:19.880 --> 00:01:24.880]  來,再來分享一點水果,來一點葡萄
[00:01:24.880 --> 00:01:26.880]  也沒有哦
[00:01:26.880 --> 00:01:30.880]  那為什麼這裡會有一個真的葡萄樹呢
[00:01:30.880 --> 00:01:32.880]  真是什麼意思呢
[00:01:32.880 --> 00:01:36.880]  那麼其實我們要結合相關的經文
[00:01:36.880 --> 00:01:38.880]  如果我們再看到這個
[00:01:38.880 --> 00:01:41.880]  以賽亞書的第五章的話
[00:01:41.880 --> 00:01:42.880]  我們就可以看到
[00:01:42.880 --> 00:01:44.880]  那裡所記載的呢
[00:01:44.880 --> 00:01:48.880]  有一個叫做葡萄園之歌
[00:01:48.880 --> 00:01:50.880]  它這裡的葡萄呢
[00:01:50.880 --> 00:01:52.880]  我們就可以看到了
[00:01:52.880 --> 00:01:54.880]  第七節就可以看到了
[00:01:54.880 --> 00:01:57.880]  萬鈞之耶和華的葡萄園
[00:01:57.880 --> 00:02:00.880]  就是以色列的家
[00:02:00.880 --> 00:02:02.880]  他所喜愛的樹
[00:02:02.880 --> 00:02:05.880]  就是尤大人
[00:02:05.880 --> 00:02:07.880]  所以我們可以看到
[00:02:07.880 --> 00:02:09.880]  這裡的葡萄呢
[00:02:09.880 --> 00:02:14.880]  它象徵和指代了以色列
[00:02:14.880 --> 00:02:15.880]  以色列民
[00:02:15.880 --> 00:02:17.880]  以色列人
[00:02:17.880 --> 00:02:18.880]  但是呢
[00:02:18.880 --> 00:02:20.880]  在這個過程當中呢
[00:02:20.880 --> 00:02:22.880]  卻出現了問題
[00:02:22.880 --> 00:02:24.880]  我們從中可以看到
[00:02:24.880 --> 00:02:27.880]  這個葡萄園之歌一開始啊
[00:02:27.880 --> 00:02:30.880]  天父他是如此的
[00:02:30.880 --> 00:02:31.880]  他是何等的
[00:02:31.880 --> 00:02:34.880]  愛他的一些的子民們
[00:02:34.880 --> 00:02:38.880]  我要為我所親愛的唱歌
[00:02:38.880 --> 00:02:41.880]  是我所愛著的歌
[00:02:41.880 --> 00:02:43.880]  論他葡萄園的事
[00:02:43.880 --> 00:02:46.880]  我所愛的有葡萄園
[00:02:46.880 --> 00:02:49.880]  在肥美的山崗上
[00:02:49.880 --> 00:02:52.880]  哎呀這是何等的美好
[00:02:52.880 --> 00:02:55.880]  把他安放在這樣一個肥美的地界
[00:02:55.880 --> 00:02:58.880]  那麼甚至主也為他唱歌
[00:02:58.880 --> 00:03:01.880]  主也去讚美這樣一個地方
[00:03:01.880 --> 00:03:06.880]  但是在如此美好的一個葡萄園之歌之下呢
[00:03:06.880 --> 00:03:10.880]  卻發生了很多差強人意的事情
[00:03:10.880 --> 00:03:12.880]  我們接下來就可以看到了
[00:03:12.880 --> 00:03:15.880]  在第四節以後說
[00:03:15.880 --> 00:03:17.880]  我為我所
[00:03:17.880 --> 00:03:20.880]  我為我葡萄園所做之外
[00:03:20.880 --> 00:03:23.880]  我還有什麼可做呢
[00:03:23.880 --> 00:03:26.880]  我指望結好葡萄
[00:03:26.880 --> 00:03:30.880]  怎麼倒結了野葡萄呢
[00:03:30.880 --> 00:03:34.880]  明明已經安放在了肥美的山崗上了
[00:03:34.880 --> 00:03:38.880]  但是他卻結出了野的葡萄
[00:03:38.880 --> 00:03:40.880]  神有他的愛
[00:03:40.880 --> 00:03:41.880]  在這裡呢
[00:03:41.880 --> 00:03:45.880]  神也有他公義的審判還有處理
[00:03:45.880 --> 00:03:47.880]  好在第五節
[00:03:47.880 --> 00:03:50.880]  我現在要告訴你們
[00:03:50.880 --> 00:03:53.880]  我要向我的葡萄園怎樣行
[00:03:53.880 --> 00:03:55.880]  我必撤去籬笆
[00:03:55.880 --> 00:03:57.880]  讓他被吞滅
[00:03:57.880 --> 00:03:59.880]  拆毀成圓
[00:03:59.880 --> 00:04:01.880]  使他被踐踏
[00:04:01.880 --> 00:04:04.880]  明明是好的葡萄樹
[00:04:04.880 --> 00:04:06.880]  在這裡呢
[00:04:06.880 --> 00:04:08.880]  卻結了野的葡萄
[00:04:08.880 --> 00:04:09.880]  所以呢
[00:04:09.880 --> 00:04:12.880]  主要審判要處理
[00:04:12.880 --> 00:04:13.880]  使他被吞滅
[00:04:13.880 --> 00:04:15.880]  不再保護他
[00:04:15.880 --> 00:04:16.880]  要去籬笆
[00:04:16.880 --> 00:04:18.880]  拆毀成圓
[00:04:18.880 --> 00:04:20.880]  使他被踐踏
[00:04:20.880 --> 00:04:22.880]  他有這樣一個惡果
[00:04:22.880 --> 00:04:25.880]  他們自己要承擔
[00:04:25.880 --> 00:04:26.880]  在這裡呢
[00:04:26.880 --> 00:04:28.880]  我們就可以看到
