
[00:00:00.000 --> 00:00:10.000]  大家好,很久沒有跟大家見面了
[00:00:10.000 --> 00:00:17.000]  今天又是學清崇拜的一個訊息分享時間
[00:00:17.000 --> 00:00:20.000]  今天我跟大家講的題目是
[00:00:20.000 --> 00:00:22.000]  你經得起挑戰嗎?
[00:00:22.000 --> 00:00:27.000]  我想問大家再一個問題
[00:00:27.000 --> 00:00:33.000]  你有否想過30歲的時候你會是怎樣呢?
[00:00:33.000 --> 00:00:39.000]  這個問題在我好像你們的年紀的時候也曾經問過
[00:00:39.000 --> 00:00:44.000]  這個問題也在我早幾天的時候在報紙看到
[00:00:44.000 --> 00:00:49.000]  你猜猜那些年青人是怎樣回應的?
[00:00:49.000 --> 00:00:51.000]  他們的回應很特別
[00:00:51.000 --> 00:00:54.000]  他們說可能到他們30歲的時候
[00:00:54.000 --> 00:00:58.000]  香港的維多利亞港已經被人填平了
[00:00:58.000 --> 00:01:01.000]  已經不再需要坐船
[00:01:01.000 --> 00:01:06.000]  而是可以就這樣走過尖沙咀就可以了
[00:01:06.000 --> 00:01:13.000]  也有人說可能到時的碩士生都只可以做地盤
[00:01:13.000 --> 00:01:17.000]  每個月的人工只有5000元
[00:01:17.000 --> 00:01:22.000]  又或者他們對於香港的天氣有這樣的演繹
[00:01:22.000 --> 00:01:27.000]  又或者聖誕節的時候仍然有人會中暑
[00:01:27.000 --> 00:01:32.000]  到底真正的將來會是怎樣呢?
[00:01:32.000 --> 00:01:36.000]  其實每個人生都有很多的挑戰
[00:01:36.000 --> 00:01:39.000]  不單止是你和我
[00:01:39.000 --> 00:01:41.000]  甚至我可以告訴大家
[00:01:41.000 --> 00:01:47.000]  我們每一個人的成長都是不斷不斷地接受挑戰
[00:01:47.000 --> 00:01:57.000]  我們可以說我們每一步的成長都是用眼淚和勞苦去建築而成
[00:01:57.000 --> 00:02:03.000]  一個人真正的成長是不斷地接受挑戰而成長
[00:02:03.000 --> 00:02:07.000]  今天我們看的這段經文的主角
[00:02:07.000 --> 00:02:11.000]  雖然他已經是一個神的兒子
[00:02:11.000 --> 00:02:13.000]  但當他道成肉心的時候
[00:02:13.000 --> 00:02:18.000]  他依然都要接受挑戰
[00:02:18.000 --> 00:02:22.000]  在說這段經文之前我們一起有一個祈禱
[00:02:22.000 --> 00:02:25.000]  七夕天父上帝
[00:02:25.000 --> 00:02:27.000]  我們真是很感謝祢
[00:02:27.000 --> 00:02:30.000]  在這個主日的清晨裏面
[00:02:30.000 --> 00:02:33.000]  雖然我們不能夠回來教會
[00:02:33.000 --> 00:02:36.000]  但我們依然能夠去認識祢
[00:02:36.000 --> 00:02:38.000]  去學習祢的話語
[00:02:38.000 --> 00:02:41.000]  願主祢親自因應我們
[00:02:41.000 --> 00:02:46.000]  讓說的和聽的都同樣得到造就
[00:02:46.000 --> 00:02:49.000]  願主祢也保守在這段時間裏面
[00:02:49.000 --> 00:02:53.000]  不能夠回到學校上課的同學
[00:02:53.000 --> 00:02:57.000]  讓他們依然有追求知識的心
[00:02:57.000 --> 00:03:01.000]  也為考DSE的同學去祈禱
[00:03:01.000 --> 00:03:06.000]  求神祢也讓他們繼續有聰明有智慧有健康
[00:03:06.000 --> 00:03:08.000]  去完成他們這次的考試
[00:03:08.000 --> 00:03:12.000]  願他們所溫習的都能夠好好發揮
[00:03:12.000 --> 00:03:15.000]  願神祢親自因應我們以下的時間
[00:03:15.000 --> 00:03:17.000]  我們同心禱告
[00:03:17.000 --> 00:03:18.000]  奉主明求
[00:03:18.000 --> 00:03:19.000]  阿門
[00:03:19.000 --> 00:03:23.000]  今天我們要說的這段經文
