
[00:00:00.000 --> 00:00:04.000]  (主持)
[00:00:04.000 --> 00:00:05.000]  (陳志全)
[00:00:05.000 --> 00:00:10.600]  我們今天又來到提摩太前書系列的講道
[00:00:10.600 --> 00:00:13.800]  今天我們講的經文是接著的
[00:00:13.800 --> 00:00:16.200]  接著上星期第四章的內容
[00:00:16.200 --> 00:00:18.600]  上星期我們講第四章的時候
[00:00:18.600 --> 00:00:23.600]  提摩太到一間異窟所的教會裏面
[00:00:23.600 --> 00:00:28.600]  所以神就直接保羅去提醒
[00:00:28.600 --> 00:00:32.000]  到底提摩太要在這間教會上服侍
[00:00:32.000 --> 00:00:34.000]  要面對什麼困難
[00:00:34.000 --> 00:00:36.400]  這是上星期講的內容
[00:00:36.400 --> 00:00:39.600]  今天講的內容比較貼身
[00:00:39.600 --> 00:00:42.600]  上星期大家可能見到多些講領袖
[00:00:42.600 --> 00:00:45.600]  好像你去教導
[00:00:45.600 --> 00:00:47.600]  上次也跟大家提過
[00:00:47.600 --> 00:00:50.200]  就算你不是服侍的人
[00:00:50.200 --> 00:00:52.200]  你也可以去教導
[00:00:52.200 --> 00:00:54.400]  你也應該去教導
[00:00:54.400 --> 00:00:58.800]  教導那些讓你更加不知道信仰的人
[00:00:58.800 --> 00:01:02.200]  今天比較一些貼身的題目
[00:01:02.200 --> 00:01:04.200]  講家裏
[00:01:04.200 --> 00:01:06.200]  我們今天想到家裏
[00:01:06.200 --> 00:01:10.400]  可能想到你的父母或者你的親戚
[00:01:10.400 --> 00:01:12.400]  但是在聖經的時代
[00:01:12.400 --> 00:01:14.800]  講家庭是有一點不同的
[00:01:14.800 --> 00:01:17.000]  今天我們看的經文是
[00:01:17.000 --> 00:01:20.400]  提摩太前書五章一節到六章二節
[00:01:20.400 --> 00:01:24.400]  就是針對家庭關係的描述
[00:01:24.400 --> 00:01:26.400]  就是保羅向提摩太說
[00:01:26.400 --> 00:01:29.400]  到底一個家庭在教會裏面
[00:01:29.400 --> 00:01:31.400]  應該怎樣去扮演角色
[00:01:31.400 --> 00:01:33.400]  這樣想是有點奇怪的
[00:01:33.400 --> 00:01:36.400]  當然我們希望
[00:01:36.400 --> 00:01:38.400]  如果明年是一些討論題目
[00:01:38.400 --> 00:01:40.000]  我們可以討論一下家庭
[00:01:40.000 --> 00:01:43.600]  討論一下我們怎樣和父母相處的機會
[00:01:43.600 --> 00:01:48.200]  但這個不是新約裏面想討論的那件事
[00:01:48.200 --> 00:01:51.800]  今天我們如果特別有一些親子講座
[00:01:51.800 --> 00:01:54.800]  或者一些父母
[00:01:54.800 --> 00:01:56.000]  特別當中有很多父母
[00:01:56.000 --> 00:01:57.800]  你會聽那些子女教育
[00:01:57.800 --> 00:02:00.200]  聖經裏面不是講這類的
[00:02:00.200 --> 00:02:04.000]  但為甚麼會用家庭這個事情呢
[00:02:04.000 --> 00:02:05.800]  這件事就和當時
[00:02:05.800 --> 00:02:07.800]  咦 這麼有趣
[00:02:07.800 --> 00:02:09.800]  和當時這個背景
[00:02:09.800 --> 00:02:12.800]  和社會背景有關係
[00:02:12.800 --> 00:02:15.000]  當時的羅馬社會
[00:02:15.000 --> 00:02:18.000]  是一個用家庭做單位
[00:02:18.000 --> 00:02:19.000]  這是甚麼意思呢
[00:02:19.000 --> 00:02:21.600]  這個對我們今天是有點遙遠的
[00:02:21.600 --> 00:02:23.200]  因為今天我們不是這樣想的
[00:02:23.200 --> 00:02:25.200]  雖然我們有父母
[00:02:25.200 --> 00:02:27.200]  但我們很多時候是自己上學
[00:02:27.200 --> 00:02:29.200]  自己工作
[00:02:29.200 --> 00:02:31.200]  但在當時的社會裏面
[00:02:31.200 --> 00:02:35.000]  其實定義一個人是透過他家庭去定義的
[00:02:35.000 --> 00:02:37.000]  所以例如這一張是甚麼呢
[00:02:37.000 --> 00:02:40.000]  這一張是當時一些很傳統
[00:02:40.000 --> 00:02:41.600]  很完美的羅馬家庭
[00:02:41.600 --> 00:02:42.600]  為甚麼呢
[00:02:42.600 --> 00:02:44.600]  當然有一個爸爸 有一個媽媽
[00:02:44.600 --> 00:02:46.200]  還有很多子女
[00:02:46.200 --> 00:02:49.600]  如果用我們中國人有時想的想法
[00:02:49.600 --> 00:02:52.200]  兒孫換堂就有點類似
[00:02:52.200 --> 00:02:54.600]  當然羅馬人是有點不同的
[00:02:54.600 --> 00:02:56.000]  就是甚麼呢
[00:02:56.000 --> 00:02:58.000]  他們有一個叫一家之主
[00:02:58.000 --> 00:03:00.000]  即是那個阿頭
[00:03:00.000 --> 00:03:02.200]  這個我們都容易明白的
[00:03:02.200 --> 00:03:04.400]  因為我們的文化都有這個東西
