
[00:00:00.000 --> 00:00:04.000]  各位靈體知會晚安
[00:00:04.000 --> 00:00:07.000]  再次藉著這個機會感謝敬拜隊
[00:00:07.000 --> 00:00:10.000]  剛才在敬拜的時候尤其感動
[00:00:10.000 --> 00:00:12.000]  不但很喜歡各首歌
[00:00:12.000 --> 00:00:15.000]  亦想念到螢幕前的各位
[00:00:15.000 --> 00:00:18.000]  有機會一齊回來崇拜
[00:00:18.000 --> 00:00:20.000]  一起去敬拜主是無比的興奮
[00:00:20.000 --> 00:00:24.000]  亦感動 盼望盡快跟大家一起敬拜
[00:00:24.000 --> 00:00:29.000]  很開心能夠今天跟大家分享神的話
[00:00:29.000 --> 00:00:31.000]  大家應該比較少見到我
[00:00:31.000 --> 00:00:35.000]  因為我在學清區和學清崇拜服侍
[00:00:35.000 --> 00:00:39.000]  不過我們有機會和年輕人一起成長
[00:00:39.000 --> 00:00:41.000]  其實是一件很開心的事
[00:00:41.000 --> 00:00:44.000]  和他們一起經歷生命每一個關口
[00:00:44.000 --> 00:00:48.000]  經歷現在DSE 經歷很多其他的考試
[00:00:48.000 --> 00:00:51.000]  突然又不能上學 又要上學
[00:00:51.000 --> 00:00:54.000]  是很開心的
[00:00:54.000 --> 00:00:57.000]  當然有時候他們會做對的決定
[00:00:57.000 --> 00:01:00.000]  亦有時候會做錯誤的決定
[00:01:00.000 --> 00:01:03.000]  不過老實說我們成年人都一樣
[00:01:03.000 --> 00:01:05.000]  其實我們都會做錯決定
[00:01:05.000 --> 00:01:08.000]  有時候當我們做錯決定的時候
[00:01:08.000 --> 00:01:11.000]  我們會帶來一種很大的後果
[00:01:11.000 --> 00:01:14.000]  就好像今天我們所要看的經文裡
[00:01:14.000 --> 00:01:20.000]  這群以色列人正正面對著一個生死有關的決定
[00:01:20.000 --> 00:01:22.000]  如果大家記得生命記的背景
[00:01:22.000 --> 00:01:25.000]  摩西當時其實身處於摩亞的平原
[00:01:25.000 --> 00:01:27.000]  即是今天的約旦
[00:01:27.000 --> 00:01:29.000]  他面對一群新一代的以色列人
[00:01:29.000 --> 00:01:31.000]  他重申上帝的命令
[00:01:31.000 --> 00:01:34.000]  認為舊一代即將要過去
[00:01:34.000 --> 00:01:35.000]  為什麼?
