
[00:00:00.000 --> 00:00:02.000]  等子每晚安
[00:00:02.000 --> 00:00:28.000]  自上次會議舉行至今 其中有關聖經文物及聖事的資料 其中有關聖經文物及聖事的資料
[00:00:28.000 --> 00:00:36.000]  首先我們來看第三章的重點
[00:00:36.000 --> 00:00:46.000]  第二章是 神在西奈曠野選擇利美人 替代以色列所有長子侍奉
[00:00:46.000 --> 00:00:52.000]  第二是按宗族的分工 安迎及服侍回望
[00:00:52.000 --> 00:01:01.000]  將利美三個支派的家族分類
[00:01:01.000 --> 00:01:12.000]  其中一件事是 拿達及阿比胡是亞倫大祭司的長子和次子
[00:01:12.000 --> 00:01:22.000]  他們的侍奉提醒我們 必須敬畏神 不能隨便侍奉 因為神是絕對聖潔的
[00:01:22.000 --> 00:01:37.000]  這帶給我們清楚知道利美人的身份和制度 是他們完全屬於神的
[00:01:37.000 --> 00:01:44.000]  代替長子是有意思的 稍後我們會再提及
[00:01:44.000 --> 00:01:53.000]  他們被分派看守的回望有各盡其跡 有規有矩
[00:01:53.000 --> 00:01:59.000]  舊約服侍的藍圖 在曠野所展現的
[00:01:59.000 --> 00:02:09.000]  我們今天作為新約的教會 如何借鏡和應用
[00:02:09.000 --> 00:02:15.000]  文素記三章的分段要點可以分為四段落
[00:02:15.000 --> 00:02:26.000]  第一是頭四節 解釋了侍奉上帝的態度必須聖潔 因為神本身就是聖潔 興邁不得
[00:02:26.000 --> 00:02:34.000]  第二是利美的支派被揀選代替以色列所有投生的 專門辦理回望的侍奉
[00:02:34.000 --> 00:02:45.000]  由第五節到第十三節 第三段落是利美三個兒子在回望四圍安營 各自看守和搬運聖物
[00:02:45.000 --> 00:02:54.000]  由第十四節到第三十九節 最後一個段落是利美人代替投生的 以色列長子
[00:02:54.000 --> 00:02:59.000]  他們要用贖價來補出 多出那二百七十三人
[00:02:59.000 --> 00:03:06.000]  文素記是說他們要數點每一個支派的數目
[00:03:06.000 --> 00:03:13.000]  我們說到這段落 你會看到利美人總共數出來是二萬二千人
[00:03:13.000 --> 00:03:23.000]  但是由一個月大的BB仔 以上的以色列投生的男子是有二萬二千二百七十三人
[00:03:23.000 --> 00:03:31.000]  多出那二百七十三人 上帝都吩咐他們必須每一個都用贖銀
[00:03:31.000 --> 00:03:38.000]  這個贖銀的代價就是五射赫勒 相等於半年的工資
[00:03:38.000 --> 00:03:42.000]  所以絕對不是一個小的數目
[00:03:42.000 --> 00:03:47.000]  我們有了這個理解 我們再次祈禱
[00:03:47.000 --> 00:03:54.000]  天父上帝求你幫助我們 當我們打開聖經 明白你的心意的時候
[00:03:54.000 --> 00:04:01.000]  讓我們眾頂姐妹都更加去鄭重你留下的聖言
[00:04:01.000 --> 00:04:08.000]  無論是昔日 遠古至今 我們都知道上帝在你期待你的兒女們
[00:04:08.000 --> 00:04:13.000]  怎樣來親近敬拜侍奉 都有你自己的期望
[00:04:13.000 --> 00:04:19.000]  求主讓我們在今天所看的經文裡 一同有所反思和學習
[00:04:19.000 --> 00:04:23.000]  並且有警醒 我們有進步
[00:04:23.000 --> 00:04:33.000]  讓我們新的一年 我們都懂得我們怎樣在上帝的群體裡所揀選的
[00:04:33.000 --> 00:04:39.000]  我們都能夠好好一起彰顯上帝你自己榮耀的同在
[00:04:39.000 --> 00:04:42.000]  就是當我們願意去進行你的說話
[00:04:42.000 --> 00:04:46.000]  同心合意的祈禱 奉主耶穌基督的聖名求 阿們
[00:04:47.000 --> 00:04:49.000]  我們先看第一個段落
