
[00:00:00.000 --> 00:00:04.000]  多謝施班帶領我們去到反思
[00:00:04.000 --> 00:00:08.000]  讓我們的生命可以像葡萄樹連於枝子
[00:00:08.000 --> 00:00:14.000]  今天我們來到看彼得前書三章八至十七節
[00:00:14.000 --> 00:00:19.000]  在過去的日子裡我們看彼得前書
[00:00:19.000 --> 00:00:23.000]  來到今天大概都去到三分之二左右
[00:00:23.000 --> 00:00:26.000]  所以在這裡想和大家大概重溫一下
[00:00:26.000 --> 00:00:30.000]  我們過去所了解或所看的經文
[00:00:30.000 --> 00:00:33.000]  當然我們知道在當時
[00:00:33.000 --> 00:00:36.000]  至少這一方的書信
[00:00:36.000 --> 00:00:38.000]  他的壽書人或壽信人
[00:00:38.000 --> 00:00:40.000]  是一班什麼人呢?
[00:00:40.000 --> 00:00:41.000]  是一班寄居的
[00:00:41.000 --> 00:00:44.000]  分散在不同的地方
[00:00:44.000 --> 00:00:46.000]  當然你會問為什麼他們會寄居呢?
[00:00:46.000 --> 00:00:48.000]  為什麼他們會分散在不同的地方呢?
[00:00:48.000 --> 00:00:52.000]  很明顯無論是從經文的脈絡
[00:00:52.000 --> 00:00:54.000]  或者是從一些歷史的背景裡
[00:00:54.000 --> 00:00:58.000]  給我們看到很足夠的理據來說
[00:00:58.000 --> 00:01:01.000]  他們應該是面對著一定的逼迫
[00:01:01.000 --> 00:01:04.000]  當然這個逼迫未必和羅馬的大火
[00:01:04.000 --> 00:01:06.000]  百分之一百有關係
[00:01:06.000 --> 00:01:10.000]  但他一定是在這個時期的前後
[00:01:10.000 --> 00:01:14.000]  甚至我們從經文的文本去看的時候
[00:01:14.000 --> 00:01:19.000]  你會發現在聖經裡提到很多
[00:01:19.000 --> 00:01:22.000]  他們面對可能是言語的逼迫
[00:01:22.000 --> 00:01:26.000]  或者是家庭社會的挑戰等等
[00:01:26.000 --> 00:01:28.000]  這些在彼得前書的內文裡
[00:01:28.000 --> 00:01:32.000]  我們會看到有這樣的情況
[00:01:32.000 --> 00:01:34.000]  當然在經文裡
[00:01:34.000 --> 00:01:36.000]  或者上次我們好幾次
[00:01:36.000 --> 00:01:38.000]  看到彼得前書裡都提到
[00:01:38.000 --> 00:01:40.000]  在這樣的狀況下
[00:01:40.000 --> 00:01:42.000]  在這樣的挑戰的情況裡
[00:01:42.000 --> 00:01:46.000]  又有不同的角色
[00:01:46.000 --> 00:01:49.000]  在上文裡我們看到有君王的
[00:01:49.000 --> 00:01:52.000]  神宰的角色
[00:01:52.000 --> 00:01:55.000]  有眾人或者教會群體的角色
[00:01:55.000 --> 00:01:57.000]  有僕人和主人的角色
[00:01:57.000 --> 00:01:59.000]  有妻子和丈夫的角色
[00:01:59.000 --> 00:02:01.000]  大家如果還記得
[00:02:01.000 --> 00:02:04.000]  上次應該都是Jason傳道
[00:02:04.000 --> 00:02:07.000]  和Rita傳道都有提到
[00:02:07.000 --> 00:02:10.000]  關於夫妻之間的相處
[00:02:10.000 --> 00:02:12.000]  關係或者挑戰等等
[00:02:12.000 --> 00:02:14.000]  這個是我們之前
[00:02:14.000 --> 00:02:18.000]  大概是三分之二的這方面的內容
[00:02:18.000 --> 00:02:21.000]  來到今天三章的第八節
[00:02:21.000 --> 00:02:23.000]  當然彼得一來到就說
[00:02:23.000 --> 00:02:24.000]  來到總結了
[00:02:24.000 --> 00:02:26.000]  就好像有一個叫做
[00:02:26.000 --> 00:02:29.000]  大總結的情況下
