
[00:00:00.000 --> 00:00:04.000]  (中文)
[00:00:04.000 --> 00:00:08.000]  大家好
[00:00:08.000 --> 00:00:15.000]  我非常感謝這寶貴的機會分享神的恩典
[00:00:15.000 --> 00:00:20.000]  對不起,我不會說普通話
[00:00:20.000 --> 00:00:25.000]  如果我繼續,你的耳朵可能會受傷
[00:00:25.000 --> 00:00:29.000]  謝謝蓮純的回我翻譯
[00:00:29.000 --> 00:00:33.000]  Joyce的普通話是不是很好啊?
[00:00:33.000 --> 00:00:45.000]  我先做一個自我介紹,免得你的耳朵因我的普通話而受損
[00:00:45.000 --> 00:00:53.000]  我是在香港生產的獨女
[00:00:53.000 --> 00:01:00.000]  我生長在一個非常舒服的環境
[00:01:00.000 --> 00:01:06.000]  是以我為中心的,我非常喜歡這種生活
[00:01:06.000 --> 00:01:14.000]  當我是醫學院的學生的時候,上帝叫我去非洲服侍他
[00:01:14.000 --> 00:01:29.000]  我反對,我寫在我的日記,七個不應該去非洲當宣教士的七大原因
[00:01:29.000 --> 00:01:34.000]  我喜歡有效率,我喜歡方便
[00:01:34.000 --> 00:01:39.000]  我不喜歡風險,我不喜歡探險
[00:01:39.000 --> 00:01:46.000]  我喜歡吃日本的魚生,我喜歡冷氣
[00:01:46.000 --> 00:01:53.000]  我不喜歡露營,我不喜歡蛇類,我也不喜歡蛇蟹
[00:01:53.000 --> 00:01:59.000]  有一天我再次與上帝辯論
[00:01:59.000 --> 00:02:06.000]  我認為,這麼不適合宣教,你派我去是很荒謬的
[00:02:06.000 --> 00:02:23.000]  我發現,如果我真的相信上帝是神,那我真的要相信他,不然我真的不相信他是神
[00:02:23.000 --> 00:02:34.000]  如果我真的相信他是誰,那我順服他才是合理的
[00:02:34.000 --> 00:02:50.000]  即使我覺得我沒有耐性,沒有毅力,沒有力量在非洲生存,我還是應該選擇信靠順服上帝
[00:02:50.000 --> 00:03:00.000]  所以在我七大不應該去非洲的原因,我寫了三個字
[00:03:00.000 --> 00:03:10.000]  放下你的生命,向上帝猜我去非洲的護照說好
[00:03:10.000 --> 00:03:18.000]  第二天我就遇到非常英俊的我的先生安里
[00:03:18.000 --> 00:03:25.000]  我們一起創立了牧養計劃
[00:03:25.000 --> 00:03:31.000]  我們的護照來自路加福音第十章第九節
[00:03:31.000 --> 00:03:39.000]  就是要醫治那些患病的,然後要告訴他們神的國已經臨近了
[00:03:39.000 --> 00:03:51.000]  在那些失去視力的人,90%的人是可以醫治的,可以避免的失去視力
[00:03:51.000 --> 00:04:00.000]  我們熱衷讓人家能夠視力看見,心靈看見
[00:04:00.000 --> 00:04:11.000]  我們的第一個使命就開始在Gabon這個地方
[00:04:11.000 --> 00:04:22.000]  我們在那邊就開始一個眼科中心,直到他能夠自給自足
[00:04:22.000 --> 00:04:34.000]  我們的第二個項目是在2012年,當我們搬去剛果共和國
[00:04:34.000 --> 00:04:42.000]  還有我們三個孩子,當時他們是六歲三歲跟一歲
[00:04:42.000 --> 00:04:49.000]  我們在那裡開了眼科中心,在2019年
[00:04:49.000 --> 00:05:00.000]  我們搬去了衛所四,我們現在還住在那裡,我們開了第二個眼科中心
[00:05:00.000 --> 00:05:06.000]  還有一個訓練學院,我們在這裡有一個項目
[00:05:06.000 --> 00:05:14.000]  在一個六公頃的土地開一個眼科醫院
[00:05:14.000 --> 00:05:28.000]  我們現在這個仰慕計畫過了十週年的,我們想分享一下這個仰慕計畫的一些歷史背景
[00:05:28.000 --> 00:05:37.000]  如果歷史分開,就變成了他的故事
[00:05:37.000 --> 00:05:44.000]  這是神的故事,藉著這個仰慕計畫的故事
[00:05:44.000 --> 00:05:47.000]  我希望你會喜歡
[00:05:47.000 --> 00:06:08.000]  (音樂)
[00:06:08.000 --> 00:06:21.000]  (英文)
[00:06:21.000 --> 00:06:32.000]  (英文)
[00:06:32.000 --> 00:06:41.000]  (英文)
[00:06:41.000 --> 00:07:01.000]  (英文)
[00:07:01.000 --> 00:07:28.000]  (英文)
[00:07:28.000 --> 00:07:38.000]  (英文)
[00:07:38.000 --> 00:07:48.000]  (英文)
[00:07:48.000 --> 00:07:58.000]  (英文)
[00:07:58.000 --> 00:08:08.000]  (英文)
[00:08:08.000 --> 00:08:18.000]  (英文)
[00:08:18.000 --> 00:08:28.000]  (英文)
[00:08:28.000 --> 00:08:38.000]  (英文)
[00:08:38.000 --> 00:08:48.000]  (英文)
[00:08:48.000 --> 00:08:58.000]  (英文)
[00:08:58.000 --> 00:09:08.000]  (英文)
[00:09:08.000 --> 00:09:18.000]  (英文)
[00:09:18.000 --> 00:09:38.000]  (英文)
[00:09:38.000 --> 00:09:48.000]  (英文)
[00:09:48.000 --> 00:09:58.000]  (英文)
[00:09:58.000 --> 00:10:18.000]  (英文)
[00:10:18.000 --> 00:10:38.000]  (英文)
[00:10:38.000 --> 00:10:58.000]  (英文)
[00:10:58.000 --> 00:11:08.000]  (英文)
[00:11:08.000 --> 00:11:11.000]  感謝讚美神啊,Hallelujah!
[00:11:11.000 --> 00:11:21.000]  (英文)
[00:11:21.000 --> 00:11:28.000]  (英文)
[00:11:28.000 --> 00:11:34.000]  我們很開心能夠跟大家成為上帝的計畫的一部分
[00:11:34.000 --> 00:11:39.000]  (英文)
[00:11:39.000 --> 00:11:42.000]  我們在後面放了很多我們支持者的照片
[00:11:42.000 --> 00:11:47.000]  (英文)
[00:11:47.000 --> 00:11:51.000]  我們知道是因為你們的支持我們才能夠做到我們能做的事
[00:11:51.000 --> 00:11:55.000]  (英文)
[00:11:55.000 --> 00:11:57.000]  今天是母親節
[00:11:57.000 --> 00:12:00.000]  (英文)
[00:12:00.000 --> 00:12:03.000]  我會分享一些關於母親的故事
[00:12:03.000 --> 00:12:05.000]  (英文)
[00:12:05.000 --> 00:12:06.000]  這是Cherryl
[00:12:06.000 --> 00:12:09.000]  (英文)
[00:12:09.000 --> 00:12:12.000]  她在十二歲的時候就眼睛有問題了
[00:12:12.000 --> 00:12:14.000]  (英文)
[00:12:14.000 --> 00:12:16.000]  然後越來越嚴重,嚴重到她必須輟學
[00:12:16.000 --> 00:12:18.000]  (英文)
[00:12:18.000 --> 00:12:20.000]  後來她就完全失明了
[00:12:20.000 --> 00:12:24.000]  (英文)
[00:12:24.000 --> 00:12:27.000]  生活看不見任何東西是非常困難的
[00:12:27.000 --> 00:12:29.000]  (英文)
[00:12:29.000 --> 00:12:30.000]  在家什麼都不能做
[00:12:30.000 --> 00:12:33.000]  (英文)
[00:12:33.000 --> 00:12:36.000]  她連上廁所都需要人家幫帶她去
[00:12:36.000 --> 00:12:38.000]  (英文)
