
[00:00:00.000 --> 00:00:03.400]  各位姐妹平安 新年快樂
[00:00:03.400 --> 00:00:08.680]  先預祝大家身體健康 有個美好的假期
[00:00:08.680 --> 00:00:12.980]  今天很感恩能夠這樣一起來分享神話語
[00:00:12.980 --> 00:00:18.940]  也看到了很多回來香港跟家人團聚過年的老朋友
[00:00:18.940 --> 00:00:21.280]  實在是感恩開心
[00:00:21.280 --> 00:00:32.780]  今天要講的主題是從過年到過到祖那邊
[00:00:32.780 --> 00:00:37.280]  過年了 大家準備好過年了沒有 都在準備了
[00:00:37.280 --> 00:00:42.680]  我們家就發現今年怎麼來得這麼快 感覺很快
[00:00:42.680 --> 00:00:47.880]  我不知道你們有沒有同樣的感覺 有啊 你們也有啊
[00:00:47.880 --> 00:00:51.920]  生活過得很充實 所以時間過得特別快 感謝主
[00:00:51.920 --> 00:01:02.640]  首先我要問的是我們從過年中究竟要過到哪裡去呢
[00:01:02.640 --> 00:01:06.980]  我們在想過年到底我們要過到哪裡去
[00:01:06.980 --> 00:01:08.200]  我的意思是什麼呢
[00:01:08.200 --> 00:01:11.420]  我們在過年的期間
[00:01:11.420 --> 00:01:16.040]  我們的整個生命有沒有想到是要怎麼樣的一個改變
[00:01:16.040 --> 00:01:18.520]  或者怎麼樣的一個成長
[00:01:18.520 --> 00:01:20.680]  那麼求主幫助我們今天
[00:01:20.680 --> 00:01:25.800]  就從保羅的這兩節我們很熟悉的經文來一起學習
[00:01:25.800 --> 00:01:28.400]  我們一起禱告
[00:01:28.400 --> 00:01:32.400]  天父上帝我們祈求祢與我們同在
[00:01:32.400 --> 00:01:36.640]  讓祢的話語進入我們的心
[00:01:36.640 --> 00:01:39.840]  叫我們的心也成為一片好土
[00:01:39.840 --> 00:01:45.120]  以致我們領受到祢向我們自己的說話
[00:01:45.120 --> 00:01:48.140]  因為祢最了解我們的處境
[00:01:48.140 --> 00:01:51.680]  祢最了解我們現在所經歷的
[00:01:51.680 --> 00:01:53.960]  祢最懂得我們的心
[00:01:53.960 --> 00:01:55.760]  所以主啊 我們求祢的聖靈
[00:01:55.760 --> 00:01:59.640]  此時此刻能夠自由地運行在我們心中
[00:01:59.640 --> 00:02:01.800]  叫我們也放下一切
[00:02:01.800 --> 00:02:05.160]  放下一切的憂慮 放下一切的重擔
[00:02:05.160 --> 00:02:06.840]  既然來到神的家
[00:02:06.840 --> 00:02:11.120]  我們就渴望 渴望上帝祢親自向我們說話
[00:02:11.120 --> 00:02:13.600]  我們將一切榮耀歸給祢
[00:02:13.600 --> 00:02:16.920]  我們敬聽上帝祢對我們說的話
[00:02:16.920 --> 00:02:18.600]  禱告奉耶穌名求
[00:02:18.600 --> 00:02:20.160]  Amen
[00:02:20.160 --> 00:02:22.560]  好 那麼這段是剛才我們讀的經文
[00:02:22.560 --> 00:02:25.800]  我們一起再大大聲地把這段經文念一遍
[00:02:25.800 --> 00:02:27.440]  一二 起
[00:02:27.440 --> 00:02:32.480]  弟兄們 我不是以為自己已經得著了
[00:02:32.480 --> 00:02:34.400]  我只有一件事
[00:02:34.400 --> 00:02:38.280]  就是忘記背後 擄逆面前的
[00:02:38.280 --> 00:02:40.560]  笑著標桿直跑
[00:02:40.560 --> 00:02:43.400]  要得神在基督耶穌裡
[00:02:43.400 --> 00:02:47.200]  從上面召我來得的獎賞
[00:02:47.200 --> 00:02:49.680]  那麼這裡呢
[00:02:49.680 --> 00:02:53.880]  我們從過年要過到主耶穌那裡去
[00:02:53.880 --> 00:02:58.080]  主耶穌預備了獎賞要給我們
[00:02:58.080 --> 00:03:00.480]  包括了祂給我們的生命
[00:03:00.480 --> 00:03:02.680]  包括了祂給我們的平安
[00:03:02.680 --> 00:03:04.920]  祂的旨意 祂的智慧
[00:03:04.920 --> 00:03:07.720]  我們寧願這個新的一年
[00:03:07.720 --> 00:03:10.600]  如果說有什麼可以得著的
[00:03:10.600 --> 00:03:15.600]  我們巴不得我們得著的就是基督要給我們的
[00:03:15.600 --> 00:03:19.560]  那麼今天我會從三個方面跟大家一起探討
[00:03:19.560 --> 00:03:23.120]  我們可以一起來領受神的話語
[00:03:23.120 --> 00:03:25.480]  那麼第一個呢 從這段經文呢
[00:03:25.480 --> 00:03:28.000]  我們要學習的第一樣功課是
[00:03:28.000 --> 00:03:31.480]  不要假設 勿要追求
[00:03:31.480 --> 00:03:32.760]  不要假設
[00:03:32.760 --> 00:03:36.120]  因為這段經文一開始就告訴我們
[00:03:36.120 --> 00:03:41.560]  保羅他說我不是以為自己已經得著了
[00:03:41.560 --> 00:03:47.440]  我不是以為自己已經得著了
[00:03:47.440 --> 00:03:50.600]  有些時候我們的問題是
[00:03:50.600 --> 00:03:57.400]  我們把這個自滿當作自足啊
[00:03:57.400 --> 00:04:00.720]  我們覺得自己已經得著了
[00:04:00.720 --> 00:04:04.400]  我已經是一個很不錯的基督徒了
[00:04:04.400 --> 00:04:07.640]  我已經是一個很不錯的丈夫了
[00:04:07.640 --> 00:04:10.840]  我已經是一個很不錯的妻子了
[00:04:10.840 --> 00:04:12.760]  我們覺得我已經得著了
[00:04:12.760 --> 00:04:16.200]  我已經是一個很盡職的父母了
[00:04:16.200 --> 00:04:19.080]  我已經是一個很乖的孩子了
[00:04:19.080 --> 00:04:22.520]  很孝順了
[00:04:22.520 --> 00:04:24.000]  我們很多的假設
[00:04:24.000 --> 00:04:27.920]  我們有些時候覺得我們已經得著了
[00:04:27.920 --> 00:04:30.440]  或者我已經夠屬靈了
[00:04:30.440 --> 00:04:32.880]  你看我每天有靈修禱告
[00:04:32.880 --> 00:04:34.480]  我已經夠屬靈了
[00:04:34.480 --> 00:04:41.040]  但是有些人只把屬靈當作是跟神的事情
[00:04:41.040 --> 00:04:44.880]  忘了要對身邊的人要給予尊重
[00:04:44.880 --> 00:04:46.880]  給予真正的關懷
[00:04:46.880 --> 00:04:47.880]  對嗎
[00:04:47.880 --> 00:04:51.120]  最近我們團企裡面一直在看的是
[00:04:51.120 --> 00:04:56.160]  這個聖靈的果子的九樣特徵
[00:04:56.160 --> 00:04:57.720]  我們講了九片道
[00:04:57.720 --> 00:05:01.480]  我們在這個團企裡面就要操練
[00:05:01.480 --> 00:05:05.720]  到底你有沒有得到這聖靈的果子的特徵
[00:05:05.720 --> 00:05:07.240]  忍耐喜樂和平忍耐
[00:05:07.240 --> 00:05:08.720]  這些對嗎
[00:05:08.720 --> 00:05:10.760]  我們不要整天只是聽到
[00:05:10.760 --> 00:05:13.280]  然後實際的生活是做不出來的
[00:05:13.280 --> 00:05:14.960]  那有什麼用
[00:05:14.960 --> 00:05:16.000]  我太明白了
[00:05:16.000 --> 00:05:18.520]  因為很多時候我們聽了講道
[00:05:18.520 --> 00:05:19.840]  我們就說
[00:05:19.840 --> 00:05:21.680]  哎呀講得真好
[00:05:21.680 --> 00:05:23.280]  哎呀好受鼓勵
[00:05:23.280 --> 00:05:26.080]  可是如果沒有把它轉移
[00:05:26.080 --> 00:05:28.320]  沒有把它翻譯
[00:05:28.320 --> 00:05:32.520]  沒有把它轉移到你能夠做得到的生命
[00:05:32.520 --> 00:05:36.480]  那其實聽到等於沒聽到
[00:05:36.480 --> 00:05:37.000]  對嗎
[00:05:37.000 --> 00:05:42.320]  聽到要行道才真的是擁有真理
[00:05:42.320 --> 00:05:44.040]  能夠活出真道
[00:05:44.040 --> 00:05:46.760]  所以我們在團企裡面我們就不斷的問
[00:05:46.760 --> 00:05:49.360]  一個星期我們用一個聖靈果子的特徵
[00:05:49.360 --> 00:05:50.400]  我們就問
[00:05:50.400 --> 00:05:52.640]  到底我有沒有愛
[00:05:52.640 --> 00:05:54.360]  到底我有沒有和平
[00:05:54.360 --> 00:05:56.120]  到底我有沒有喜樂
[00:05:56.120 --> 00:05:57.480]  為什麼做不到
[00:05:57.480 --> 00:06:01.640]  上個星期就講恩慈
[00:06:01.640 --> 00:06:04.360]  那麼我就問團企裡的小組
[00:06:04.360 --> 00:06:05.640]  我說
[00:06:05.640 --> 00:06:07.280]  如果我說基督徒
[00:06:07.280 --> 00:06:11.000]  一大部分的基督徒都是蠻有恩慈的
[00:06:11.000 --> 00:06:13.360]  但是我們偶爾會掉分
[00:06:13.360 --> 00:06:14.560]  十分裡面
[00:06:14.560 --> 00:06:16.600]  你可能拿不到十分
[00:06:16.600 --> 00:06:18.800]  你可能會拿九分
[00:06:18.800 --> 00:06:19.840]  拿八分
[00:06:19.840 --> 00:06:20.920]  拿七分
[00:06:20.920 --> 00:06:22.200]  對人的恩慈
[00:06:22.200 --> 00:06:25.440]  給予人的一些恩典恩惠
[00:06:25.440 --> 00:06:27.200]  那麼我就問大家
[00:06:27.200 --> 00:06:30.080]  你掉分的情況通常是什麼情況
[00:06:30.080 --> 00:06:33.400]  什麼時候讓你掉了一分掉了兩分
[00:06:33.400 --> 00:06:35.200]  你十分是拿不到呢
[00:06:35.200 --> 00:06:37.400]  有些人就說
[00:06:37.400 --> 00:06:39.920]  當別人欺騙我的時候
[00:06:39.920 --> 00:06:41.240]  別人是壞人的時候
[00:06:41.240 --> 00:06:43.040]  我無法對他恩慈
[00:06:43.040 --> 00:06:45.800]  那麼對我來說
