
[00:00:00.000 --> 00:00:02.000]  用姐妹平安
[00:00:02.000 --> 00:00:04.000]  我們一起重新禱告
[00:00:04.000 --> 00:00:06.000]  天父上帝
[00:00:06.000 --> 00:00:08.000]  我滿心感謝讚美你
[00:00:08.000 --> 00:00:10.000]  你是愛我們的主
[00:00:10.000 --> 00:00:12.000]  與我們同在
[00:00:12.000 --> 00:00:14.000]  真的是我們的軟弱
[00:00:14.000 --> 00:00:16.000]  更讓我們想起
[00:00:16.000 --> 00:00:18.000]  我們要依靠你
[00:00:18.000 --> 00:00:20.000]  我們在軟弱的時候
[00:00:20.000 --> 00:00:22.000]  更需要你自己的大能
[00:00:22.000 --> 00:00:24.000]  主啊 我們這裡
[00:00:24.000 --> 00:00:26.000]  不管是在
[00:00:26.000 --> 00:00:28.000]  侍奉崗位的還是在
[00:00:28.000 --> 00:00:30.000]  我們都是要崇拜的
[00:00:30.000 --> 00:00:32.000]  每個人都有經歷他們軟弱的時候
[00:00:32.000 --> 00:00:34.000]  包括孩子自己
[00:00:34.000 --> 00:00:36.000]  我們每一個人都將我們的軟弱
[00:00:36.000 --> 00:00:38.000]  交在你手中
[00:00:38.000 --> 00:00:40.000]  求上帝你就與我們同在
[00:00:40.000 --> 00:00:42.000]  讓你的大能彰顯
[00:00:42.000 --> 00:00:44.000]  你的恩典給我們用
[00:00:44.000 --> 00:00:46.000]  我們感謝你
[00:00:46.000 --> 00:00:48.000]  我們如此禱告
[00:00:48.000 --> 00:00:50.000]  奉耶穌基督聖名祈求
[00:00:50.000 --> 00:00:52.000]  那麼
[00:00:52.000 --> 00:00:54.000]  我們的這個死胡形傳
[00:00:54.000 --> 00:00:56.000]  初期教會的
[00:00:56.000 --> 00:00:58.000]  講道系列來到第十三章
[00:00:58.000 --> 00:01:00.000]  我們用了
[00:01:00.000 --> 00:01:02.000]  五十幾個星期看了
[00:01:02.000 --> 00:01:04.000]  耶穌基督馬可福音
[00:01:04.000 --> 00:01:06.000]  所講過的話
[00:01:06.000 --> 00:01:08.000]  所做的教導
[00:01:08.000 --> 00:01:10.000]  我們已經很深入的認識主耶穌基督
[00:01:10.000 --> 00:01:12.000]  今天我們進入了這個
[00:01:12.000 --> 00:01:14.000]  系列是到底基督之後
[00:01:14.000 --> 00:01:16.000]  他的門徒
[00:01:16.000 --> 00:01:18.000]  怎麼樣去拓展他的使命
[00:01:18.000 --> 00:01:20.000]  所以我們來到了今天這一段
[00:01:20.000 --> 00:01:22.000]  那麼
[00:01:22.000 --> 00:01:24.000]  教會初期的發展是怎樣呢
[00:01:24.000 --> 00:01:26.000]  我們都知道
[00:01:26.000 --> 00:01:28.000]  如果你剛剛信主的
[00:01:28.000 --> 00:01:30.000]  可能你要重溫一下
[00:01:30.000 --> 00:01:32.000]  門徒因基督耶穌的復活
[00:01:32.000 --> 00:01:34.000]  他們的生命經歷了極大的改變
